; Candidate 6241
; ADRP+ADD at VM 0xfffffff00881c9f0 (fileoff 0x18189f0): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881c970: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff00881c974: e90315aa  mov	x9, x21
0xfffffff00881c978: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff00881c97c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881c980: a84fff90  adrp	x8, #0xfffffff007210000
0xfffffff00881c984: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881c988: 29608152  mov	w9, #0xb01
0xfffffff00881c98c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881c990: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c994: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881c998: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881c99c: 880e8052  mov	w8, #0x74
0xfffffff00881c9a0: 0050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff00881c9a4: 00882f91  add	x0, x0, #0xbe2
0xfffffff00881c9a8: d9000014  b	#0xfffffff00881cd0c
0xfffffff00881c9ac: 005e0294  bl	#0xfffffff0088b41ac
0xfffffff00881c9b0: f60300aa  mov	x22, x0
0xfffffff00881c9b4: 80008052  mov	w0, #4
0xfffffff00881c9b8: a67b0194  bl	#0xfffffff00887b850
0xfffffff00881c9bc: e80315aa  mov	x8, x21
0xfffffff00881c9c0: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881c9c4: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881c9c8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881c9cc: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c9d0: 08e51191  add	x8, x8, #0x479
0xfffffff00881c9d4: 295e8152  mov	w9, #0xaf1
0xfffffff00881c9d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881c9dc: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c9e0: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881c9e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881c9e8: 880e8052  mov	w8, #0x74
0xfffffff00881c9ec: f62300a9  stp	x22, x8, [sp]
0xfffffff00881c9f0: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c9f4: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c9f8: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c9fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881ca00: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881ca04: 635c3491  add	x3, x3, #0xd17
0xfffffff00881ca08: 02008052  mov	w2, #0
0xfffffff00881ca0c: c959ec97  bl	#0xfffffff008333130
0xfffffff00881ca10: d67e8012  mov	w22, #-0x3f7
0xfffffff00881ca14: 20000014  b	#0xfffffff00881ca94
0xfffffff00881ca18: e55d0294  bl	#0xfffffff0088b41ac
0xfffffff00881ca1c: f60300aa  mov	x22, x0
0xfffffff00881ca20: 80008052  mov	w0, #4
0xfffffff00881ca24: 8b7b0194  bl	#0xfffffff00887b850
0xfffffff00881ca28: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881ca2c: eac240b9  ldr	w10, [x23, #0xc0]
0xfffffff00881ca30: e90315aa  mov	x9, x21
0xfffffff00881ca34: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff00881ca38: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff00881ca3c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ca40: 08f92d91  add	x8, x8, #0xb7e
0xfffffff00881ca44: a95e8152  mov	w9, #0xaf5
0xfffffff00881ca48: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881ca4c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881ca50: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881ca54: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881ca58: 880e8052  mov	w8, #0x74
0xfffffff00881ca5c: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881ca60: 63603591  add	x3, x3, #0xd58
0xfffffff00881ca64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881ca68: f60300f9  str	x22, [sp]
0xfffffff00881ca6c: 604effb0  adrp	x0, #0xfffffff0071e9000
