; Candidate 12372
; ADRP+ADD at VM 0xfffffff009096ab0 (fileoff 0x2092ab0): page=0x1fe3c3000 add_imm=0xe24

0xfffffff009096a30: f50300aa  mov	x21, x0
0xfffffff009096a34: c8024039  ldrb	w8, [x22]
0xfffffff009096a38: 1fa10071  cmp	w8, #0x28
0xfffffff009096a3c: 08020054  b.hi	#0xfffffff009096a7c
0xfffffff009096a40: 481effb0  adrp	x8, #0xfffffff00745f000
0xfffffff009096a44: 08992b91  add	x8, x8, #0xae6
0xfffffff009096a48: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096a4c: 29a92b91  add	x9, x9, #0xaea
0xfffffff009096a50: 7f0200f1  cmp	x19, #0
0xfffffff009096a54: 2801889a  csel	x8, x9, x8, eq
0xfffffff009096a58: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096a5c: 29292a91  add	x9, x9, #0xa8a
0xfffffff009096a60: 2a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff009096a64: 4a413c91  add	x10, x10, #0xf10
0xfffffff009096a68: ea2700a9  stp	x10, x9, [sp]
0xfffffff009096a6c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009096a70: 401effb0  adrp	x0, #0xfffffff00745f000
0xfffffff009096a74: 00b42a91  add	x0, x0, #0xaad
0xfffffff009096a78: 6a01cb97  bl	#0xfffffff008357020
0xfffffff009096a7c: 14008052  mov	w20, #0
0xfffffff009096a80: b30600f9  str	x19, [x21, #8]
0xfffffff009096a84: 48018052  mov	w8, #0xa
0xfffffff009096a88: c9024039  ldrb	w9, [x22]
0xfffffff009096a8c: 1f01096b  cmp	w8, w9
0xfffffff009096a90: 63010054  b.lo	#0xfffffff009096abc
0xfffffff009096a94: 887e4093  sxtw	x8, w20
0xfffffff009096a98: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096a9c: 29292a91  add	x9, x9, #0xa8a
0xfffffff009096aa0: 2a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff009096aa4: 4a413c91  add	x10, x10, #0xf10
0xfffffff009096aa8: ea2700a9  stp	x10, x9, [sp]
0xfffffff009096aac: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009096ab0: 001efff0  adrp	x0, #0xfffffff007459000
0xfffffff009096ab4: 00903891  add	x0, x0, #0xe24
0xfffffff009096ab8: 5a01cb97  bl	#0xfffffff008357020
0xfffffff009096abc: e00314aa  mov	x0, x20
0xfffffff009096ac0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009096ac4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009096ac8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009096acc: ff830191  add	sp, sp, #0x60
0xfffffff009096ad0: ff0f5fd6  retab	
0xfffffff009096ad4: 080c8052  mov	w8, #0x60
0xfffffff009096ad8: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096adc: 293d2491  add	x9, x9, #0x90f
0xfffffff009096ae0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009096ae4: 081efff0  adrp	x8, #0xfffffff007459000
0xfffffff009096ae8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009096aec: 4a1effb0  adrp	x10, #0xfffffff00745f000
0xfffffff009096af0: 4a852a91  add	x10, x10, #0xaa1
0xfffffff009096af4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009096af8: ea0300f9  str	x10, [sp]
0xfffffff009096afc: 001efff0  adrp	x0, #0xfffffff007459000
0xfffffff009096b00: 00d42c91  add	x0, x0, #0xb35
0xfffffff009096b04: 4701cb97  bl	#0xfffffff008357020
0xfffffff009096b08: d4008012  mov	w20, #-7
0xfffffff009096b0c: c8088052  mov	w8, #0x46
0xfffffff009096b10: deffff17  b	#0xfffffff009096a88
0xfffffff009096b14: 7f2303d5  pacibsp	
0xfffffff009096b18: ffc301d1  sub	sp, sp, #0x70
0xfffffff009096b1c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009096b20: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009096b24: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009096b28: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009096b2c: fd830191  add	x29, sp, #0x60
