; Candidate 16554
; ADRP+ADD at VM 0xfffffff009edb144 (fileoff 0x2ed7144): page=0x1fd96d000 add_imm=0xd9b

0xfffffff009edb0c4: 9fcffd97  bl	#0xfffffff009e4ef40
0xfffffff009edb0c8: e0010034  cbz	w0, #0xfffffff009edb104
0xfffffff009edb0cc: 083e8452  mov	w8, #0x21f0
0xfffffff009edb0d0: 8802088b  add	x8, x20, x8
0xfffffff009edb0d4: 690640f9  ldr	x9, [x19, #8]
0xfffffff009edb0d8: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009edb0dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009edb0e0: 68cbfeb0  adrp	x8, #0xfffffff007848000
0xfffffff009edb0e4: 08413b91  add	x8, x8, #0xed0
0xfffffff009edb0e8: 69508852  mov	w9, #0x4283
0xfffffff009edb0ec: e82700a9  stp	x8, x9, [sp]
0xfffffff009edb0f0: 60cbfeb0  adrp	x0, #0xfffffff007848000
0xfffffff009edb0f4: 00303591  add	x0, x0, #0xd4c
0xfffffff009edb0f8: f391fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edb0fc: b6008052  mov	w22, #5
0xfffffff009edb100: e3ffff17  b	#0xfffffff009edb08c
0xfffffff009edb104: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff009edb108: 75820291  add	x21, x19, #0xa0
0xfffffff009edb10c: e00315aa  mov	x0, x21
0xfffffff009edb110: 284a7b97  bl	#0xfffffff007dad9b0
0xfffffff009edb114: 684e40f9  ldr	x8, [x19, #0x98]
0xfffffff009edb118: 280780b6  tbz	x8, #0x30, #0xfffffff009edb1fc
0xfffffff009edb11c: 1f057df2  tst	x8, #0x18
0xfffffff009edb120: a0010054  b.eq	#0xfffffff009edb154
0xfffffff009edb124: 083e8452  mov	w8, #0x21f0
0xfffffff009edb128: 8802088b  add	x8, x20, x8
0xfffffff009edb12c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009edb130: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009edb134: 68cbfeb0  adrp	x8, #0xfffffff007848000
0xfffffff009edb138: 08413b91  add	x8, x8, #0xed0
0xfffffff009edb13c: 29538852  mov	w9, #0x4299
0xfffffff009edb140: e82700a9  stp	x8, x9, [sp]
0xfffffff009edb144: 60cbfeb0  adrp	x0, #0xfffffff007848000
0xfffffff009edb148: 006c3691  add	x0, x0, #0xd9b
0xfffffff009edb14c: de91fe97  bl	#0xfffffff009e7f8c4
0xfffffff009edb150: 2b000014  b	#0xfffffff009edb1fc
0xfffffff009edb154: 68124179  ldrh	w8, [x19, #0x88]
0xfffffff009edb158: 080d1412  and	w8, w8, #0xf000
0xfffffff009edb15c: 1f214071  cmp	w8, #8, lsl #12
0xfffffff009edb160: e1040054  b.ne	#0xfffffff009edb1fc
0xfffffff009edb164: 083e8452  mov	w8, #0x21f0
0xfffffff009edb168: 8802088b  add	x8, x20, x8
0xfffffff009edb16c: 690640f9  ldr	x9, [x19, #8]
0xfffffff009edb170: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009edb174: 68cbfeb0  adrp	x8, #0xfffffff007848000
0xfffffff009edb178: 08413b91  add	x8, x8, #0xed0
0xfffffff009edb17c: 29548852  mov	w9, #0x42a1
0xfffffff009edb180: e82700a9  stp	x8, x9, [sp]
0xfffffff009edb184: 60cbfeb0  adrp	x0, #0xfffffff007848000
0xfffffff009edb188: 00a43b91  add	x0, x0, #0xee9
0xfffffff009edb18c: ad91fe97  bl	#0xfffffff009e7f840
0xfffffff009edb190: 889e40f9  ldr	x8, [x20, #0x138]
0xfffffff009edb194: 1f0100f1  cmp	x8, #0
0xfffffff009edb198: 8802889a  csel	x8, x20, x8, eq
0xfffffff009edb19c: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009edb1a0: 08214439  ldrb	w8, [x8, #0x108]
0xfffffff009edb1a4: 29018052  mov	w9, #9
0xfffffff009edb1a8: 1f01096a  tst	w8, w9
0xfffffff009edb1ac: e1040054  b.ne	#0xfffffff009edb248
0xfffffff009edb1b0: 687a4239  ldrb	w8, [x19, #0x9e]
0xfffffff009edb1b4: 68050036  tbz	w8, #0, #0xfffffff009edb260
0xfffffff009edb1b8: 620640f9  ldr	x2, [x19, #8]
0xfffffff009edb1bc: e00314aa  mov	x0, x20
0xfffffff009edb1c0: 41008052  mov	w1, #2
