; Candidate 9574
; ADRP+ADD at VM 0xfffffff008a75444 (fileoff 0x1a71444): page=0x186a000 add_imm=0xdc8

0xfffffff008a753c4: e1260054  b.ne	#0xfffffff008a758a0
0xfffffff008a753c8: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff008a753cc: 100040f9  ldr	x16, [x0]
0xfffffff008a753d0: f10300aa  mov	x17, x0
0xfffffff008a753d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a753d8: 301ac1da  autda	x16, x17
0xfffffff008a753dc: 11b480d2  mov	x17, #0x5a0
0xfffffff008a753e0: 1002118b  add	x16, x16, x17
0xfffffff008a753e4: 080240f9  ldr	x8, [x16]
0xfffffff008a753e8: e90310aa  mov	x9, x16
0xfffffff008a753ec: f10309aa  mov	x17, x9
0xfffffff008a753f0: 9104f3f2  movk	x17, #0x9824, lsl #48
0xfffffff008a753f4: 11093fd7  blraa	x8, x17
0xfffffff008a753f8: f60300aa  mov	x22, x0
0xfffffff008a753fc: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff008a75400: 100040f9  ldr	x16, [x0]
0xfffffff008a75404: f10300aa  mov	x17, x0
0xfffffff008a75408: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7540c: 301ac1da  autda	x16, x17
0xfffffff008a75410: f10310aa  mov	x17, x16
0xfffffff008a75414: f147c1da  xpacd	x17
0xfffffff008a75418: 1f0211eb  cmp	x16, x17
0xfffffff008a7541c: 40000054  b.eq	#0xfffffff008a75424
0xfffffff008a75420: 408e38d4  brk	#0xc472
0xfffffff008a75424: 08a21691  add	x8, x16, #0x5a8
0xfffffff008a75428: 09d642f9  ldr	x9, [x16, #0x5a8]
0xfffffff008a7542c: f10308aa  mov	x17, x8
0xfffffff008a75430: b173fef2  movk	x17, #0xf39d, lsl #48
0xfffffff008a75434: 31093fd7  blraa	x9, x17
0xfffffff008a75438: df0200f1  cmp	x22, #0
0xfffffff008a7543c: 041840fa  ccmp	x0, #0, #4, ne
0xfffffff008a75440: 61050054  b.ne	#0xfffffff008a754ec
0xfffffff008a75444: 40c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a75448: 00203791  add	x0, x0, #0xdc8
0xfffffff008a7544c: 43bde197  bl	#0xfffffff0082e4958
0xfffffff008a75450: f50300aa  mov	x21, x0
0xfffffff008a75454: 700240f9  ldr	x16, [x19]
0xfffffff008a75458: f10313aa  mov	x17, x19
0xfffffff008a7545c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a75460: 301ac1da  autda	x16, x17
0xfffffff008a75464: 116e80d2  mov	x17, #0x370
0xfffffff008a75468: 1002118b  add	x16, x16, x17
0xfffffff008a7546c: 080240f9  ldr	x8, [x16]
0xfffffff008a75470: e90310aa  mov	x9, x16
0xfffffff008a75474: e00313aa  mov	x0, x19
0xfffffff008a75478: f10309aa  mov	x17, x9
0xfffffff008a7547c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a75480: 11093fd7  blraa	x8, x17
0xfffffff008a75484: 400f00b4  cbz	x0, #0xfffffff008a7566c
0xfffffff008a75488: 700240f9  ldr	x16, [x19]
0xfffffff008a7548c: f10313aa  mov	x17, x19
0xfffffff008a75490: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a75494: 301ac1da  autda	x16, x17
0xfffffff008a75498: 116e80d2  mov	x17, #0x370
0xfffffff008a7549c: 1002118b  add	x16, x16, x17
0xfffffff008a754a0: 080240f9  ldr	x8, [x16]
0xfffffff008a754a4: e90310aa  mov	x9, x16
0xfffffff008a754a8: e00313aa  mov	x0, x19
0xfffffff008a754ac: f10309aa  mov	x17, x9
0xfffffff008a754b0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a754b4: 11093fd7  blraa	x8, x17
0xfffffff008a754b8: 100040f9  ldr	x16, [x0]
0xfffffff008a754bc: f10300aa  mov	x17, x0
0xfffffff008a754c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
