; Candidate 10735
; ADRP+ADD at VM 0xfffffff008de4c2c (fileoff 0x1de0c2c): page=0x1fe5e0000 add_imm=0xe15

0xfffffff008de4bac: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff008de4bb0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff008de4bb4: ff430391  add	sp, sp, #0xd0
0xfffffff008de4bb8: ff0f5fd6  retab	
0xfffffff008de4bbc: 28f08052  mov	w8, #0x781
0xfffffff008de4bc0: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4bc4: 29490d91  add	x9, x9, #0x352
0xfffffff008de4bc8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4bcc: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4bd0: 08493991  add	x8, x8, #0xe52
0xfffffff008de4bd4: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4bd8: 4add1491  add	x10, x10, #0x537
0xfffffff008de4bdc: 12000014  b	#0xfffffff008de4c24
0xfffffff008de4be0: 48f08052  mov	w8, #0x782
0xfffffff008de4be4: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4be8: 29490d91  add	x9, x9, #0x352
0xfffffff008de4bec: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4bf0: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4bf4: 08493991  add	x8, x8, #0xe52
0xfffffff008de4bf8: ea2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de4bfc: 4ae11291  add	x10, x10, #0x4b8
0xfffffff008de4c00: 09000014  b	#0xfffffff008de4c24
0xfffffff008de4c04: 68f08052  mov	w8, #0x783
0xfffffff008de4c08: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4c0c: 29490d91  add	x9, x9, #0x352
0xfffffff008de4c10: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de4c14: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4c18: 08493991  add	x8, x8, #0xe52
0xfffffff008de4c1c: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4c20: 4aed1d91  add	x10, x10, #0x77b
0xfffffff008de4c24: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de4c28: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de4c2c: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4c30: 00543891  add	x0, x0, #0xe15
0xfffffff008de4c34: fbc8d597  bl	#0xfffffff008357020
0xfffffff008de4c38: 58008012  mov	w24, #-3
0xfffffff008de4c3c: c1ffff17  b	#0xfffffff008de4b40
0xfffffff008de4c40: f80300aa  mov	x24, x0
0xfffffff008de4c44: 087f4093  sxtw	x8, w24
0xfffffff008de4c48: e9f08052  mov	w9, #0x787
0xfffffff008de4c4c: ea2effb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de4c50: 4a490d91  add	x10, x10, #0x352
0xfffffff008de4c54: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de4c58: 092fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de4c5c: 29493991  add	x9, x9, #0xe52
0xfffffff008de4c60: 0b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de4c64: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de4c68: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de4c6c: eb0300f9  str	x11, [sp]
0xfffffff008de4c70: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4c74: 00543891  add	x0, x0, #0xe15
0xfffffff008de4c78: eac8d597  bl	#0xfffffff008357020
0xfffffff008de4c7c: b1ffff17  b	#0xfffffff008de4b40
0xfffffff008de4c80: 48f18052  mov	w8, #0x78a
0xfffffff008de4c84: f8a301a9  stp	x24, x8, [sp, #0x18]
0xfffffff008de4c88: 082fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de4c8c: 08493991  add	x8, x8, #0xe52
0xfffffff008de4c90: e92effb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de4c94: 293d1b91  add	x9, x9, #0x6cf
0xfffffff008de4c98: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de4c9c: e90300f9  str	x9, [sp]
0xfffffff008de4ca0: 002fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de4ca4: 00543891  add	x0, x0, #0xe15
0xfffffff008de4ca8: dec8d597  bl	#0xfffffff008357020
