; Candidate 640
; ADRP+ADD at VM 0xfffffff007fc9d60 (fileoff 0xfc5d60): page=0x1ff09d000 add_imm=0xcfe

0xfffffff007fc9ce0: 01008052  mov	w1, #0
0xfffffff007fc9ce4: 02008052  mov	w2, #0
0xfffffff007fc9ce8: 94e9f797  bl	#0xfffffff007dc4338
0xfffffff007fc9cec: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007fc9cf0: e9a20291  add	x9, x23, #0xa8
0xfffffff007fc9cf4: e20308aa  mov	x2, x8
0xfffffff007fc9cf8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007fc9cfc: 5f00086b  cmp	w2, w8
0xfffffff007fc9d00: c1030054  b.ne	#0xfffffff007fc9d78
0xfffffff007fc9d04: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007fc9d08: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007fc9d0c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007fc9d10: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007fc9d14: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007fc9d18: ff030291  add	sp, sp, #0x80
0xfffffff007fc9d1c: ff0f5fd6  retab	
0xfffffff007fc9d20: e00313aa  mov	x0, x19
0xfffffff007fc9d24: e10314aa  mov	x1, x20
0xfffffff007fc9d28: 8f8af797  bl	#0xfffffff007dac764
0xfffffff007fc9d2c: 6cffff17  b	#0xfffffff007fc9adc
0xfffffff007fc9d30: e00313aa  mov	x0, x19
0xfffffff007fc9d34: e10314aa  mov	x1, x20
0xfffffff007fc9d38: 8b8af797  bl	#0xfffffff007dac764
0xfffffff007fc9d3c: e09a40f9  ldr	x0, [x23, #0x130]
0xfffffff007fc9d40: a0f9ffb5  cbnz	x0, #0xfffffff007fc9c74
0xfffffff007fc9d44: d5ffff17  b	#0xfffffff007fc9c98
0xfffffff007fc9d48: e00313aa  mov	x0, x19
0xfffffff007fc9d4c: e10314aa  mov	x1, x20
0xfffffff007fc9d50: 22008052  mov	w2, #1
0xfffffff007fc9d54: 6987f797  bl	#0xfffffff007dabaf8
0xfffffff007fc9d58: a80240b9  ldr	w8, [x21]
0xfffffff007fc9d5c: 68fbff35  cbnz	w8, #0xfffffff007fc9cc8
0xfffffff007fc9d60: e084ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fc9d64: 00f83391  add	x0, x0, #0xcfe
0xfffffff007fc9d68: e184ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc9d6c: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc9d70: 22c98152  mov	w2, #0xe49
0xfffffff007fc9d74: a8561394  bl	#0xfffffff00849f814
0xfffffff007fc9d78: e00313aa  mov	x0, x19
0xfffffff007fc9d7c: e10314aa  mov	x1, x20
0xfffffff007fc9d80: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007fc9d84: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007fc9d88: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007fc9d8c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007fc9d90: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007fc9d94: ff030291  add	sp, sp, #0x80
0xfffffff007fc9d98: ff2303d5  autibsp	
0xfffffff007fc9d9c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007fc9da0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007fc9da8
0xfffffff007fc9da4: 208e38d4  brk	#0xc471
0xfffffff007fc9da8: 6f8af717  b	#0xfffffff007dac764
0xfffffff007fc9dac: 081e8152  mov	w8, #0x8f0
0xfffffff007fc9db0: e983ffb0  adrp	x9, #0xfffffff007046000
0xfffffff007fc9db4: 29d92791  add	x9, x9, #0x9f6
0xfffffff007fc9db8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fc9dbc: f40300a9  stp	x20, x0, [sp]
0xfffffff007fc9dc0: e083ffb0  adrp	x0, #0xfffffff007046000
0xfffffff007fc9dc4: 00e42a91  add	x0, x0, #0xab9
0xfffffff007fc9dc8: d1291394  bl	#0xfffffff00849450c
0xfffffff007fc9dcc: 7f2303d5  pacibsp	
0xfffffff007fc9dd0: ff8301d1  sub	sp, sp, #0x60
0xfffffff007fc9dd4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff007fc9dd8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007fc9ddc: f44f04a9  stp	x20, x19, [sp, #0x40]
