; Candidate 4375
; ADRP+ADD at VM 0xfffffff0087a872c (fileoff 0x17a472c): page=0x1fe989000 add_imm=0xd90

0xfffffff0087a86ac: 080140b9  ldr	w8, [x8]
0xfffffff0087a86b0: a9c355b8  ldur	w9, [x29, #-0xa4]
0xfffffff0087a86b4: 0901090b  add	w9, w8, w9
0xfffffff0087a86b8: 2909c81a  udiv	w9, w9, w8
0xfffffff0087a86bc: eb8740b9  ldr	w11, [sp, #0x84]
0xfffffff0087a86c0: 5a030b0b  add	w26, w26, w11
0xfffffff0087a86c4: 3f010a6b  cmp	w9, w10
0xfffffff0087a86c8: 82110054  b.hs	#0xfffffff0087a88f8
0xfffffff0087a86cc: ea6f40b9  ldr	w10, [sp, #0x6c]
0xfffffff0087a86d0: 2829081b  madd	w8, w9, w8, w10
0xfffffff0087a86d4: a8c315b8  stur	w8, [x29, #-0xa4]
0xfffffff0087a86d8: a84355b8  ldur	w8, [x29, #-0xac]
0xfffffff0087a86dc: 48320034  cbz	w8, #0xfffffff0087a8d24
0xfffffff0087a86e0: ff8700b9  str	wzr, [sp, #0x84]
0xfffffff0087a86e4: a90302d1  sub	x9, x29, #0x80
0xfffffff0087a86e8: 285977b8  ldr	w8, [x9, w23, uxtw #2]
0xfffffff0087a86ec: 3f5937b8  str	wzr, [x9, w23, uxtw #2]
0xfffffff0087a86f0: 1f010071  cmp	w8, #0
0xfffffff0087a86f4: 08098052  mov	w8, #0x48
0xfffffff0087a86f8: 09018052  mov	w9, #8
0xfffffff0087a86fc: 3501881a  csel	w21, w9, w8, eq
0xfffffff0087a8700: 8d000014  b	#0xfffffff0087a8934
0xfffffff0087a8704: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff0087a8708: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff0087a870c: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff0087a8710: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087a8714: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087a8718: c90100b4  cbz	x9, #0xfffffff0087a8750
0xfffffff0087a871c: c9d38052  mov	w9, #0x69e
0xfffffff0087a8720: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8724: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8728: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a872c: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8730: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8734: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8738: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a873c: 02008052  mov	w2, #0
0xfffffff0087a8740: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a8744: 63b43491  add	x3, x3, #0xd2d
0xfffffff0087a8748: 7a2aee97  bl	#0xfffffff008333130
0xfffffff0087a874c: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff0087a8750: 0903080b  add	w9, w24, w8
0xfffffff0087a8754: aa0209ab  adds	x10, x21, x9
0xfffffff0087a8758: 02360054  b.hs	#0xfffffff0087a8e18
0xfffffff0087a875c: eb03182a  mov	w11, w24
0xfffffff0087a8760: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff0087a8764: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff0087a8768: aa8356f8  ldur	x10, [x29, #-0x98]
0xfffffff0087a876c: 550940f9  ldr	x21, [x10, #0x10]
0xfffffff0087a8770: 08010b8b  add	x8, x8, x11
0xfffffff0087a8774: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087a8778: e80100b4  cbz	x8, #0xfffffff0087a87b4
0xfffffff0087a877c: e9d38052  mov	w9, #0x69f
0xfffffff0087a8780: 284dfff0  adrp	x8, #0xfffffff00714f000
0xfffffff0087a8784: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087a8788: e82700a9  stp	x8, x9, [sp]
0xfffffff0087a878c: 404cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a8790: 00403691  add	x0, x0, #0xd90
0xfffffff0087a8794: a192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a8798: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a879c: 02008052  mov	w2, #0
0xfffffff0087a87a0: 034dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a87a4: 63843591  add	x3, x3, #0xd61
0xfffffff0087a87a8: 622aee97  bl	#0xfffffff008333130
