; Candidate 20
; ADRP+ADD at VM 0xfffffff007d91da4 (fileoff 0xd8dda4): page=0x243a000 add_imm=0xd48

0xfffffff007d91d24: e893ffb0  adrp	x8, #0xfffffff00700e000
0xfffffff007d91d28: 007143fd  ldr	d0, [x8, #0x6e0]
0xfffffff007d91d2c: e01300fd  str	d0, [sp, #0x20]
0xfffffff007d91d30: e0230091  add	x0, sp, #8
0xfffffff007d91d34: 81068052  mov	w1, #0x34
0xfffffff007d91d38: 22008052  mov	w2, #1
0xfffffff007d91d3c: a200a072  movk	w2, #5, lsl #16
0xfffffff007d91d40: 03008052  mov	w3, #0
0xfffffff007d91d44: 040080d2  mov	x4, #0
0xfffffff007d91d48: 5c2a0094  bl	#0xfffffff007d9c6b8
0xfffffff007d91d4c: e00314aa  mov	x0, x20
0xfffffff007d91d50: a7a3ff97  bl	#0xfffffff007d7abec
0xfffffff007d91d54: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007d91d58: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007d91d5c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007d91d60: ffc30191  add	sp, sp, #0x70
0xfffffff007d91d64: ff0f5fd6  retab	
0xfffffff007d91d68: e00314aa  mov	x0, x20
0xfffffff007d91d6c: e10313aa  mov	x1, x19
0xfffffff007d91d70: 02008052  mov	w2, #0
0xfffffff007d91d74: 61670094  bl	#0xfffffff007dabaf8
0xfffffff007d91d78: a1ffff17  b	#0xfffffff007d91bfc
0xfffffff007d91d7c: e00314aa  mov	x0, x20
0xfffffff007d91d80: e10313aa  mov	x1, x19
0xfffffff007d91d84: 786a0094  bl	#0xfffffff007dac764
0xfffffff007d91d88: adffff17  b	#0xfffffff007d91c3c
0xfffffff007d91d8c: c02101d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d91d90: 00203591  add	x0, x0, #0xd48
0xfffffff007d91d94: e10313aa  mov	x1, x19
0xfffffff007d91d98: 02008052  mov	w2, #0
0xfffffff007d91d9c: 57670094  bl	#0xfffffff007dabaf8
0xfffffff007d91da0: aeffff17  b	#0xfffffff007d91c58
0xfffffff007d91da4: c02101d0  adrp	x0, #0xfffffff00a1cb000
0xfffffff007d91da8: 00203591  add	x0, x0, #0xd48
0xfffffff007d91dac: e10313aa  mov	x1, x19
0xfffffff007d91db0: 6d6a0094  bl	#0xfffffff007dac764
0xfffffff007d91db4: d1ffff17  b	#0xfffffff007d91cf8
0xfffffff007d91db8: 7f2303d5  pacibsp	
0xfffffff007d91dbc: ff0301d1  sub	sp, sp, #0x40
0xfffffff007d91dc0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007d91dc4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007d91dc8: fdc30091  add	x29, sp, #0x30
0xfffffff007d91dcc: f30300aa  mov	x19, x0
0xfffffff007d91dd0: a02101d0  adrp	x0, #0xfffffff00a1c7000
0xfffffff007d91dd4: 00000e91  add	x0, x0, #0x380
0xfffffff007d91dd8: e10313aa  mov	x1, x19
0xfffffff007d91ddc: 0e000094  bl	#0xfffffff007d91e14
0xfffffff007d91de0: a0000035  cbnz	w0, #0xfffffff007d91df4
0xfffffff007d91de4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007d91de8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007d91dec: ff030191  add	sp, sp, #0x40
0xfffffff007d91df0: ff0f5fd6  retab	
0xfffffff007d91df4: 48da8052  mov	w8, #0x6d2
0xfffffff007d91df8: 8995fff0  adrp	x9, #0xfffffff007044000
0xfffffff007d91dfc: 29211891  add	x9, x9, #0x608
0xfffffff007d91e00: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007d91e04: f30300a9  stp	x19, x0, [sp]
0xfffffff007d91e08: 8095fff0  adrp	x0, #0xfffffff007044000
0xfffffff007d91e0c: 00c81b91  add	x0, x0, #0x6f2
0xfffffff007d91e10: bf091c94  bl	#0xfffffff00849450c
0xfffffff007d91e14: 7f2303d5  pacibsp	
0xfffffff007d91e18: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff007d91e1c: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007d91e20: f65702a9  stp	x22, x21, [sp, #0x20]
