; Candidate 1553
; ADRP+ADD at VM 0xfffffff008494148 (fileoff 0x1490148): page=0x1febaf000 add_imm=0xe15

0xfffffff0084940c8: 00801a91  add	x0, x0, #0x6a0
0xfffffff0084940cc: 01058052  mov	w1, #0x28
0xfffffff0084940d0: 22008052  mov	w2, #1
0xfffffff0084940d4: 1f1de497  bl	#0xfffffff007d9b550
0xfffffff0084940d8: 28a2ff90  adrp	x8, #0xfffffff0078d8000
0xfffffff0084940dc: 005503f9  str	x0, [x8, #0x6a8]
0xfffffff0084940e0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0084940e4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0084940e8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0084940ec: e923c46c  ldp	d9, d8, [sp], #0x40
0xfffffff0084940f0: ff0f5fd6  retab	
0xfffffff0084940f4: 7f2303d5  pacibsp	
0xfffffff0084940f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0084940fc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008494100: fd830091  add	x29, sp, #0x20
0xfffffff008494104: e8a48052  mov	w8, #0x527
0xfffffff008494108: 695dfff0  adrp	x9, #0xfffffff007043000
0xfffffff00849410c: 29b93491  add	x9, x9, #0xd2e
0xfffffff008494110: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008494114: e00300f9  str	x0, [sp]
0xfffffff008494118: 605dfff0  adrp	x0, #0xfffffff007043000
0xfffffff00849411c: 000c3791  add	x0, x0, #0xdc3
0xfffffff008494120: fb000094  bl	#0xfffffff00849450c
0xfffffff008494124: 7f2303d5  pacibsp	
0xfffffff008494128: ffc300d1  sub	sp, sp, #0x30
0xfffffff00849412c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008494130: fd830091  add	x29, sp, #0x20
0xfffffff008494134: e80f8052  mov	w8, #0x7f
0xfffffff008494138: 695dfff0  adrp	x9, #0xfffffff007043000
0xfffffff00849413c: 29cd3891  add	x9, x9, #0xe33
0xfffffff008494140: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008494144: e00300f9  str	x0, [sp]
0xfffffff008494148: 605dfff0  adrp	x0, #0xfffffff007043000
0xfffffff00849414c: 00543891  add	x0, x0, #0xe15
0xfffffff008494150: ef000094  bl	#0xfffffff00849450c
0xfffffff008494154: 7f2303d5  pacibsp	
0xfffffff008494158: ff0301d1  sub	sp, sp, #0x40
0xfffffff00849415c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008494160: fdc30091  add	x29, sp, #0x30
0xfffffff008494164: 685dfff0  adrp	x8, #0xfffffff007043000
0xfffffff008494168: 08253991  add	x8, x8, #0xe49
0xfffffff00849416c: 09000291  add	x9, x0, #0x80
0xfffffff008494170: 6a5dfff0  adrp	x10, #0xfffffff007043000
0xfffffff008494174: 4af93891  add	x10, x10, #0xe3e
0xfffffff008494178: 3f0101eb  cmp	x9, x1
0xfffffff00849417c: 4801889a  csel	x8, x10, x8, eq
0xfffffff008494180: 4a128052  mov	w10, #0x92
0xfffffff008494184: 695dfff0  adrp	x9, #0xfffffff007043000
0xfffffff008494188: 29cd3891  add	x9, x9, #0xe33
0xfffffff00849418c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff008494190: e88b00a9  stp	x8, x2, [sp, #8]
0xfffffff008494194: e00300f9  str	x0, [sp]
0xfffffff008494198: 605dfff0  adrp	x0, #0xfffffff007043000
0xfffffff00849419c: 00643991  add	x0, x0, #0xe59
0xfffffff0084941a0: db000094  bl	#0xfffffff00849450c
0xfffffff0084941a4: 7f2303d5  pacibsp	
0xfffffff0084941a8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0084941ac: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0084941b0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0084941b4: fd030191  add	x29, sp, #0x40
0xfffffff0084941b8: f30301aa  mov	x19, x1
0xfffffff0084941bc: f40300aa  mov	x20, x0
0xfffffff0084941c0: e00301aa  mov	x0, x1
0xfffffff0084941c4: c38de397  bl	#0xfffffff007d778d0
