; Candidate 9666
; ADRP+ADD at VM 0xfffffff008aaa848 (fileoff 0x1aa6848): page=0x1fe80f000 add_imm=0xe16

0xfffffff008aaa7c8: 486929f8  str	x8, [x10, x9]
0xfffffff008aaa7cc: 02000014  b	#0xfffffff008aaa7d4
0xfffffff008aaa7d0: 486929b8  str	w8, [x10, x9]
0xfffffff008aaa7d4: 6b7e41b9  ldr	w11, [x19, #0x17c]
0xfffffff008aaa7d8: 69c240f9  ldr	x9, [x19, #0x180]
0xfffffff008aaa7dc: 6a3a41b9  ldr	w10, [x19, #0x138]
0xfffffff008aaa7e0: 8b000034  cbz	w11, #0xfffffff008aaa7f0
0xfffffff008aaa7e4: 2b008052  mov	w11, #1
0xfffffff008aaa7e8: 4b6929f8  str	x11, [x10, x9]
0xfffffff008aaa7ec: 05000014  b	#0xfffffff008aaa800
0xfffffff008aaa7f0: 2b008052  mov	w11, #1
0xfffffff008aaa7f4: 4b6929b8  str	w11, [x10, x9]
0xfffffff008aaa7f8: 697e41b9  ldr	w9, [x19, #0x17c]
0xfffffff008aaa7fc: c91f0034  cbz	w9, #0xfffffff008aaabf4
0xfffffff008aaa800: 69c240f9  ldr	x9, [x19, #0x180]
0xfffffff008aaa804: 6a3a41b9  ldr	w10, [x19, #0x138]
0xfffffff008aaa808: 2a696af8  ldr	x10, [x9, x10]
0xfffffff008aaa80c: 6abe00b9  str	w10, [x19, #0xbc]
0xfffffff008aaa810: 6aa640b9  ldr	w10, [x19, #0xa4]
0xfffffff008aaa814: 2a696af8  ldr	x10, [x9, x10]
0xfffffff008aaa818: 6ac200b9  str	w10, [x19, #0xc0]
0xfffffff008aaa81c: 6aaa40b9  ldr	w10, [x19, #0xa8]
0xfffffff008aaa820: 2a696af8  ldr	x10, [x9, x10]
0xfffffff008aaa824: 6ac600b9  str	w10, [x19, #0xc4]
0xfffffff008aaa828: 6a6641b9  ldr	w10, [x19, #0x164]
0xfffffff008aaa82c: 2a696af8  ldr	x10, [x9, x10]
0xfffffff008aaa830: 6a7601b9  str	w10, [x19, #0x174]
0xfffffff008aaa834: 6a6241b9  ldr	w10, [x19, #0x160]
0xfffffff008aaa838: 29696af8  ldr	x9, [x9, x10]
0xfffffff008aaa83c: 697a01b9  str	w9, [x19, #0x178]
0xfffffff008aaa840: 48050034  cbz	w8, #0xfffffff008aaa8e8
0xfffffff008aaa844: 7f8e00f9  str	xzr, [x19, #0x118]
0xfffffff008aaa848: 6040fff0  adrp	x0, #0xfffffff0072b9000
0xfffffff008aaa84c: 00583891  add	x0, x0, #0xe16
0xfffffff008aaa850: 010080d2  mov	x1, #0
0xfffffff008aaa854: 4680e397  bl	#0xfffffff00838a96c
0xfffffff008aaa858: 010080d2  mov	x1, #0
0xfffffff008aaa85c: 9877e397  bl	#0xfffffff0083886bc
0xfffffff008aaa860: 600f00b4  cbz	x0, #0xfffffff008aaaa4c
0xfffffff008aaa864: 100040f9  ldr	x16, [x0]
0xfffffff008aaa868: f10300aa  mov	x17, x0
0xfffffff008aaa86c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008aaa870: 301ac1da  autda	x16, x17
0xfffffff008aaa874: 112380d2  mov	x17, #0x118
0xfffffff008aaa878: 1002118b  add	x16, x16, x17
0xfffffff008aaa87c: 080240f9  ldr	x8, [x16]
0xfffffff008aaa880: e90310aa  mov	x9, x16
0xfffffff008aaa884: 6140fff0  adrp	x1, #0xfffffff0072b9000
0xfffffff008aaa888: 21583891  add	x1, x1, #0xe16
0xfffffff008aaa88c: f10309aa  mov	x17, x9
0xfffffff008aaa890: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008aaa894: 11093fd7  blraa	x8, x17
0xfffffff008aaa898: 287efff0  adrp	x8, #0xfffffff007a71000
0xfffffff008aaa89c: 08a13191  add	x8, x8, #0xc68
0xfffffff008aaa8a0: 010140f9  ldr	x1, [x8]
0xfffffff008aaa8a4: 14e5e097  bl	#0xfffffff0082e3cf4
0xfffffff008aaa8a8: 608e00f9  str	x0, [x19, #0x118]
0xfffffff008aaa8ac: 400d00b4  cbz	x0, #0xfffffff008aaaa54
0xfffffff008aaa8b0: 100040f9  ldr	x16, [x0]
0xfffffff008aaa8b4: f10300aa  mov	x17, x0
0xfffffff008aaa8b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008aaa8bc: 301ac1da  autda	x16, x17
0xfffffff008aaa8c0: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008aaa8c4: e90310aa  mov	x9, x16
