; Candidate 16714
; ADRP+ADD at VM 0xfffffff009f31d68 (fileoff 0x2f2dd68): page=0x1fde04000 add_imm=0xd98

0xfffffff009f31ce8: fd830191  add	x29, sp, #0x60
0xfffffff009f31cec: f30300aa  mov	x19, x0
0xfffffff009f31cf0: 14c00291  add	x20, x0, #0xb0
0xfffffff009f31cf4: e00314aa  mov	x0, x20
0xfffffff009f31cf8: 2eef7997  bl	#0xfffffff007dad9b0
0xfffffff009f31cfc: 68b241f9  ldr	x8, [x19, #0x360]
0xfffffff009f31d00: c81e00b5  cbnz	x8, #0xfffffff009f320d8
0xfffffff009f31d04: b9707e97  bl	#0xfffffff007ecdfe8
0xfffffff009f31d08: 60b201f9  str	x0, [x19, #0x360]
0xfffffff009f31d0c: 68fa40f9  ldr	x8, [x19, #0x1f0]
0xfffffff009f31d10: e80000b4  cbz	x8, #0xfffffff009f31d2c
0xfffffff009f31d14: e00314aa  mov	x0, x20
0xfffffff009f31d18: 81008052  mov	w1, #4
0xfffffff009f31d1c: e20313aa  mov	x2, x19
0xfffffff009f31d20: 03008052  mov	w3, #0
0xfffffff009f31d24: e3f37997  bl	#0xfffffff007daecb0
0xfffffff009f31d28: f9ffff17  b	#0xfffffff009f31d0c
0xfffffff009f31d2c: e00314aa  mov	x0, x20
0xfffffff009f31d30: b3f27997  bl	#0xfffffff007dae7fc
0xfffffff009f31d34: 74b641f9  ldr	x20, [x19, #0x368]
0xfffffff009f31d38: 182500f0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009f31d3c: 172500f0  adrp	x23, #0xfffffff00a3d4000
0xfffffff009f31d40: f7222a91  add	x23, x23, #0xa88
0xfffffff009f31d44: f40100b4  cbz	x20, #0xfffffff009f31d80
0xfffffff009f31d48: e00314aa  mov	x0, x20
0xfffffff009f31d4c: 60e77997  bl	#0xfffffff007dabacc
0xfffffff009f31d50: 9f620079  strh	wzr, [x20, #0x30]
0xfffffff009f31d54: e00314aa  mov	x0, x20
0xfffffff009f31d58: 79ea7997  bl	#0xfffffff007dac73c
0xfffffff009f31d5c: 01cb44f9  ldr	x1, [x24, #0x990]
0xfffffff009f31d60: e00314aa  mov	x0, x20
0xfffffff009f31d64: 1de77997  bl	#0xfffffff007dab9d8
0xfffffff009f31d68: 20f0fe90  adrp	x0, #0xfffffff007d35000
0xfffffff009f31d6c: 00603691  add	x0, x0, #0xd98
0xfffffff009f31d70: e10314aa  mov	x1, x20
0xfffffff009f31d74: 66929097  bl	#0xfffffff00835670c
0xfffffff009f31d78: e8068092  mov	x8, #-0x38
0xfffffff009f31d7c: e80228f8  ldadd	x8, x8, [x23]
0xfffffff009f31d80: 7fb601f9  str	xzr, [x19, #0x368]
0xfffffff009f31d84: e00313aa  mov	x0, x19
0xfffffff009f31d88: 9811fe97  bl	#0xfffffff009eb63e8
0xfffffff009f31d8c: 746e40f9  ldr	x20, [x19, #0xd8]
0xfffffff009f31d90: 341100b4  cbz	x20, #0xfffffff009f31fb4
0xfffffff009f31d94: 68ae4439  ldrb	w8, [x19, #0x12b]
0xfffffff009f31d98: 080f0035  cbnz	w8, #0xfffffff009f31f78
0xfffffff009f31d9c: e00314aa  mov	x0, x20
0xfffffff009f31da0: 4be77997  bl	#0xfffffff007dabacc
0xfffffff009f31da4: 881a40b9  ldr	w8, [x20, #0x18]
0xfffffff009f31da8: 08010032  orr	w8, w8, #1
0xfffffff009f31dac: 881a00b9  str	w8, [x20, #0x18]
0xfffffff009f31db0: e00314aa  mov	x0, x20
0xfffffff009f31db4: 62ea7997  bl	#0xfffffff007dac73c
0xfffffff009f31db8: 7ae98052  mov	w26, #0x74b
0xfffffff009f31dbc: 99c9fed0  adrp	x25, #0xfffffff007863000
0xfffffff009f31dc0: 39ab1c91  add	x25, x25, #0x72a
0xfffffff009f31dc4: 96c9fed0  adrp	x22, #0xfffffff007863000
0xfffffff009f31dc8: d6f61b91  add	x22, x22, #0x6fd
0xfffffff009f31dcc: e00313aa  mov	x0, x19
0xfffffff009f31dd0: 01018052  mov	w1, #8
0xfffffff009f31dd4: 0a840094  bl	#0xfffffff009f52dfc
0xfffffff009f31dd8: 1f400071  cmp	w0, #0x10
0xfffffff009f31ddc: 41010054  b.ne	#0xfffffff009f31e04
0xfffffff009f31de0: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009f31de4: 088942f9  ldr	x8, [x8, #0x510]
