; Candidate 10385
; ADRP+ADD at VM 0xfffffff008d2491c (fileoff 0x1d2091c): page=0x1fedab000 add_imm=0xd80

0xfffffff008d2489c: 10220891  add	x16, x16, #0x208
0xfffffff008d248a0: 10e20291  add	x16, x16, #0xb8
0xfffffff008d248a4: f10308aa  mov	x17, x8
0xfffffff008d248a8: 9164e1f2  movk	x17, #0xb24, lsl #48
0xfffffff008d248ac: 300ac1da  pacda	x16, x17
0xfffffff008d248b0: 100800f9  str	x16, [x0, #0x10]
0xfffffff008d248b4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d248b8: ff0f5fd6  retab	
0xfffffff008d248bc: 5f2403d5  bti	c
0xfffffff008d248c0: 230bd717  b	#0xfffffff0082e754c
0xfffffff008d248c4: 5f2403d5  bti	c
0xfffffff008d248c8: 210bd717  b	#0xfffffff0082e754c
0xfffffff008d248cc: 7f2303d5  pacibsp	
0xfffffff008d248d0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d248d4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d248d8: fd430091  add	x29, sp, #0x10
0xfffffff008d248dc: f30300aa  mov	x19, x0
0xfffffff008d248e0: 1b0bd797  bl	#0xfffffff0082e754c
0xfffffff008d248e4: 406dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d248e8: 00003691  add	x0, x0, #0xd80
0xfffffff008d248ec: e10313aa  mov	x1, x19
0xfffffff008d248f0: 02098052  mov	w2, #0x48
0xfffffff008d248f4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008d248f8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008d248fc: ff2303d5  autibsp	
0xfffffff008d24900: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d24904: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d2490c
0xfffffff008d24908: 208e38d4  brk	#0xc471
0xfffffff008d2490c: 640bd717  b	#0xfffffff0082e769c
0xfffffff008d24910: 5f2403d5  bti	c
0xfffffff008d24914: e20301aa  mov	x2, x1
0xfffffff008d24918: e10300aa  mov	x1, x0
0xfffffff008d2491c: 406dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d24920: 00003691  add	x0, x0, #0xd80
0xfffffff008d24924: 5e0bd717  b	#0xfffffff0082e769c
0xfffffff008d24928: 5f2403d5  bti	c
0xfffffff008d2492c: 20ae0090  adrp	x0, #0xfffffff00a2e8000
0xfffffff008d24930: 00600091  add	x0, x0, #0x18
0xfffffff008d24934: c0035fd6  ret	
0xfffffff008d24938: 7f2303d5  pacibsp	
0xfffffff008d2493c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d24940: fd030091  mov	x29, sp
0xfffffff008d24944: c132ffd0  adrp	x1, #0xfffffff00737e000
0xfffffff008d24948: 21bc0191  add	x1, x1, #0x6f
0xfffffff008d2494c: 426dffb0  adrp	x2, #0xfffffff007acd000
0xfffffff008d24950: 42d443f9  ldr	x2, [x2, #0x7a8]
0xfffffff008d24954: 03098052  mov	w3, #0x48
0xfffffff008d24958: 78fcd697  bl	#0xfffffff0082e3b38
0xfffffff008d2495c: 506dfff0  adrp	x16, #0xfffffff007acf000
0xfffffff008d24960: 10e20b91  add	x16, x16, #0x2f8
0xfffffff008d24964: 10420091  add	x16, x16, #0x10
0xfffffff008d24968: f10300aa  mov	x17, x0
0xfffffff008d2496c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d24970: 300ac1da  pacda	x16, x17
0xfffffff008d24974: 100000f9  str	x16, [x0]
0xfffffff008d24978: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d2497c: ff0f5fd6  retab	
0xfffffff008d24980: 7f2303d5  pacibsp	
0xfffffff008d24984: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d24988: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d2498c: fd430091  add	x29, sp, #0x10
0xfffffff008d24990: 406dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d24994: 00003691  add	x0, x0, #0xd80
0xfffffff008d24998: 01098052  mov	w1, #0x48
