; Candidate 15380
; ADRP+ADD at VM 0xfffffff009b58724 (fileoff 0x2b54724): page=0x1fdad0000 add_imm=0xed0

0xfffffff009b586a4: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b586a8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b586ac: e00313aa  mov	x0, x19
0xfffffff009b586b0: 010080d2  mov	x1, #0
0xfffffff009b586b4: f10308aa  mov	x17, x8
0xfffffff009b586b8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b586bc: 31093fd7  blraa	x9, x17
0xfffffff009b586c0: fb0300aa  mov	x27, x0
0xfffffff009b586c4: 700240f9  ldr	x16, [x19]
0xfffffff009b586c8: f10313aa  mov	x17, x19
0xfffffff009b586cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b586d0: 301ac1da  autda	x16, x17
0xfffffff009b586d4: f10310aa  mov	x17, x16
0xfffffff009b586d8: f147c1da  xpacd	x17
0xfffffff009b586dc: 1f0211eb  cmp	x16, x17
0xfffffff009b586e0: 40000054  b.eq	#0xfffffff009b586e8
0xfffffff009b586e4: 408e38d4  brk	#0xc472
0xfffffff009b586e8: 08620891  add	x8, x16, #0x218
0xfffffff009b586ec: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b586f0: e00313aa  mov	x0, x19
0xfffffff009b586f4: 010080d2  mov	x1, #0
0xfffffff009b586f8: f10308aa  mov	x17, x8
0xfffffff009b586fc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b58700: 31093fd7  blraa	x9, x17
0xfffffff009b58704: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009b58708: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff009b5870c: 88d6fef0  adrp	x8, #0xfffffff00762b000
0xfffffff009b58710: 09050b91  add	x9, x8, #0x2c1
0xfffffff009b58714: 88d6feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b58718: 08f11f91  add	x8, x8, #0x7fc
0xfffffff009b5871c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009b58720: fb0300a9  stp	x27, x0, [sp]
0xfffffff009b58724: 80d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b58728: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5872c: e1031caa  mov	x1, x28
0xfffffff009b58730: 02028052  mov	w2, #0x10
0xfffffff009b58734: a3d6fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b58738: 63983d91  add	x3, x3, #0xf66
0xfffffff009b5873c: 7d6a9f97  bl	#0xfffffff008333130
0xfffffff009b58740: df060472  tst	w22, #0x30000000
0xfffffff009b58744: 600f0054  b.eq	#0xfffffff009b58930
0xfffffff009b58748: 68124739  ldrb	w8, [x19, #0x1c4]
0xfffffff009b5874c: 490c8052  mov	w9, #0x62
0xfffffff009b58750: 1f01096a  tst	w8, w9
0xfffffff009b58754: 60050054  b.eq	#0xfffffff009b58800
0xfffffff009b58758: d1d58d97  bl	#0xfffffff007ecde9c
0xfffffff009b5875c: 1f040071  cmp	w0, #1
0xfffffff009b58760: 01050054  b.ne	#0xfffffff009b58800
0xfffffff009b58764: 700240f9  ldr	x16, [x19]
0xfffffff009b58768: f10313aa  mov	x17, x19
0xfffffff009b5876c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b58770: 301ac1da  autda	x16, x17
0xfffffff009b58774: 113d80d2  mov	x17, #0x1e8
0xfffffff009b58778: 1002118b  add	x16, x16, x17
0xfffffff009b5877c: 080240f9  ldr	x8, [x16]
0xfffffff009b58780: e90310aa  mov	x9, x16
0xfffffff009b58784: e00313aa  mov	x0, x19
0xfffffff009b58788: 010080d2  mov	x1, #0
0xfffffff009b5878c: f10309aa  mov	x17, x9
0xfffffff009b58790: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b58794: 11093fd7  blraa	x8, x17
0xfffffff009b58798: fb0300aa  mov	x27, x0
0xfffffff009b5879c: 700240f9  ldr	x16, [x19]
0xfffffff009b587a0: f10313aa  mov	x17, x19
