; Candidate 3341
; ADRP+ADD at VM 0xfffffff008734ae0 (fileoff 0x1730ae0): page=0x1fe9fd000 add_imm=0xd90

0xfffffff008734a60: 1f090072  tst	w8, #7
0xfffffff008734a64: 00010054  b.eq	#0xfffffff008734a84
0xfffffff008734a68: 16008052  mov	w22, #0
0xfffffff008734a6c: 081d0011  add	w8, w8, #7
0xfffffff008734a70: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff008734a74: e80200b9  str	w8, [x23]
0xfffffff008734a78: 04000014  b	#0xfffffff008734a88
0xfffffff008734a7c: 16090012  and	w22, w8, #7
0xfffffff008734a80: 02000014  b	#0xfffffff008734a88
0xfffffff008734a84: 16008052  mov	w22, #0
0xfffffff008734a88: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff008734a8c: 08b0a552  mov	w8, #0x2d800000
0xfffffff008734a90: c80a1133  bfi	w8, w22, #0xf, #3
0xfffffff008734a94: 689e03b9  str	w8, [x19, #0x39c]
0xfffffff008734a98: 750c40f9  ldr	x21, [x3, #0x18]
0xfffffff008734a9c: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff008734aa0: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008734aa4: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008734aa8: a26301d1  sub	x2, x29, #0x58
0xfffffff008734aac: e3830191  add	x3, sp, #0x60
0xfffffff008734ab0: e00315aa  mov	x0, x21
0xfffffff008734ab4: 10060294  bl	#0xfffffff0087b62f4
0xfffffff008734ab8: e0050034  cbz	w0, #0xfffffff008734b74
0xfffffff008734abc: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008734ac0: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff008734ac4: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008734ac8: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008734acc: c90100b4  cbz	x9, #0xfffffff008734b04
0xfffffff008734ad0: 68d58052  mov	w8, #0x6ab
0xfffffff008734ad4: e950fff0  adrp	x9, #0xfffffff007153000
0xfffffff008734ad8: 29593f91  add	x9, x9, #0xfd6
0xfffffff008734adc: e92300a9  stp	x9, x8, [sp]
0xfffffff008734ae0: e04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008734ae4: 00403691  add	x0, x0, #0xd90
0xfffffff008734ae8: 4196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008734aec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008734af0: 2350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008734af4: 635c0991  add	x3, x3, #0x257
0xfffffff008734af8: 02008052  mov	w2, #0
0xfffffff008734afc: 8df9ef97  bl	#0xfffffff008333130
0xfffffff008734b00: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008734b04: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff008734b08: 62030054  b.hs	#0xfffffff008734b74
0xfffffff008734b0c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008734b10: 6a9e43b9  ldr	w10, [x19, #0x39c]
0xfffffff008734b14: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008734b18: 49551633  bfi	w9, w10, #0xa, #0x16
0xfffffff008734b1c: 699e03b9  str	w9, [x19, #0x39c]
0xfffffff008734b20: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff008734b24: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff008734b28: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008734b2c: 690000b5  cbnz	x9, #0xfffffff008734b38
0xfffffff008734b30: 087d4092  and	x8, x8, #0xffffffff
0xfffffff008734b34: 0e000014  b	#0xfffffff008734b6c
0xfffffff008734b38: 88d58052  mov	w8, #0x6ac
0xfffffff008734b3c: e950fff0  adrp	x9, #0xfffffff007153000
0xfffffff008734b40: 29593f91  add	x9, x9, #0xfd6
0xfffffff008734b44: e92300a9  stp	x9, x8, [sp]
0xfffffff008734b48: e04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008734b4c: 00403691  add	x0, x0, #0xd90
0xfffffff008734b50: 4196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008734b54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008734b58: 2350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008734b5c: 632c0a91  add	x3, x3, #0x28b
