; Candidate 8044
; ADRP+ADD at VM 0xfffffff00888f7e0 (fileoff 0x188b7e0): page=0x1fe95a000 add_imm=0xe80

0xfffffff00888f760: f80300f9  str	x24, [sp]
0xfffffff00888f764: c04affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888f768: 00003a91  add	x0, x0, #0xe80
0xfffffff00888f76c: c18bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888f770: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888f774: 02008052  mov	w2, #0
0xfffffff00888f778: 6e8eea97  bl	#0xfffffff008333130
0xfffffff00888f77c: 187d8012  mov	w24, #-0x3e9
0xfffffff00888f780: 1f000014  b	#0xfffffff00888f7fc
0xfffffff00888f784: 8a920094  bl	#0xfffffff0088b41ac
0xfffffff00888f788: f50300aa  mov	x21, x0
0xfffffff00888f78c: 80008052  mov	w0, #4
0xfffffff00888f790: 30b0ff97  bl	#0xfffffff00887b850
0xfffffff00888f794: 687a7cb8  ldr	w8, [x19, x28, lsl #2]
0xfffffff00888f798: e90318aa  mov	x9, x24
0xfffffff00888f79c: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff00888f7a0: e80319aa  mov	x8, x25
0xfffffff00888f7a4: e87304a9  stp	x8, x28, [sp, #0x40]
0xfffffff00888f7a8: e80317aa  mov	x8, x23
0xfffffff00888f7ac: a98302d1  sub	x9, x29, #0xa0
0xfffffff00888f7b0: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00888f7b4: 084cffb0  adrp	x8, #0xfffffff007210000
0xfffffff00888f7b8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00888f7bc: e9198052  mov	w9, #0xcf
0xfffffff00888f7c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888f7c4: 084dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888f7c8: 08b50a91  add	x8, x8, #0x2ad
0xfffffff00888f7cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888f7d0: 88098052  mov	w8, #0x4c
0xfffffff00888f7d4: 634efff0  adrp	x3, #0xfffffff00725e000
0xfffffff00888f7d8: 63141791  add	x3, x3, #0x5c5
0xfffffff00888f7dc: f52300a9  stp	x21, x8, [sp]
0xfffffff00888f7e0: c04affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888f7e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00888f7e8: c18bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888f7ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888f7f0: 02008052  mov	w2, #0
0xfffffff00888f7f4: 4f8eea97  bl	#0xfffffff008333130
0xfffffff00888f7f8: f34740f9  ldr	x19, [sp, #0x88]
0xfffffff00888f7fc: e00314aa  mov	x0, x20
0xfffffff00888f800: e10313aa  mov	x1, x19
0xfffffff00888f804: 11000094  bl	#0xfffffff00888f848
0xfffffff00888f808: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00888f80c: c98bffb0  adrp	x9, #0xfffffff007a08000
0xfffffff00888f810: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00888f814: 290140f9  ldr	x9, [x9]
0xfffffff00888f818: 3f0108eb  cmp	x9, x8
0xfffffff00888f81c: 41010054  b.ne	#0xfffffff00888f844
0xfffffff00888f820: e00318aa  mov	x0, x24
0xfffffff00888f824: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff00888f828: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff00888f82c: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff00888f830: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff00888f834: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff00888f838: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff00888f83c: ff830591  add	sp, sp, #0x160
0xfffffff00888f840: ff0f5fd6  retab	
0xfffffff00888f844: 8239d397  bl	#0xfffffff007d5de4c
0xfffffff00888f848: 7f2303d5  pacibsp	
0xfffffff00888f84c: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00888f850: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff00888f854: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00888f858: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00888f85c: f65707a9  stp	x22, x21, [sp, #0x70]
