; Candidate 1438
; ADRP+ADD at VM 0xfffffff0083e2e44 (fileoff 0x13dee44): page=0x1fecbe000 add_imm=0xd9a

0xfffffff0083e2dc4: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff0083e2dc8: e90310aa  mov	x9, x16
0xfffffff0083e2dcc: e00313aa  mov	x0, x19
0xfffffff0083e2dd0: 21008052  mov	w1, #1
0xfffffff0083e2dd4: f10309aa  mov	x17, x9
0xfffffff0083e2dd8: 5152f4f2  movk	x17, #0xa292, lsl #48
0xfffffff0083e2ddc: 11093fd7  blraa	x8, x17
0xfffffff0083e2de0: 80010037  tbnz	w0, #0, #0xfffffff0083e2e10
0xfffffff0083e2de4: 700240f9  ldr	x16, [x19]
0xfffffff0083e2de8: f10313aa  mov	x17, x19
0xfffffff0083e2dec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e2df0: 301ac1da  autda	x16, x17
0xfffffff0083e2df4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0083e2df8: e90310aa  mov	x9, x16
0xfffffff0083e2dfc: e00313aa  mov	x0, x19
0xfffffff0083e2e00: f10309aa  mov	x17, x9
0xfffffff0083e2e04: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0083e2e08: 11093fd7  blraa	x8, x17
0xfffffff0083e2e0c: 130080d2  mov	x19, #0
0xfffffff0083e2e10: 34f300d0  adrp	x20, #0xfffffff00a248000
0xfffffff0083e2e14: 800241f9  ldr	x0, [x20, #0x200]
0xfffffff0083e2e18: 400100b4  cbz	x0, #0xfffffff0083e2e40
0xfffffff0083e2e1c: 100040f9  ldr	x16, [x0]
0xfffffff0083e2e20: f10300aa  mov	x17, x0
0xfffffff0083e2e24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e2e28: 301ac1da  autda	x16, x17
0xfffffff0083e2e2c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0083e2e30: e90310aa  mov	x9, x16
0xfffffff0083e2e34: f10309aa  mov	x17, x9
0xfffffff0083e2e38: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0083e2e3c: 11093fd7  blraa	x8, x17
0xfffffff0083e2e40: 930201f9  str	x19, [x20, #0x200]
0xfffffff0083e2e44: e065ffd0  adrp	x0, #0xfffffff0070a0000
0xfffffff0083e2e48: 00683691  add	x0, x0, #0xd9a
0xfffffff0083e2e4c: fb18fd97  bl	#0xfffffff008329238
0xfffffff0083e2e50: f30300aa  mov	x19, x0
0xfffffff0083e2e54: 34f300d0  adrp	x20, #0xfffffff00a248000
0xfffffff0083e2e58: 800641f9  ldr	x0, [x20, #0x208]
0xfffffff0083e2e5c: 400100b4  cbz	x0, #0xfffffff0083e2e84
0xfffffff0083e2e60: 100040f9  ldr	x16, [x0]
0xfffffff0083e2e64: f10300aa  mov	x17, x0
0xfffffff0083e2e68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e2e6c: 301ac1da  autda	x16, x17
0xfffffff0083e2e70: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0083e2e74: e90310aa  mov	x9, x16
0xfffffff0083e2e78: f10309aa  mov	x17, x9
0xfffffff0083e2e7c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0083e2e80: 11093fd7  blraa	x8, x17
0xfffffff0083e2e84: 930601f9  str	x19, [x20, #0x208]
0xfffffff0083e2e88: b3f100d0  adrp	x19, #0xfffffff00a218000
0xfffffff0083e2e8c: 73c20791  add	x19, x19, #0x1f0
0xfffffff0083e2e90: 700240f9  ldr	x16, [x19]
0xfffffff0083e2e94: f10313aa  mov	x17, x19
0xfffffff0083e2e98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083e2e9c: 301ac1da  autda	x16, x17
0xfffffff0083e2ea0: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff0083e2ea4: e90310aa  mov	x9, x16
0xfffffff0083e2ea8: e00313aa  mov	x0, x19
0xfffffff0083e2eac: f10309aa  mov	x17, x9
0xfffffff0083e2eb0: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff0083e2eb4: 11093fd7  blraa	x8, x17
0xfffffff0083e2eb8: f40300aa  mov	x20, x0
0xfffffff0083e2ebc: 200300b4  cbz	x0, #0xfffffff0083e2f20
0xfffffff0083e2ec0: 900240f9  ldr	x16, [x20]
