; Candidate 9530
; ADRP+ADD at VM 0xfffffff008a693c8 (fileoff 0x1a653c8): page=0x1fe846000 add_imm=0xe77

0xfffffff008a69348: 087d141b  mul	w8, w8, w20
0xfffffff008a6934c: 087db59b  umull	x8, w8, w21
0xfffffff008a69350: 08fd67d3  lsr	x8, x8, #0x27
0xfffffff008a69354: e80300f9  str	x8, [sp]
0xfffffff008a69358: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a6935c: 00683891  add	x0, x0, #0xe1a
0xfffffff008a69360: 30b7e397  bl	#0xfffffff008357020
0xfffffff008a69364: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a69368: 1f1d0071  cmp	w8, #7
0xfffffff008a6936c: 23130054  b.lo	#0xfffffff008a695d0
0xfffffff008a69370: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a69374: 00fc3891  add	x0, x0, #0xe3f
0xfffffff008a69378: 2ab7e397  bl	#0xfffffff008357020
0xfffffff008a6937c: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a69380: 1f1d0071  cmp	w8, #7
0xfffffff008a69384: 63120054  b.lo	#0xfffffff008a695d0
0xfffffff008a69388: 606242bd  ldr	s0, [x19, #0x260]
0xfffffff008a6938c: 0800389e  fcvtzs	x8, s0
0xfffffff008a69390: 097d8052  mov	w9, #0x3e8
0xfffffff008a69394: 087d099b  mul	x8, x8, x9
0xfffffff008a69398: e80300f9  str	x8, [sp]
0xfffffff008a6939c: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a693a0: 00583991  add	x0, x0, #0xe56
0xfffffff008a693a4: 1fb7e397  bl	#0xfffffff008357020
0xfffffff008a693a8: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a693ac: 1f1d0071  cmp	w8, #7
0xfffffff008a693b0: 03110054  b.lo	#0xfffffff008a695d0
0xfffffff008a693b4: 606642bd  ldr	s0, [x19, #0x264]
0xfffffff008a693b8: 0800389e  fcvtzs	x8, s0
0xfffffff008a693bc: 097d8052  mov	w9, #0x3e8
0xfffffff008a693c0: 087d099b  mul	x8, x8, x9
0xfffffff008a693c4: e80300f9  str	x8, [sp]
0xfffffff008a693c8: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a693cc: 00dc3991  add	x0, x0, #0xe77
0xfffffff008a693d0: 14b7e397  bl	#0xfffffff008357020
0xfffffff008a693d4: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a693d8: 1f1d0071  cmp	w8, #7
0xfffffff008a693dc: a30f0054  b.lo	#0xfffffff008a695d0
0xfffffff008a693e0: 606a42bd  ldr	s0, [x19, #0x268]
0xfffffff008a693e4: 0800389e  fcvtzs	x8, s0
0xfffffff008a693e8: 097d8052  mov	w9, #0x3e8
0xfffffff008a693ec: 087d099b  mul	x8, x8, x9
0xfffffff008a693f0: e80300f9  str	x8, [sp]
0xfffffff008a693f4: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a693f8: 00603a91  add	x0, x0, #0xe98
0xfffffff008a693fc: 09b7e397  bl	#0xfffffff008357020
0xfffffff008a69400: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a69404: 1f1d0071  cmp	w8, #7
0xfffffff008a69408: 430e0054  b.lo	#0xfffffff008a695d0
0xfffffff008a6940c: 604242bd  ldr	s0, [x19, #0x240]
0xfffffff008a69410: 488fa852  mov	w8, #0x447a0000
0xfffffff008a69414: 0101271e  fmov	s1, w8
0xfffffff008a69418: 0008211e  fmul	s0, s0, s1
0xfffffff008a6941c: 0800389e  fcvtzs	x8, s0
0xfffffff008a69420: e80300f9  str	x8, [sp]
0xfffffff008a69424: 2042ffd0  adrp	x0, #0xfffffff0072af000
0xfffffff008a69428: 00e43a91  add	x0, x0, #0xeb9
0xfffffff008a6942c: fdb6e397  bl	#0xfffffff008357020
0xfffffff008a69430: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a69434: 1f1d0071  cmp	w8, #7
0xfffffff008a69438: c30c0054  b.lo	#0xfffffff008a695d0
0xfffffff008a6943c: 604a42bd  ldr	s0, [x19, #0x248]
0xfffffff008a69440: 488fa852  mov	w8, #0x447a0000
0xfffffff008a69444: 0101271e  fmov	s1, w8
