; Candidate 1032
; ADRP+ADD at VM 0xfffffff00819ba70 (fileoff 0x1197a70): page=0x1feee7000 add_imm=0xe57

0xfffffff00819b9f0: f00308aa  mov	x16, x8
0xfffffff00819b9f4: b19597d2  mov	x17, #0xbcad
0xfffffff00819b9f8: 110a1fd7  braa	x16, x17
0xfffffff00819b9fc: 7f2303d5  pacibsp	
0xfffffff00819ba00: ff0301d1  sub	sp, sp, #0x40
0xfffffff00819ba04: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00819ba08: fdc30091  add	x29, sp, #0x30
0xfffffff00819ba0c: 08008139  ldrsb	x8, [x0, #0x40]
0xfffffff00819ba10: 2977fff0  adrp	x9, #0xfffffff007082000
0xfffffff00819ba14: 291d3291  add	x9, x9, #0xc87
0xfffffff00819ba18: eac18152  mov	w10, #0xe0f
0xfffffff00819ba1c: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00819ba20: 2977fff0  adrp	x9, #0xfffffff007082000
0xfffffff00819ba24: 29f13991  add	x9, x9, #0xe7c
0xfffffff00819ba28: e00701a9  stp	x0, x1, [sp, #0x10]
0xfffffff00819ba2c: e92300a9  stp	x9, x8, [sp]
0xfffffff00819ba30: 2077fff0  adrp	x0, #0xfffffff007082000
0xfffffff00819ba34: 005c3991  add	x0, x0, #0xe57
0xfffffff00819ba38: b5e20b94  bl	#0xfffffff00849450c
0xfffffff00819ba3c: 7f2303d5  pacibsp	
0xfffffff00819ba40: ff0301d1  sub	sp, sp, #0x40
0xfffffff00819ba44: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00819ba48: fdc30091  add	x29, sp, #0x30
0xfffffff00819ba4c: 08008139  ldrsb	x8, [x0, #0x40]
0xfffffff00819ba50: 2977fff0  adrp	x9, #0xfffffff007082000
0xfffffff00819ba54: 291d3291  add	x9, x9, #0xc87
0xfffffff00819ba58: 2ac18152  mov	w10, #0xe09
0xfffffff00819ba5c: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00819ba60: 2977fff0  adrp	x9, #0xfffffff007082000
0xfffffff00819ba64: 29b53991  add	x9, x9, #0xe6d
0xfffffff00819ba68: e00701a9  stp	x0, x1, [sp, #0x10]
0xfffffff00819ba6c: e92300a9  stp	x9, x8, [sp]
0xfffffff00819ba70: 2077fff0  adrp	x0, #0xfffffff007082000
0xfffffff00819ba74: 005c3991  add	x0, x0, #0xe57
0xfffffff00819ba78: a5e20b94  bl	#0xfffffff00849450c
0xfffffff00819ba7c: 5f2403d5  bti	c
0xfffffff00819ba80: 08844079  ldrh	w8, [x0, #0x42]
0xfffffff00819ba84: 08011232  orr	w8, w8, #0x4000
0xfffffff00819ba88: 08840079  strh	w8, [x0, #0x42]
0xfffffff00819ba8c: a8058052  mov	w8, #0x2d
0xfffffff00819ba90: 082c00f9  str	x8, [x0, #0x58]
0xfffffff00819ba94: 00008052  mov	w0, #0
0xfffffff00819ba98: c0035fd6  ret	
0xfffffff00819ba9c: 7f2303d5  pacibsp	
0xfffffff00819baa0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00819baa4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00819baa8: fd430091  add	x29, sp, #0x10
0xfffffff00819baac: f30302aa  mov	x19, x2
0xfffffff00819bab0: f40301aa  mov	x20, x1
0xfffffff00819bab4: c8bbff90  adrp	x8, #0xfffffff007913000
0xfffffff00819bab8: 005d43f9  ldr	x0, [x8, #0x6b8]
0xfffffff00819babc: b4b3f197  bl	#0xfffffff007e0898c
0xfffffff00819bac0: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff00819bac4: 14fd5693  asr	x20, x8, #0x16
0xfffffff00819bac8: c8bbff90  adrp	x8, #0xfffffff007913000
0xfffffff00819bacc: 006943f9  ldr	x0, [x8, #0x6d0]
0xfffffff00819bad0: e10314aa  mov	x1, x20
0xfffffff00819bad4: aeb3f197  bl	#0xfffffff007e0898c
0xfffffff00819bad8: 816a40f9  ldr	x1, [x20, #0xd0]
0xfffffff00819badc: 810200b4  cbz	x1, #0xfffffff00819bb2c
0xfffffff00819bae0: e8b9ffb0  adrp	x8, #0xfffffff0078d8000
0xfffffff00819bae4: 08411c91  add	x8, x8, #0x710
0xfffffff00819bae8: 09210091  add	x9, x8, #8
0xfffffff00819baec: 082540a9  ldp	x8, x9, [x8]
