; Candidate 516
; ADRP+ADD at VM 0xfffffff007f51794 (fileoff 0xf4d794): page=0x22ec000 add_imm=0xe90

0xfffffff007f51714: 16d440a9  ldp	x22, x21, [x0, #8]
0xfffffff007f51718: 181840b9  ldr	w24, [x0, #0x18]
0xfffffff007f5171c: 1b6442a9  ldp	x27, x25, [x0, #0x20]
0xfffffff007f51720: bf8315f8  stur	xzr, [x29, #-0xa8]
0xfffffff007f51724: ffff0aa9  stp	xzr, xzr, [sp, #0xa8]
0xfffffff007f51728: ff5300f9  str	xzr, [sp, #0xa0]
0xfffffff007f5172c: 9ad038d5  mrs	x26, tpidr_el1
0xfffffff007f51730: 480840f9  ldr	x8, [x2, #0x10]
0xfffffff007f51734: 1f011aeb  cmp	x8, x26
0xfffffff007f51738: e0000054  b.eq	#0xfffffff007f51754
0xfffffff007f5173c: 60e20091  add	x0, x19, #0x38
0xfffffff007f51740: e872f997  bl	#0xfffffff007dae2e0
0xfffffff007f51744: a00c0034  cbz	w0, #0xfffffff007f518d8
0xfffffff007f51748: 08008092  mov	x8, #-1
0xfffffff007f5174c: 680a00f9  str	x8, [x19, #0x10]
0xfffffff007f51750: 04000014  b	#0xfffffff007f51760
0xfffffff007f51754: 680a40b9  ldr	w8, [x19, #8]
0xfffffff007f51758: 08050011  add	w8, w8, #1
0xfffffff007f5175c: 680a00b9  str	w8, [x19, #8]
0xfffffff007f51760: e2a30291  add	x2, sp, #0xa8
0xfffffff007f51764: e4830291  add	x4, sp, #0xa0
0xfffffff007f51768: e00316aa  mov	x0, x22
0xfffffff007f5176c: e10313aa  mov	x1, x19
0xfffffff007f51770: 03008052  mov	w3, #0
0xfffffff007f51774: 4dfcff97  bl	#0xfffffff007f508a8
0xfffffff007f51778: a0000034  cbz	w0, #0xfffffff007f5178c
0xfffffff007f5177c: fc0300aa  mov	x28, x0
0xfffffff007f51780: 1a0b00b4  cbz	x26, #0xfffffff007f518e0
0xfffffff007f51784: 400b42f9  ldr	x0, [x26, #0x410]
0xfffffff007f51788: 57000014  b	#0xfffffff007f518e4
0xfffffff007f5178c: fc5740f9  ldr	x28, [sp, #0xa8]
0xfffffff007f51790: 94c340f8  ldur	x20, [x28, #0xc]
0xfffffff007f51794: 60170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f51798: 00403a91  add	x0, x0, #0xe90
0xfffffff007f5179c: db70f997  bl	#0xfffffff007dadb08
0xfffffff007f517a0: 800b40b9  ldr	w0, [x28, #8]
0xfffffff007f517a4: 01038052  mov	w1, #0x18
0xfffffff007f517a8: a2679852  mov	w2, #0xc33d
0xfffffff007f517ac: 11fdff97  bl	#0xfffffff007f50bf0
0xfffffff007f517b0: 600a00b4  cbz	x0, #0xfffffff007f518fc
0xfffffff007f517b4: f00300aa  mov	x16, x0
0xfffffff007f517b8: f033c1da  autiza	x16
0xfffffff007f517bc: f10310aa  mov	x17, x16
0xfffffff007f517c0: f143c1da  xpaci	x17
0xfffffff007f517c4: 1f0211eb  cmp	x16, x17
0xfffffff007f517c8: 40000054  b.eq	#0xfffffff007f517d0
0xfffffff007f517cc: 008e38d4  brk	#0xc470
0xfffffff007f517d0: b16798d2  mov	x17, #0xc33d
0xfffffff007f517d4: 3002c1da  pacia	x16, x17
0xfffffff007f517d8: 300900b4  cbz	x16, #0xfffffff007f518fc
0xfffffff007f517dc: f73f00f9  str	x23, [sp, #0x78]
0xfffffff007f517e0: 77170190  adrp	x23, #0xfffffff00a23d000
0xfffffff007f517e4: f7423a91  add	x23, x23, #0xe90
0xfffffff007f517e8: e00317aa  mov	x0, x23
0xfffffff007f517ec: 8f73f997  bl	#0xfffffff007dae628
0xfffffff007f517f0: 1f040071  cmp	w0, #1
0xfffffff007f517f4: 41360054  b.ne	#0xfffffff007f51ebc
0xfffffff007f517f8: 7f3b41f2  tst	x27, #-0x7fffffffffffc001
0xfffffff007f517fc: 210a0054  b.ne	#0xfffffff007f51940
0xfffffff007f51800: 89021beb  subs	x9, x20, x27
0xfffffff007f51804: e9090054  b.ls	#0xfffffff007f51940
0xfffffff007f51808: 28374092  and	x8, x25, #0x3fff
0xfffffff007f5180c: a80900b5  cbnz	x8, #0xfffffff007f51940
0xfffffff007f51810: 08370012  and	w8, w24, #0x3fff
