; Candidate 16304
; ADRP+ADD at VM 0xfffffff009e4dfe4 (fileoff 0x2e49fe4): page=0x1fd9dd000 add_imm=0xe90

0xfffffff009e4df64: 882240f9  ldr	x8, [x20, #0x40]
0xfffffff009e4df68: 680300b4  cbz	x8, #0xfffffff009e4dfd4
0xfffffff009e4df6c: 530600b4  cbz	x19, #0xfffffff009e4e034
0xfffffff009e4df70: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009e4df74: 01c10391  add	x1, x8, #0xf0
0xfffffff009e4df78: f7630191  add	x23, sp, #0x58
0xfffffff009e4df7c: e0630191  add	x0, sp, #0x58
0xfffffff009e4df80: ed929397  bl	#0xfffffff008332b34
0xfffffff009e4df84: 68008052  mov	w8, #3
0xfffffff009e4df88: 0840a072  movk	w8, #0x200, lsl #16
0xfffffff009e4df8c: e86b00b9  str	w8, [sp, #0x68]
0xfffffff009e4df90: a09e50f9  ldr	x0, [x21, #0x2138]
0xfffffff009e4df94: e2630191  add	x2, sp, #0x58
0xfffffff009e4df98: 010080d2  mov	x1, #0
0xfffffff009e4df9c: 030080d2  mov	x3, #0
0xfffffff009e4dfa0: 04008052  mov	w4, #0
0xfffffff009e4dfa4: 01efff97  bl	#0xfffffff009e49ba8
0xfffffff009e4dfa8: 00040034  cbz	w0, #0xfffffff009e4e028
0xfffffff009e4dfac: f60300aa  mov	x22, x0
0xfffffff009e4dfb0: e8cefeb0  adrp	x8, #0xfffffff00782a000
0xfffffff009e4dfb4: 08193b91  add	x8, x8, #0xec6
0xfffffff009e4dfb8: c9918152  mov	w9, #0xc8e
0xfffffff009e4dfbc: e9db00a9  stp	x9, x22, [sp, #8]
0xfffffff009e4dfc0: e80300f9  str	x8, [sp]
0xfffffff009e4dfc4: e0cefeb0  adrp	x0, #0xfffffff00782a000
0xfffffff009e4dfc8: 00883b91  add	x0, x0, #0xee2
0xfffffff009e4dfcc: 3ec60094  bl	#0xfffffff009e7f8c4
0xfffffff009e4dfd0: 09000014  b	#0xfffffff009e4dff4
0xfffffff009e4dfd4: e8cefeb0  adrp	x8, #0xfffffff00782a000
0xfffffff009e4dfd8: 08193b91  add	x8, x8, #0xec6
0xfffffff009e4dfdc: 49908152  mov	w9, #0xc82
0xfffffff009e4dfe0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e4dfe4: e0cefeb0  adrp	x0, #0xfffffff00782a000
0xfffffff009e4dfe8: 00403a91  add	x0, x0, #0xe90
0xfffffff009e4dfec: 36c60094  bl	#0xfffffff009e7f8c4
0xfffffff009e4dff0: d6008052  mov	w22, #6
0xfffffff009e4dff4: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff009e4dff8: 09f7feb0  adrp	x9, #0xfffffff007d2e000
0xfffffff009e4dffc: 29d147f9  ldr	x9, [x9, #0xfa0]
0xfffffff009e4e000: 290140f9  ldr	x9, [x9]
0xfffffff009e4e004: 3f0108eb  cmp	x9, x8
0xfffffff009e4e008: 41090054  b.ne	#0xfffffff009e4e130
0xfffffff009e4e00c: e00316aa  mov	x0, x22
0xfffffff009e4e010: ffc31291  add	sp, sp, #0x4b0
0xfffffff009e4e014: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009e4e018: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009e4e01c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009e4e020: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009e4e024: ff0f5fd6  retab	
0xfffffff009e4e028: e8620091  add	x8, x23, #0x18
0xfffffff009e4e02c: e9d74079  ldrh	w9, [sp, #0x6a]
0xfffffff009e4e030: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff009e4e034: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009e4e038: 01c10391  add	x1, x8, #0xf0
0xfffffff009e4e03c: f7030a91  add	x23, sp, #0x280
0xfffffff009e4e040: e0030a91  add	x0, sp, #0x280
0xfffffff009e4e044: bc929397  bl	#0xfffffff008332b34
0xfffffff009e4e048: 48018052  mov	w8, #0xa
0xfffffff009e4e04c: 0840a072  movk	w8, #0x200, lsl #16
0xfffffff009e4e050: e89302b9  str	w8, [sp, #0x290]
0xfffffff009e4e054: a86a40f9  ldr	x8, [x21, #0xd0]
0xfffffff009e4e058: 00e140f9  ldr	x0, [x8, #0x1c0]
0xfffffff009e4e05c: e2030a91  add	x2, sp, #0x280
0xfffffff009e4e060: 010080d2  mov	x1, #0
