; Candidate 3377
; ADRP+ADD at VM 0xfffffff008738ba8 (fileoff 0x1734ba8): page=0x1fe9f9000 add_imm=0xd90

0xfffffff008738b28: 04000014  b	#0xfffffff008738b38
0xfffffff008738b2c: 08050011  add	w8, w8, #1
0xfffffff008738b30: 08090012  and	w8, w8, #7
0xfffffff008738b34: 081801b9  str	w8, [x0, #0x118]
0xfffffff008738b38: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008738b3c: ffc30091  add	sp, sp, #0x30
0xfffffff008738b40: ff0f5fd6  retab	
0xfffffff008738b44: 7f2303d5  pacibsp	
0xfffffff008738b48: ff8300d1  sub	sp, sp, #0x20
0xfffffff008738b4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008738b50: fd430091  add	x29, sp, #0x10
0xfffffff008738b54: 00d442f9  ldr	x0, [x0, #0x5a8]
0xfffffff008738b58: 200200b4  cbz	x0, #0xfffffff008738b9c
0xfffffff008738b5c: 100040f9  ldr	x16, [x0]
0xfffffff008738b60: f10300aa  mov	x17, x0
0xfffffff008738b64: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008738b68: 301ac1da  autda	x16, x17
0xfffffff008738b6c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008738b70: e20310aa  mov	x2, x16
0xfffffff008738b74: f00308aa  mov	x16, x8
0xfffffff008738b78: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008738b7c: ff830091  add	sp, sp, #0x20
0xfffffff008738b80: ff2303d5  autibsp	
0xfffffff008738b84: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008738b88: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008738b90
0xfffffff008738b8c: 208e38d4  brk	#0xc471
0xfffffff008738b90: f10302aa  mov	x17, x2
0xfffffff008738b94: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008738b98: 110a1fd7  braa	x16, x17
0xfffffff008738b9c: e850ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008738ba0: 08493e91  add	x8, x8, #0xf92
0xfffffff008738ba4: e80300f9  str	x8, [sp]
0xfffffff008738ba8: c04fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008738bac: 00403691  add	x0, x0, #0xd90
0xfffffff008738bb0: 2196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008738bb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008738bb8: 0350fff0  adrp	x3, #0xfffffff00713b000
0xfffffff008738bbc: 63802191  add	x3, x3, #0x860
0xfffffff008738bc0: 02008052  mov	w2, #0
0xfffffff008738bc4: 5be9ef97  bl	#0xfffffff008333130
0xfffffff008738bc8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008738bcc: ff830091  add	sp, sp, #0x20
0xfffffff008738bd0: ff0f5fd6  retab	
0xfffffff008738bd4: 7f2303d5  pacibsp	
0xfffffff008738bd8: ff8300d1  sub	sp, sp, #0x20
0xfffffff008738bdc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008738be0: fd430091  add	x29, sp, #0x10
0xfffffff008738be4: 00d442f9  ldr	x0, [x0, #0x5a8]
0xfffffff008738be8: 200200b4  cbz	x0, #0xfffffff008738c2c
0xfffffff008738bec: 100040f9  ldr	x16, [x0]
0xfffffff008738bf0: f10300aa  mov	x17, x0
0xfffffff008738bf4: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008738bf8: 301ac1da  autda	x16, x17
0xfffffff008738bfc: 080e41f8  ldr	x8, [x16, #0x10]!
0xfffffff008738c00: e30310aa  mov	x3, x16
0xfffffff008738c04: f00308aa  mov	x16, x8
0xfffffff008738c08: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008738c0c: ff830091  add	sp, sp, #0x20
0xfffffff008738c10: ff2303d5  autibsp	
0xfffffff008738c14: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008738c18: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008738c20
0xfffffff008738c1c: 208e38d4  brk	#0xc471
0xfffffff008738c20: f10303aa  mov	x17, x3
0xfffffff008738c24: 5142ebf2  movk	x17, #0x5a12, lsl #48
