; Candidate 6087
; ADRP+ADD at VM 0xfffffff0088139c0 (fileoff 0x180f9c0): page=0x1fea0a000 add_imm=0xeae

0xfffffff008813940: 63743d91  add	x3, x3, #0xf5d
0xfffffff008813944: 02008052  mov	w2, #0
0xfffffff008813948: fa7dec97  bl	#0xfffffff008333130
0xfffffff00881394c: 3bffff17  b	#0xfffffff008813638
0xfffffff008813950: 800e8052  mov	w0, #0x74
0xfffffff008813954: 81008052  mov	w1, #4
0xfffffff008813958: 9e9f0194  bl	#0xfffffff00887b7d0
0xfffffff00881395c: e0e6ff34  cbz	w0, #0xfffffff008813638
0xfffffff008813960: 800e8052  mov	w0, #0x74
0xfffffff008813964: ad9f0194  bl	#0xfffffff00887b818
0xfffffff008813968: f60300aa  mov	x22, x0
0xfffffff00881396c: 10820294  bl	#0xfffffff0088b41ac
0xfffffff008813970: f50300aa  mov	x21, x0
0xfffffff008813974: 80008052  mov	w0, #4
0xfffffff008813978: b69f0194  bl	#0xfffffff00887b850
0xfffffff00881397c: b6120034  cbz	w22, #0xfffffff008813bd0
0xfffffff008813980: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813984: e96245b9  ldr	w9, [x23, #0x560]
0xfffffff008813988: 2a028052  mov	w10, #0x11
0xfffffff00881398c: 4b008052  mov	w11, #2
0xfffffff008813990: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff008813994: ea03142a  mov	w10, w20
0xfffffff008813998: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff00881399c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088139a0: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088139a4: 08f93b91  add	x8, x8, #0xefe
0xfffffff0088139a8: c9828052  mov	w9, #0x416
0xfffffff0088139ac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088139b0: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff0088139b4: 086d2e91  add	x8, x8, #0xb9b
0xfffffff0088139b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088139bc: 880e8052  mov	w8, #0x74
0xfffffff0088139c0: 4050ffd0  adrp	x0, #0xfffffff00721d000
0xfffffff0088139c4: 00b83a91  add	x0, x0, #0xeae
0xfffffff0088139c8: 1affff17  b	#0xfffffff008813630
0xfffffff0088139cc: a90640b9  ldr	w9, [x21, #4]
0xfffffff0088139d0: a90c0034  cbz	w9, #0xfffffff008813b64
0xfffffff0088139d4: 00008052  mov	w0, #0
0xfffffff0088139d8: 1f990071  cmp	w8, #0x26
0xfffffff0088139dc: 08010054  b.hi	#0xfffffff0088139fc
0xfffffff0088139e0: 29008052  mov	w9, #1
0xfffffff0088139e4: 2921c89a  lsl	x9, x9, x8
0xfffffff0088139e8: 2a0080d2  mov	x10, #1
0xfffffff0088139ec: 0a02a0f2  movk	x10, #0x10, lsl #16
0xfffffff0088139f0: 0a0cc0f2  movk	x10, #0x60, lsl #32
0xfffffff0088139f4: 3f010aea  tst	x9, x10
0xfffffff0088139f8: 21e2ff54  b.ne	#0xfffffff00881363c
0xfffffff0088139fc: 09e28452  mov	w9, #0x2710
0xfffffff008813a00: 1f01096b  cmp	w8, w9
0xfffffff008813a04: c0e1ff54  b.eq	#0xfffffff00881363c
0xfffffff008813a08: 800e8052  mov	w0, #0x74
0xfffffff008813a0c: 81008052  mov	w1, #4
0xfffffff008813a10: 709f0194  bl	#0xfffffff00887b7d0
0xfffffff008813a14: 20e1ff34  cbz	w0, #0xfffffff008813638
0xfffffff008813a18: 800e8052  mov	w0, #0x74
0xfffffff008813a1c: 7f9f0194  bl	#0xfffffff00887b818
0xfffffff008813a20: f60300aa  mov	x22, x0
0xfffffff008813a24: e2810294  bl	#0xfffffff0088b41ac
0xfffffff008813a28: f40300aa  mov	x20, x0
0xfffffff008813a2c: 80008052  mov	w0, #4
0xfffffff008813a30: 889f0194  bl	#0xfffffff00887b850
0xfffffff008813a34: 96170034  cbz	w22, #0xfffffff008813d24
0xfffffff008813a38: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813a3c: a90640b9  ldr	w9, [x21, #4]
