; Candidate 6897
; ADRP+ADD at VM 0xfffffff008848d1c (fileoff 0x1844d1c): page=0x1fe9a1000 add_imm=0xe80

0xfffffff008848c9c: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff008848ca0: ebc30191  add	x11, sp, #0x70
0xfffffff008848ca4: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff008848ca8: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008848cac: a80302d1  sub	x8, x29, #0x80
0xfffffff008848cb0: e04effb0  adrp	x0, #0xfffffff007225000
0xfffffff008848cb4: 00fc0e91  add	x0, x0, #0x3bf
0xfffffff008848cb8: e80300f9  str	x8, [sp]
0xfffffff008848cbc: e9b9d597  bl	#0xfffffff007db7460
0xfffffff008848cc0: 36000014  b	#0xfffffff008848d98
0xfffffff008848cc4: 3aad0194  bl	#0xfffffff0088b41ac
0xfffffff008848cc8: f50300aa  mov	x21, x0
0xfffffff008848ccc: e00316aa  mov	x0, x22
0xfffffff008848cd0: e0ca0094  bl	#0xfffffff00887b850
0xfffffff008848cd4: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff008848cd8: 69024039  ldrb	w9, [x19]
0xfffffff008848cdc: 6aae45a9  ldp	x10, x11, [x19, #0x58]
0xfffffff008848ce0: 4b0000b4  cbz	x11, #0xfffffff008848ce8
0xfffffff008848ce4: 6b0d40f9  ldr	x11, [x11, #0x18]
0xfffffff008848ce8: 6082c63c  ldur	q0, [x19, #0x68]
0xfffffff008848cec: 6c3e40f9  ldr	x12, [x19, #0x78]
0xfffffff008848cf0: ec3300f9  str	x12, [sp, #0x60]
0xfffffff008848cf4: e017803d  str	q0, [sp, #0x50]
0xfffffff008848cf8: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff008848cfc: eac30191  add	x10, sp, #0x70
0xfffffff008848d00: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff008848d04: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008848d08: a80302d1  sub	x8, x29, #0x80
0xfffffff008848d0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008848d10: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff008848d14: 63ac0891  add	x3, x3, #0x22b
0xfffffff008848d18: f55300a9  stp	x21, x20, [sp]
0xfffffff008848d1c: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848d20: 00003a91  add	x0, x0, #0xe80
0xfffffff008848d24: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848d28: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848d2c: 02008052  mov	w2, #0
0xfffffff008848d30: 00a9eb97  bl	#0xfffffff008333130
0xfffffff008848d34: 19000014  b	#0xfffffff008848d98
0xfffffff008848d38: 68024039  ldrb	w8, [x19]
0xfffffff008848d3c: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff008848d40: 490000b4  cbz	x9, #0xfffffff008848d48
0xfffffff008848d44: 290d40f9  ldr	x9, [x9, #0x18]
0xfffffff008848d48: 6a2e40f9  ldr	x10, [x19, #0x58]
0xfffffff008848d4c: 6082c63c  ldur	q0, [x19, #0x68]
0xfffffff008848d50: 6b3e40f9  ldr	x11, [x19, #0x78]
0xfffffff008848d54: 6c2240b9  ldr	w12, [x19, #0x20]
0xfffffff008848d58: eb2700f9  str	x11, [sp, #0x48]
0xfffffff008848d5c: e083833c  stur	q0, [sp, #0x38]
0xfffffff008848d60: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008848d64: e9c30191  add	x9, sp, #0x70
0xfffffff008848d68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008848d6c: f3b300a9  stp	x19, x12, [sp, #8]
0xfffffff008848d70: a80302d1  sub	x8, x29, #0x80
0xfffffff008848d74: e80300f9  str	x8, [sp]
0xfffffff008848d78: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848d7c: 00003a91  add	x0, x0, #0xe80
0xfffffff008848d80: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848d84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848d88: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff008848d8c: 63f40691  add	x3, x3, #0x1bd
0xfffffff008848d90: 02008052  mov	w2, #0
0xfffffff008848d94: e7a8eb97  bl	#0xfffffff008333130
0xfffffff008848d98: a8835af8  ldur	x8, [x29, #-0x58]
