; Candidate 5509
; ADRP+ADD at VM 0xfffffff0087f5128 (fileoff 0x17f1128): page=0x1fe9f4000 add_imm=0xe80

0xfffffff0087f50a8: 084d3391  add	x8, x8, #0xcd3
0xfffffff0087f50ac: e9508052  mov	w9, #0x287
0xfffffff0087f50b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f50b4: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f50b8: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f50bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f50c0: e80e8052  mov	w8, #0x77
0xfffffff0087f50c4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f50c8: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f50cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f50d0: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f50d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f50d8: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f50dc: 63e42391  add	x3, x3, #0x8f9
0xfffffff0087f50e0: 02008052  mov	w2, #0
0xfffffff0087f50e4: 13f8ec97  bl	#0xfffffff008333130
0xfffffff0087f50e8: dafcff17  b	#0xfffffff0087f4450
0xfffffff0087f50ec: 30fc0294  bl	#0xfffffff0088b41ac
0xfffffff0087f50f0: f80300aa  mov	x24, x0
0xfffffff0087f50f4: 80008052  mov	w0, #4
0xfffffff0087f50f8: d6190294  bl	#0xfffffff00887b850
0xfffffff0087f50fc: 480340b9  ldr	w8, [x26]
0xfffffff0087f5100: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f5104: c850fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087f5108: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f510c: 09538052  mov	w9, #0x298
0xfffffff0087f5110: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f5114: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5118: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f511c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f5120: e80e8052  mov	w8, #0x77
0xfffffff0087f5124: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f5128: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f512c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f5130: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5134: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5138: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f513c: 63d42491  add	x3, x3, #0x935
0xfffffff0087f5140: 02008052  mov	w2, #0
0xfffffff0087f5144: fbf7ec97  bl	#0xfffffff008333130
0xfffffff0087f5148: c3fcff17  b	#0xfffffff0087f4454
0xfffffff0087f514c: 7f2303d5  pacibsp	
0xfffffff0087f5150: ff0305d1  sub	sp, sp, #0x140
0xfffffff0087f5154: fc6f0ea9  stp	x28, x27, [sp, #0xe0]
0xfffffff0087f5158: fa670fa9  stp	x26, x25, [sp, #0xf0]
0xfffffff0087f515c: f85f10a9  stp	x24, x23, [sp, #0x100]
0xfffffff0087f5160: f65711a9  stp	x22, x21, [sp, #0x110]
0xfffffff0087f5164: f44f12a9  stp	x20, x19, [sp, #0x120]
0xfffffff0087f5168: fd7b13a9  stp	x29, x30, [sp, #0x130]
0xfffffff0087f516c: fdc30491  add	x29, sp, #0x130
0xfffffff0087f5170: f40303aa  mov	x20, x3
0xfffffff0087f5174: fa0302aa  mov	x26, x2
0xfffffff0087f5178: f60301aa  mov	x22, x1
0xfffffff0087f517c: f30300aa  mov	x19, x0
0xfffffff0087f5180: 8890fff0  adrp	x8, #0xfffffff007a08000
0xfffffff0087f5184: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0087f5188: 080140f9  ldr	x8, [x8]
0xfffffff0087f518c: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff0087f5190: bf7f37a9  stp	xzr, xzr, [x29, #-0x90]
0xfffffff0087f5194: bfc316b8  stur	wzr, [x29, #-0x94]
0xfffffff0087f5198: ff9b00b9  str	wzr, [sp, #0x98]
0xfffffff0087f519c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087f51a0: a0033cad  stp	q0, q0, [x29, #-0x80]
0xfffffff0087f51a4: 180840f9  ldr	x24, [x0, #0x10]
