; Candidate 2247
; ADRP+ADD at VM 0xfffffff0085bf474 (fileoff 0x15bb474): page=0x1feb39000 add_imm=0xe12

0xfffffff0085bf3f4: 73ca3291  add	x19, x19, #0xcb2
0xfffffff0085bf3f8: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0085bf3fc: c859ffb0  adrp	x8, #0xfffffff0070f8000
0xfffffff0085bf400: 08f53891  add	x8, x8, #0xe3d
0xfffffff0085bf404: e00300f9  str	x0, [sp]
0xfffffff0085bf408: e00308aa  mov	x0, x8
0xfffffff0085bf40c: 055ff697  bl	#0xfffffff008357020
0xfffffff0085bf410: 9f070071  cmp	w28, #1
0xfffffff0085bf414: 01110054  b.ne	#0xfffffff0085bf634
0xfffffff0085bf418: fa7304a9  stp	x26, x28, [sp, #0x40]
0xfffffff0085bf41c: f92b00f9  str	x25, [sp, #0x50]
0xfffffff0085bf420: fb5f00b9  str	w27, [sp, #0x5c]
0xfffffff0085bf424: 9b198052  mov	w27, #0xcc
0xfffffff0085bf428: 8d000014  b	#0xfffffff0085bf65c
0xfffffff0085bf42c: 900240f9  ldr	x16, [x20]
0xfffffff0085bf430: fa0314aa  mov	x26, x20
0xfffffff0085bf434: 3ab4f9f2  movk	x26, #0xcda1, lsl #48
0xfffffff0085bf438: f10314aa  mov	x17, x20
0xfffffff0085bf43c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bf440: 301ac1da  autda	x16, x17
0xfffffff0085bf444: 113d80d2  mov	x17, #0x1e8
0xfffffff0085bf448: 1002118b  add	x16, x16, x17
0xfffffff0085bf44c: 080240f9  ldr	x8, [x16]
0xfffffff0085bf450: e90310aa  mov	x9, x16
0xfffffff0085bf454: e00314aa  mov	x0, x20
0xfffffff0085bf458: 010080d2  mov	x1, #0
0xfffffff0085bf45c: f10309aa  mov	x17, x9
0xfffffff0085bf460: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085bf464: 11093fd7  blraa	x8, x17
0xfffffff0085bf468: c859ff90  adrp	x8, #0xfffffff0070f7000
0xfffffff0085bf46c: 08c93291  add	x8, x8, #0xcb2
0xfffffff0085bf470: e02300a9  stp	x0, x8, [sp]
0xfffffff0085bf474: c059ffb0  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bf478: 00483891  add	x0, x0, #0xe12
0xfffffff0085bf47c: e95ef697  bl	#0xfffffff008357020
0xfffffff0085bf480: c89fffd0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085bf484: 087d41f9  ldr	x8, [x8, #0x2f8]
0xfffffff0085bf488: 080140f9  ldr	x8, [x8]
0xfffffff0085bf48c: 020140f9  ldr	x2, [x8]
0xfffffff0085bf490: 900240f9  ldr	x16, [x20]
0xfffffff0085bf494: 501bc1da  autda	x16, x26
0xfffffff0085bf498: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff0085bf49c: e90310aa  mov	x9, x16
0xfffffff0085bf4a0: c159ff90  adrp	x1, #0xfffffff0070f7000
0xfffffff0085bf4a4: 21143391  add	x1, x1, #0xcc5
0xfffffff0085bf4a8: e00314aa  mov	x0, x20
0xfffffff0085bf4ac: f10309aa  mov	x17, x9
0xfffffff0085bf4b0: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0085bf4b4: 11093fd7  blraa	x8, x17
0xfffffff0085bf4b8: 900240f9  ldr	x16, [x20]
0xfffffff0085bf4bc: 501bc1da  autda	x16, x26
0xfffffff0085bf4c0: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0085bf4c4: e90310aa  mov	x9, x16
0xfffffff0085bf4c8: c159ffd0  adrp	x1, #0xfffffff0070f9000
0xfffffff0085bf4cc: 21080091  add	x1, x1, #2
0xfffffff0085bf4d0: e00314aa  mov	x0, x20
0xfffffff0085bf4d4: 023e8952  mov	w2, #0x49f0
0xfffffff0085bf4d8: 4200a072  movk	w2, #2, lsl #16
0xfffffff0085bf4dc: 03048052  mov	w3, #0x20
0xfffffff0085bf4e0: f10309aa  mov	x17, x9
0xfffffff0085bf4e4: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff0085bf4e8: 11093fd7  blraa	x8, x17
0xfffffff0085bf4ec: 900240f9  ldr	x16, [x20]
0xfffffff0085bf4f0: 501bc1da  autda	x16, x26
