; Candidate 6309
; ADRP+ADD at VM 0xfffffff008822648 (fileoff 0x181e648): page=0x1fe9c7000 add_imm=0xe80

0xfffffff0088225c8: 26000014  b	#0xfffffff008822660
0xfffffff0088225cc: f8460294  bl	#0xfffffff0088b41ac
0xfffffff0088225d0: f40300aa  mov	x20, x0
0xfffffff0088225d4: e0008052  mov	w0, #7
0xfffffff0088225d8: 9e640194  bl	#0xfffffff00887b850
0xfffffff0088225dc: 680640f9  ldr	x8, [x19, #8]
0xfffffff0088225e0: 691640f9  ldr	x9, [x19, #0x28]
0xfffffff0088225e4: 6a2640f9  ldr	x10, [x19, #0x48]
0xfffffff0088225e8: 6b3640f9  ldr	x11, [x19, #0x68]
0xfffffff0088225ec: 6c0240b9  ldr	w12, [x19]
0xfffffff0088225f0: 6d1240b9  ldr	w13, [x19, #0x10]
0xfffffff0088225f4: 6e2240b9  ldr	w14, [x19, #0x20]
0xfffffff0088225f8: 6f3240b9  ldr	w15, [x19, #0x30]
0xfffffff0088225fc: 704240b9  ldr	w16, [x19, #0x40]
0xfffffff008822600: 715240b9  ldr	w17, [x19, #0x50]
0xfffffff008822604: 616240b9  ldr	w1, [x19, #0x60]
0xfffffff008822608: 627240b9  ldr	w2, [x19, #0x70]
0xfffffff00882260c: e2af07a9  stp	x2, x11, [sp, #0x78]
0xfffffff008822610: ea8706a9  stp	x10, x1, [sp, #0x68]
0xfffffff008822614: f0c705a9  stp	x16, x17, [sp, #0x58]
0xfffffff008822618: efa704a9  stp	x15, x9, [sp, #0x48]
0xfffffff00882261c: e8bb03a9  stp	x8, x14, [sp, #0x38]
0xfffffff008822620: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff008822624: 08898252  mov	w8, #0x1448
0xfffffff008822628: e81300f9  str	x8, [sp, #0x20]
0xfffffff00882262c: e84fffd0  adrp	x8, #0xfffffff007220000
0xfffffff008822630: 08611c91  add	x8, x8, #0x718
0xfffffff008822634: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008822638: 480f8052  mov	w8, #0x7a
0xfffffff00882263c: 4351ff90  adrp	x3, #0xfffffff00724a000
0xfffffff008822640: 63182c91  add	x3, x3, #0xb06
0xfffffff008822644: f42300a9  stp	x20, x8, [sp]
0xfffffff008822648: 204efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882264c: 00003a91  add	x0, x0, #0xe80
0xfffffff008822650: 218fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008822654: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008822658: 02008052  mov	w2, #0
0xfffffff00882265c: b542ec97  bl	#0xfffffff008333130
0xfffffff008822660: 00008052  mov	w0, #0
0xfffffff008822664: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff008822668: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff00882266c: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff008822670: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff008822674: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff008822678: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff00882267c: ffc30391  add	sp, sp, #0xf0
0xfffffff008822680: ff0f5fd6  retab	
0xfffffff008822684: 5f2403d5  bti	c
0xfffffff008822688: 1f500071  cmp	w0, #0x14
0xfffffff00882268c: ac000054  b.gt	#0xfffffff0088226a0
0xfffffff008822690: 288ffff0  adrp	x8, #0xfffffff007a09000
0xfffffff008822694: 08c13491  add	x8, x8, #0xd30
0xfffffff008822698: 005960f8  ldr	x0, [x8, w0, uxtw #3]
0xfffffff00882269c: c0035fd6  ret	
0xfffffff0088226a0: 000080d2  mov	x0, #0
0xfffffff0088226a4: c0035fd6  ret	
0xfffffff0088226a8: 5f2403d5  bti	c
0xfffffff0088226ac: 08040051  sub	w8, w0, #1
0xfffffff0088226b0: 1f2d0071  cmp	w8, #0xb
0xfffffff0088226b4: 48008052  mov	w8, #2
0xfffffff0088226b8: 0030881a  csel	w0, w0, w8, lo
0xfffffff0088226bc: c0035fd6  ret	
0xfffffff0088226c0: 5f2403d5  bti	c
0xfffffff0088226c4: 015800b9  str	w1, [x0, #0x58]
