; Candidate 7406
; ADRP+ADD at VM 0xfffffff00886bd4c (fileoff 0x1867d4c): page=0x1fe97e000 add_imm=0xe80

0xfffffff00886bccc: 1f011b72  tst	w8, #0x20
0xfffffff00886bcd0: e8179f1a  cset	w8, eq
0xfffffff00886bcd4: 1800080a  and	w24, w0, w8
0xfffffff00886bcd8: 35210194  bl	#0xfffffff0088b41ac
0xfffffff00886bcdc: f70300aa  mov	x23, x0
0xfffffff00886bce0: e00315aa  mov	x0, x21
0xfffffff00886bce4: db3e0094  bl	#0xfffffff00887b850
0xfffffff00886bce8: 1f070071  cmp	w24, #1
0xfffffff00886bcec: 21020054  b.ne	#0xfffffff00886bd30
0xfffffff00886bcf0: e80313aa  mov	x8, x19
0xfffffff00886bcf4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886bcf8: f70300f9  str	x23, [sp]
0xfffffff00886bcfc: 604dff90  adrp	x0, #0xfffffff007217000
0xfffffff00886bd00: 005c0e91  add	x0, x0, #0x397
0xfffffff00886bd04: d72dd597  bl	#0xfffffff007db7460
0xfffffff00886bd08: 19000014  b	#0xfffffff00886bd6c
0xfffffff00886bd0c: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886bd10: 00003a91  add	x0, x0, #0xe80
0xfffffff00886bd14: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886bd18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886bd1c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886bd20: 63402091  add	x3, x3, #0x810
0xfffffff00886bd24: 02008052  mov	w2, #0
0xfffffff00886bd28: 021deb97  bl	#0xfffffff008333130
0xfffffff00886bd2c: 10000014  b	#0xfffffff00886bd6c
0xfffffff00886bd30: 1f210194  bl	#0xfffffff0088b41ac
0xfffffff00886bd34: f70300aa  mov	x23, x0
0xfffffff00886bd38: e00315aa  mov	x0, x21
0xfffffff00886bd3c: c53e0094  bl	#0xfffffff00887b850
0xfffffff00886bd40: e80313aa  mov	x8, x19
0xfffffff00886bd44: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886bd48: f70300f9  str	x23, [sp]
0xfffffff00886bd4c: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886bd50: 00003a91  add	x0, x0, #0xe80
0xfffffff00886bd54: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886bd58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886bd5c: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886bd60: 63442091  add	x3, x3, #0x811
0xfffffff00886bd64: 02008052  mov	w2, #0
0xfffffff00886bd68: f21ceb97  bl	#0xfffffff008333130
0xfffffff00886bd6c: fc0319aa  mov	x28, x25
0xfffffff00886bd70: 590a1036  tbz	w25, #2, #0xfffffff00886beb8
0xfffffff00886bd74: 78e30391  add	x24, x27, #0xf8
0xfffffff00886bd78: e00318aa  mov	x0, x24
0xfffffff00886bd7c: 8310ff97  bl	#0xfffffff00882ff88
0xfffffff00886bd80: f90300aa  mov	x25, x0
0xfffffff00886bd84: e00318aa  mov	x0, x24
0xfffffff00886bd88: 9510ff97  bl	#0xfffffff00882ffdc
0xfffffff00886bd8c: 3f0300eb  cmp	x25, x0
0xfffffff00886bd90: 40090054  b.eq	#0xfffffff00886beb8
0xfffffff00886bd94: e80313aa  mov	x8, x19
0xfffffff00886bd98: e81300f9  str	x8, [sp, #0x20]
0xfffffff00886bd9c: 200b40f9  ldr	x0, [x25, #0x10]
0xfffffff00886bda0: e10313aa  mov	x1, x19
0xfffffff00886bda4: e20314aa  mov	x2, x20
0xfffffff00886bda8: 030080d2  mov	x3, #0
0xfffffff00886bdac: 04008052  mov	w4, #0
0xfffffff00886bdb0: 245ffe97  bl	#0xfffffff008803a40
0xfffffff00886bdb4: e00313aa  mov	x0, x19
0xfffffff00886bdb8: e10315aa  mov	x1, x21
0xfffffff00886bdbc: 853e0094  bl	#0xfffffff00887b7d0
0xfffffff00886bdc0: e0060034  cbz	w0, #0xfffffff00886be9c
0xfffffff00886bdc4: e00313aa  mov	x0, x19
0xfffffff00886bdc8: 943e0094  bl	#0xfffffff00887b818
