; Candidate 7772
; ADRP+ADD at VM 0xfffffff00887e7dc (fileoff 0x187a7dc): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887e75c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887e760: 280b8052  mov	w8, #0x59
0xfffffff00887e764: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887e768: 63e40991  add	x3, x3, #0x279
0xfffffff00887e76c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887e770: f60300f9  str	x22, [sp]
0xfffffff00887e774: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887e778: 00003a91  add	x0, x0, #0xe80
0xfffffff00887e77c: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887e780: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887e784: 02008052  mov	w2, #0
0xfffffff00887e788: 6ad2ea97  bl	#0xfffffff008333130
0xfffffff00887e78c: 167d8012  mov	w22, #-0x3e9
0xfffffff00887e790: 1c000014  b	#0xfffffff00887e800
0xfffffff00887e794: 86d60094  bl	#0xfffffff0088b41ac
0xfffffff00887e798: f60300aa  mov	x22, x0
0xfffffff00887e79c: 80008052  mov	w0, #4
0xfffffff00887e7a0: 2cf4ff97  bl	#0xfffffff00887b850
0xfffffff00887e7a4: 68264329  ldp	w8, w9, [x19, #0x18]
0xfffffff00887e7a8: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff00887e7ac: 884cfff0  adrp	x8, #0xfffffff007211000
0xfffffff00887e7b0: 08591891  add	x8, x8, #0x616
0xfffffff00887e7b4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887e7b8: 282b8052  mov	w8, #0x159
0xfffffff00887e7bc: 694dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff00887e7c0: 29e91191  add	x9, x9, #0x47a
0xfffffff00887e7c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887e7c8: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e7cc: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e7d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887e7d4: 280b8052  mov	w8, #0x59
0xfffffff00887e7d8: f62300a9  stp	x22, x8, [sp]
0xfffffff00887e7dc: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887e7e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00887e7e4: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887e7e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887e7ec: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887e7f0: 63d40a91  add	x3, x3, #0x2b5
0xfffffff00887e7f4: 02008052  mov	w2, #0
0xfffffff00887e7f8: 4ed2ea97  bl	#0xfffffff008333130
0xfffffff00887e7fc: 567e8012  mov	w22, #-0x3f3
0xfffffff00887e800: 200b8052  mov	w0, #0x59
0xfffffff00887e804: 01018052  mov	w1, #8
0xfffffff00887e808: f2f3ff97  bl	#0xfffffff00887b7d0
0xfffffff00887e80c: 00060034  cbz	w0, #0xfffffff00887e8cc
0xfffffff00887e810: 200b8052  mov	w0, #0x59
0xfffffff00887e814: 01f4ff97  bl	#0xfffffff00887b818
0xfffffff00887e818: f80300aa  mov	x24, x0
0xfffffff00887e81c: 64d60094  bl	#0xfffffff0088b41ac
0xfffffff00887e820: f70300aa  mov	x23, x0
0xfffffff00887e824: 00018052  mov	w0, #8
0xfffffff00887e828: 0af4ff97  bl	#0xfffffff00887b850
0xfffffff00887e82c: 18020034  cbz	w24, #0xfffffff00887e86c
0xfffffff00887e830: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887e834: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00887e838: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00887e83c: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e840: 08e91191  add	x8, x8, #0x47a
0xfffffff00887e844: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00887e848: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e84c: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e850: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887e854: 280b8052  mov	w8, #0x59
0xfffffff00887e858: 404dfff0  adrp	x0, #0xfffffff007229000
