; Candidate 1631
; ADRP+ADD at VM 0xfffffff0084da93c (fileoff 0x14d693c): page=0x1fec07000 add_imm=0xdd8

0xfffffff0084da8bc: e90310aa  mov	x9, x16
0xfffffff0084da8c0: 02008052  mov	w2, #0
0xfffffff0084da8c4: f10309aa  mov	x17, x9
0xfffffff0084da8c8: 114af2f2  movk	x17, #0x9250, lsl #48
0xfffffff0084da8cc: 11093fd7  blraa	x8, x17
0xfffffff0084da8d0: f80300aa  mov	x24, x0
0xfffffff0084da8d4: 40b75ff9  ldr	x0, [x26, #0x3f68]
0xfffffff0084da8d8: 7d44e397  bl	#0xfffffff007dabacc
0xfffffff0084da8dc: 80808152  mov	w0, #0xc04
0xfffffff0084da8e0: 60b2b072  movk	w0, #0x8593, lsl #16
0xfffffff0084da8e4: e10317aa  mov	x1, x23
0xfffffff0084da8e8: e20318aa  mov	x2, x24
0xfffffff0084da8ec: e30315aa  mov	x3, x21
0xfffffff0084da8f0: e40316aa  mov	x4, x22
0xfffffff0084da8f4: 050080d2  mov	x5, #0
0xfffffff0084da8f8: 838df297  bl	#0xfffffff00817df04
0xfffffff0084da8fc: 40b75ff9  ldr	x0, [x26, #0x3f68]
0xfffffff0084da900: 8f47e397  bl	#0xfffffff007dac73c
0xfffffff0084da904: 88fa40b9  ldr	w8, [x20, #0xf8]
0xfffffff0084da908: d6ffff17  b	#0xfffffff0084da860
0xfffffff0084da90c: 5f2403d5  bti	c
0xfffffff0084da910: c0035fd6  ret	
0xfffffff0084da914: 5f2403d5  bti	c
0xfffffff0084da918: 000080d2  mov	x0, #0
0xfffffff0084da91c: c0035fd6  ret	
0xfffffff0084da920: 5f2403d5  bti	c
0xfffffff0084da924: 7427f817  b	#0xfffffff0082e46f4
0xfffffff0084da928: 5f2403d5  bti	c
0xfffffff0084da92c: 7227f817  b	#0xfffffff0082e46f4
0xfffffff0084da930: 7f2303d5  pacibsp	
0xfffffff0084da934: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084da938: fd030091  mov	x29, sp
0xfffffff0084da93c: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da940: 00603791  add	x0, x0, #0xdd8
0xfffffff0084da944: 3d3af997  bl	#0xfffffff008329238
0xfffffff0084da948: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da94c: 008906f9  str	x0, [x8, #0xd10]
0xfffffff0084da950: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da954: 00083891  add	x0, x0, #0xe02
0xfffffff0084da958: 383af997  bl	#0xfffffff008329238
0xfffffff0084da95c: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da960: 008d06f9  str	x0, [x8, #0xd18]
0xfffffff0084da964: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da968: 00883891  add	x0, x0, #0xe22
0xfffffff0084da96c: 333af997  bl	#0xfffffff008329238
0xfffffff0084da970: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da974: 009106f9  str	x0, [x8, #0xd20]
0xfffffff0084da978: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da97c: 00e43891  add	x0, x0, #0xe39
0xfffffff0084da980: 2e3af997  bl	#0xfffffff008329238
0xfffffff0084da984: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da988: 009506f9  str	x0, [x8, #0xd28]
0xfffffff0084da98c: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da990: 004c3991  add	x0, x0, #0xe53
0xfffffff0084da994: 293af997  bl	#0xfffffff008329238
0xfffffff0084da998: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da99c: 009906f9  str	x0, [x8, #0xd30]
0xfffffff0084da9a0: 2060fff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084da9a4: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084da9a8: 243af997  bl	#0xfffffff008329238
0xfffffff0084da9ac: c8ef00d0  adrp	x8, #0xfffffff00a2d4000
0xfffffff0084da9b0: 009d06f9  str	x0, [x8, #0xd38]
0xfffffff0084da9b4: c0ef00d0  adrp	x0, #0xfffffff00a2d4000
0xfffffff0084da9b8: 00c03591  add	x0, x0, #0xd70
