; Candidate 10394
; ADRP+ADD at VM 0xfffffff008d2825c (fileoff 0x1d2425c): page=0x1feda7000 add_imm=0xe40

0xfffffff008d281dc: 10420e91  add	x16, x16, #0x390
0xfffffff008d281e0: 10620391  add	x16, x16, #0xd8
0xfffffff008d281e4: f10308aa  mov	x17, x8
0xfffffff008d281e8: 3115ecf2  movk	x17, #0x60a9, lsl #48
0xfffffff008d281ec: 300ac1da  pacda	x16, x17
0xfffffff008d281f0: 100800f9  str	x16, [x0, #0x10]
0xfffffff008d281f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d281f8: ff0f5fd6  retab	
0xfffffff008d281fc: 5f2403d5  bti	c
0xfffffff008d28200: d3fcd617  b	#0xfffffff0082e754c
0xfffffff008d28204: 5f2403d5  bti	c
0xfffffff008d28208: d1fcd617  b	#0xfffffff0082e754c
0xfffffff008d2820c: 7f2303d5  pacibsp	
0xfffffff008d28210: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d28214: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d28218: fd430091  add	x29, sp, #0x10
0xfffffff008d2821c: f30300aa  mov	x19, x0
0xfffffff008d28220: cbfcd697  bl	#0xfffffff0082e754c
0xfffffff008d28224: 206dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d28228: 00003991  add	x0, x0, #0xe40
0xfffffff008d2822c: e10313aa  mov	x1, x19
0xfffffff008d28230: 027d8052  mov	w2, #0x3e8
0xfffffff008d28234: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008d28238: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008d2823c: ff2303d5  autibsp	
0xfffffff008d28240: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d28244: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d2824c
0xfffffff008d28248: 208e38d4  brk	#0xc471
0xfffffff008d2824c: 14fdd617  b	#0xfffffff0082e769c
0xfffffff008d28250: 5f2403d5  bti	c
0xfffffff008d28254: e20301aa  mov	x2, x1
0xfffffff008d28258: e10300aa  mov	x1, x0
0xfffffff008d2825c: 206dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d28260: 00003991  add	x0, x0, #0xe40
0xfffffff008d28264: 0efdd617  b	#0xfffffff0082e769c
0xfffffff008d28268: 5f2403d5  bti	c
0xfffffff008d2826c: 00ae0090  adrp	x0, #0xfffffff00a2e8000
0xfffffff008d28270: 00000191  add	x0, x0, #0x40
0xfffffff008d28274: c0035fd6  ret	
0xfffffff008d28278: 7f2303d5  pacibsp	
0xfffffff008d2827c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d28280: fd030091  mov	x29, sp
0xfffffff008d28284: a132ffd0  adrp	x1, #0xfffffff00737e000
0xfffffff008d28288: 21001991  add	x1, x1, #0x640
0xfffffff008d2828c: 226dffb0  adrp	x2, #0xfffffff007acd000
0xfffffff008d28290: 42d443f9  ldr	x2, [x2, #0x7a8]
0xfffffff008d28294: 037d8052  mov	w3, #0x3e8
0xfffffff008d28298: 28eed697  bl	#0xfffffff0082e3b38
0xfffffff008d2829c: 306dfff0  adrp	x16, #0xfffffff007acf000
0xfffffff008d282a0: 10c21291  add	x16, x16, #0x4b0
0xfffffff008d282a4: 10420091  add	x16, x16, #0x10
0xfffffff008d282a8: f10300aa  mov	x17, x0
0xfffffff008d282ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d282b0: 300ac1da  pacda	x16, x17
0xfffffff008d282b4: 100000f9  str	x16, [x0]
0xfffffff008d282b8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d282bc: ff0f5fd6  retab	
0xfffffff008d282c0: 7f2303d5  pacibsp	
0xfffffff008d282c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008d282c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008d282cc: fd430091  add	x29, sp, #0x10
0xfffffff008d282d0: 206dfff0  adrp	x0, #0xfffffff007acf000
0xfffffff008d282d4: 00003991  add	x0, x0, #0xe40
0xfffffff008d282d8: 017d8052  mov	w1, #0x3e8
