; Candidate 11231
; ADRP+ADD at VM 0xfffffff008ebabfc (fileoff 0x1eb6bfc): page=0x1fe525000 add_imm=0xd0e

0xfffffff008ebab7c: 084d3391  add	x8, x8, #0xcd3
0xfffffff008ebab80: e80300a9  stp	x8, x0, [sp]
0xfffffff008ebab84: 2029ffb0  adrp	x0, #0xfffffff0073df000
0xfffffff008ebab88: 00cc3291  add	x0, x0, #0xcb3
0xfffffff008ebab8c: 2571d297  bl	#0xfffffff008357020
0xfffffff008ebab90: e00313aa  mov	x0, x19
0xfffffff008ebab94: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ebab98: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ebab9c: ffc30091  add	sp, sp, #0x30
0xfffffff008ebaba0: ff0f5fd6  retab	
0xfffffff008ebaba4: 7f2303d5  pacibsp	
0xfffffff008ebaba8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008ebabac: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008ebabb0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008ebabb4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008ebabb8: fdc30091  add	x29, sp, #0x30
0xfffffff008ebabbc: f40302aa  mov	x20, x2
0xfffffff008ebabc0: f30301aa  mov	x19, x1
0xfffffff008ebabc4: 16008052  mov	w22, #0
0xfffffff008ebabc8: d51e0012  and	w21, w22, #0xff
0xfffffff008ebabcc: e00315aa  mov	x0, x21
0xfffffff008ebabd0: d7722a94  bl	#0xfffffff00995772c
0xfffffff008ebabd4: e10300aa  mov	x1, x0
0xfffffff008ebabd8: e00313aa  mov	x0, x19
0xfffffff008ebabdc: b392bf97  bl	#0xfffffff007e9f6a8
0xfffffff008ebabe0: a0010034  cbz	w0, #0xfffffff008ebac14
0xfffffff008ebabe4: d6060011  add	w22, w22, #1
0xfffffff008ebabe8: bf7e0371  cmp	w21, #0xdf
0xfffffff008ebabec: e3feff54  b.lo	#0xfffffff008ebabc8
0xfffffff008ebabf0: 2829ffb0  adrp	x8, #0xfffffff0073df000
0xfffffff008ebabf4: 08dd3491  add	x8, x8, #0xd37
0xfffffff008ebabf8: e84f00a9  stp	x8, x19, [sp]
0xfffffff008ebabfc: 2029ffb0  adrp	x0, #0xfffffff0073df000
0xfffffff008ebac00: 00383491  add	x0, x0, #0xd0e
0xfffffff008ebac04: 0771d297  bl	#0xfffffff008357020
0xfffffff008ebac08: 40588052  mov	w0, #0x2c2
0xfffffff008ebac0c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008ebac10: 02000014  b	#0xfffffff008ebac18
0xfffffff008ebac14: 950200b9  str	w21, [x20]
0xfffffff008ebac18: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ebac1c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ebac20: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ebac24: ff030191  add	sp, sp, #0x40
0xfffffff008ebac28: ff0f5fd6  retab	
0xfffffff008ebac2c: 7f2303d5  pacibsp	
0xfffffff008ebac30: ffc301d1  sub	sp, sp, #0x70
0xfffffff008ebac34: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008ebac38: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008ebac3c: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008ebac40: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008ebac44: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008ebac48: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008ebac4c: fd830191  add	x29, sp, #0x60
0xfffffff008ebac50: f60301aa  mov	x22, x1
0xfffffff008ebac54: f70300aa  mov	x23, x0
0xfffffff008ebac58: 53588052  mov	w19, #0x2c2
0xfffffff008ebac5c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008ebac60: 0862fff0  adrp	x8, #0xfffffff007afd000
0xfffffff008ebac64: 086d46f9  ldr	x8, [x8, #0xcd8]
0xfffffff008ebac68: 010140f9  ldr	x1, [x8]
0xfffffff008ebac6c: e00316aa  mov	x0, x22
0xfffffff008ebac70: 21a4d097  bl	#0xfffffff0082e3cf4
0xfffffff008ebac74: f40300aa  mov	x20, x0
0xfffffff008ebac78: f00240f9  ldr	x16, [x23]
