; Candidate 8584
; ADRP+ADD at VM 0xfffffff0088b365c (fileoff 0x18af65c): page=0x1fe960000 add_imm=0xe0f

0xfffffff0088b35dc: e00315aa  mov	x0, x21
0xfffffff0088b35e0: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0088b35e4: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0088b35e8: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0088b35ec: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0088b35f0: ff430291  add	sp, sp, #0x90
0xfffffff0088b35f4: ff0f5fd6  retab	
0xfffffff0088b35f8: 7f2303d5  pacibsp	
0xfffffff0088b35fc: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088b3600: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088b3604: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088b3608: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088b360c: fd430191  add	x29, sp, #0x50
0xfffffff0088b3610: f30300aa  mov	x19, x0
0xfffffff0088b3614: 800d8052  mov	w0, #0x6c
0xfffffff0088b3618: c1008052  mov	w1, #6
0xfffffff0088b361c: 6d20ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3620: 40020034  cbz	w0, #0xfffffff0088b3668
0xfffffff0088b3624: 800d8052  mov	w0, #0x6c
0xfffffff0088b3628: 7c20ff97  bl	#0xfffffff00887b818
0xfffffff0088b362c: f50300aa  mov	x21, x0
0xfffffff0088b3630: df020094  bl	#0xfffffff0088b41ac
0xfffffff0088b3634: f40300aa  mov	x20, x0
0xfffffff0088b3638: c0008052  mov	w0, #6
0xfffffff0088b363c: 8520ff97  bl	#0xfffffff00887b850
0xfffffff0088b3640: 15050034  cbz	w21, #0xfffffff0088b36e0
0xfffffff0088b3644: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3648: 08450891  add	x8, x8, #0x211
0xfffffff0088b364c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3650: 880d8052  mov	w8, #0x6c
0xfffffff0088b3654: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b3658: f40300f9  str	x20, [sp]
0xfffffff0088b365c: 004bff90  adrp	x0, #0xfffffff007213000
0xfffffff0088b3660: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088b3664: 7f0fd497  bl	#0xfffffff007db7460
0xfffffff0088b3668: 330600b4  cbz	x19, #0xfffffff0088b372c
0xfffffff0088b366c: 610640f9  ldr	x1, [x19, #8]
0xfffffff0088b3670: c10200b4  cbz	x1, #0xfffffff0088b36c8
0xfffffff0088b3674: 600240f9  ldr	x0, [x19]
0xfffffff0088b3678: 100040f9  ldr	x16, [x0]
0xfffffff0088b367c: f10300aa  mov	x17, x0
0xfffffff0088b3680: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b3684: 301ac1da  autda	x16, x17
0xfffffff0088b3688: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0088b368c: e90310aa  mov	x9, x16
0xfffffff0088b3690: f10309aa  mov	x17, x9
0xfffffff0088b3694: b14af4f2  movk	x17, #0xa255, lsl #48
0xfffffff0088b3698: 11093fd7  blraa	x8, x17
0xfffffff0088b369c: 600640f9  ldr	x0, [x19, #8]
0xfffffff0088b36a0: 100040f9  ldr	x16, [x0]
0xfffffff0088b36a4: f10300aa  mov	x17, x0
0xfffffff0088b36a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088b36ac: 301ac1da  autda	x16, x17
0xfffffff0088b36b0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088b36b4: e90310aa  mov	x9, x16
0xfffffff0088b36b8: f10309aa  mov	x17, x9
0xfffffff0088b36bc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088b36c0: 11093fd7  blraa	x8, x17
0xfffffff0088b36c4: 7f0600f9  str	xzr, [x19, #8]
0xfffffff0088b36c8: c08affd0  adrp	x0, #0xfffffff007a0d000
0xfffffff0088b36cc: 00603d91  add	x0, x0, #0xf58
0xfffffff0088b36d0: e10313aa  mov	x1, x19
0xfffffff0088b36d4: 0e8cea97  bl	#0xfffffff00835670c
0xfffffff0088b36d8: 13008052  mov	w19, #0
