; Candidate 5655
; ADRP+ADD at VM 0xfffffff0087fee78 (fileoff 0x17fae78): page=0x1fe9eb000 add_imm=0xe80

0xfffffff0087fedf8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087fedfc: e80313aa  mov	x8, x19
0xfffffff0087fee00: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fee04: 005c0b91  add	x0, x0, #0x2d7
0xfffffff0087fee08: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fee0c: 0c000014  b	#0xfffffff0087fee3c
0xfffffff0087fee10: 60040034  cbz	w0, #0xfffffff0087fee9c
0xfffffff0087fee14: e803154b  neg	w8, w21
0xfffffff0087fee18: 28042837  tbnz	w8, #5, #0xfffffff0087fee9c
0xfffffff0087fee1c: 08434b39  ldrb	w8, [x24, #0x2d0]
0xfffffff0087fee20: 094b4b39  ldrb	w9, [x24, #0x2d2]
0xfffffff0087fee24: 0a034b39  ldrb	w10, [x24, #0x2c0]
0xfffffff0087fee28: 0bc742b9  ldr	w11, [x24, #0x2c4]
0xfffffff0087fee2c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087fee30: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fee34: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fee38: 00f40991  add	x0, x0, #0x27d
0xfffffff0087fee3c: 89e1d697  bl	#0xfffffff007db7460
0xfffffff0087fee40: 25000014  b	#0xfffffff0087feed4
0xfffffff0087fee44: dad40294  bl	#0xfffffff0088b41ac
0xfffffff0087fee48: f60300aa  mov	x22, x0
0xfffffff0087fee4c: e00314aa  mov	x0, x20
0xfffffff0087fee50: 80f20194  bl	#0xfffffff00887b850
0xfffffff0087fee54: 08434b39  ldrb	w8, [x24, #0x2d0]
0xfffffff0087fee58: 094b4b39  ldrb	w9, [x24, #0x2d2]
0xfffffff0087fee5c: 0a034b39  ldrb	w10, [x24, #0x2c0]
0xfffffff0087fee60: 0bc742b9  ldr	w11, [x24, #0x2c4]
0xfffffff0087fee64: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087fee68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fee6c: e80313aa  mov	x8, x19
0xfffffff0087fee70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fee74: f60300f9  str	x22, [sp]
0xfffffff0087fee78: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fee7c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fee80: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fee84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fee88: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fee8c: 63002d91  add	x3, x3, #0xb40
0xfffffff0087fee90: 02008052  mov	w2, #0
0xfffffff0087fee94: a7d0ec97  bl	#0xfffffff008333130
0xfffffff0087fee98: 0f000014  b	#0xfffffff0087feed4
0xfffffff0087fee9c: 08434b39  ldrb	w8, [x24, #0x2d0]
0xfffffff0087feea0: 094b4b39  ldrb	w9, [x24, #0x2d2]
0xfffffff0087feea4: 0a034b39  ldrb	w10, [x24, #0x2c0]
0xfffffff0087feea8: 0bc742b9  ldr	w11, [x24, #0x2c4]
0xfffffff0087feeac: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087feeb0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087feeb4: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087feeb8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087feebc: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087feec0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087feec4: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087feec8: 639c2b91  add	x3, x3, #0xae7
0xfffffff0087feecc: 02008052  mov	w2, #0
0xfffffff0087feed0: 98d0ec97  bl	#0xfffffff008333130
0xfffffff0087feed4: e00313aa  mov	x0, x19
0xfffffff0087feed8: e10314aa  mov	x1, x20
0xfffffff0087feedc: 3df20194  bl	#0xfffffff00887b7d0
0xfffffff0087feee0: 20090034  cbz	w0, #0xfffffff0087ff004
0xfffffff0087feee4: e00313aa  mov	x0, x19
0xfffffff0087feee8: 4cf20194  bl	#0xfffffff00887b818
0xfffffff0087feeec: b502f837  tbnz	w21, #0x1f, #0xfffffff0087fef40
0xfffffff0087feef0: b7021b12  and	w23, w21, #0x20
0xfffffff0087feef4: 1a000052  eor	w26, w0, #1
