; Candidate 4094
; ADRP+ADD at VM 0xfffffff008791d18 (fileoff 0x178dd18): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008791c98: 6d30d797  bl	#0xfffffff007d5de4c
0xfffffff008791c9c: 5f2403d5  bti	c
0xfffffff008791ca0: 085c70b9  ldr	w8, [x0, #0x305c]
0xfffffff008791ca4: 1f050071  cmp	w8, #1
0xfffffff008791ca8: 61000054  b.ne	#0xfffffff008791cb4
0xfffffff008791cac: 006c41f9  ldr	x0, [x0, #0x2d8]
0xfffffff008791cb0: 2b12fd17  b	#0xfffffff0086d655c
0xfffffff008791cb4: c0035fd6  ret	
0xfffffff008791cb8: 7f2303d5  pacibsp	
0xfffffff008791cbc: ff0301d1  sub	sp, sp, #0x40
0xfffffff008791cc0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008791cc4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008791cc8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008791ccc: fdc30091  add	x29, sp, #0x30
0xfffffff008791cd0: f30300aa  mov	x19, x0
0xfffffff008791cd4: 084441b9  ldr	w8, [x0, #0x144]
0xfffffff008791cd8: 554effd0  adrp	x21, #0xfffffff00715b000
0xfffffff008791cdc: b55e0491  add	x21, x21, #0x117
0xfffffff008791ce0: 28040034  cbz	w8, #0xfffffff008791d64
0xfffffff008791ce4: f52300a9  stp	x21, x8, [sp]
0xfffffff008791ce8: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791cec: 00403691  add	x0, x0, #0xd90
0xfffffff008791cf0: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791cf4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791cf8: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791cfc: 63481c91  add	x3, x3, #0x712
0xfffffff008791d00: 02008052  mov	w2, #0
0xfffffff008791d04: 0b85ee97  bl	#0xfffffff008333130
0xfffffff008791d08: 88578052  mov	w8, #0x2bc
0xfffffff008791d0c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008791d10: 14450011  add	w20, w8, #0x11
0xfffffff008791d14: f50300f9  str	x21, [sp]
0xfffffff008791d18: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791d1c: 00403691  add	x0, x0, #0xd90
0xfffffff008791d20: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791d24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791d28: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791d2c: 63a81f91  add	x3, x3, #0x7ea
0xfffffff008791d30: 02008052  mov	w2, #0
0xfffffff008791d34: ff84ee97  bl	#0xfffffff008333130
0xfffffff008791d38: 7f7e0fa9  stp	xzr, xzr, [x19, #0xf0]
0xfffffff008791d3c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008791d40: 600208ad  stp	q0, q0, [x19, #0x100]
0xfffffff008791d44: 600209ad  stp	q0, q0, [x19, #0x120]
0xfffffff008791d48: 7f7600f9  str	xzr, [x19, #0xe8]
0xfffffff008791d4c: e00314aa  mov	x0, x20
0xfffffff008791d50: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008791d54: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008791d58: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008791d5c: ff030191  add	sp, sp, #0x40
0xfffffff008791d60: ff0f5fd6  retab	
0xfffffff008791d64: 94578052  mov	w20, #0x2bc
0xfffffff008791d68: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008791d6c: 610300b4  cbz	x1, #0xfffffff008791dd8
0xfffffff008791d70: 820400b4  cbz	x2, #0xfffffff008791e00
0xfffffff008791d74: 280040f9  ldr	x8, [x1]
0xfffffff008791d78: e8fcffb4  cbz	x8, #0xfffffff008791d14
0xfffffff008791d7c: 687a00f9  str	x8, [x19, #0xf0]
0xfffffff008791d80: 280440f9  ldr	x8, [x1, #8]
0xfffffff008791d84: 88fcffb4  cbz	x8, #0xfffffff008791d14
0xfffffff008791d88: 687e00f9  str	x8, [x19, #0xf8]
0xfffffff008791d8c: 44fcffb4  cbz	x4, #0xfffffff008791d14
0xfffffff008791d90: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008791d94: 600209ad  stp	q0, q0, [x19, #0x120]
