; Candidate 3491
; ADRP+ADD at VM 0xfffffff008742134 (fileoff 0x173e134): page=0x1fe9ef000 add_imm=0xd90

0xfffffff0087420b4: 639c0091  add	x3, x3, #0x27
0xfffffff0087420b8: 02008052  mov	w2, #0
0xfffffff0087420bc: 1dc4ef97  bl	#0xfffffff008333130
0xfffffff0087420c0: 807e40f9  ldr	x0, [x20, #0xf8]
0xfffffff0087420c4: 800000b4  cbz	x0, #0xfffffff0087420d4
0xfffffff0087420c8: e1474179  ldrh	w1, [sp, #0xa2]
0xfffffff0087420cc: 02008052  mov	w2, #0
0xfffffff0087420d0: 64b80194  bl	#0xfffffff0087b0260
0xfffffff0087420d4: 9f2403d5  bti	j
0xfffffff0087420d8: 480340f9  ldr	x8, [x26]
0xfffffff0087420dc: 000540f9  ldr	x0, [x8, #8]
0xfffffff0087420e0: 7edaff97  bl	#0xfffffff008738ad8
0xfffffff0087420e4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087420e8: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff0087420ec: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff0087420f0: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0087420f4: e8a340b9  ldr	w8, [sp, #0xa0]
0xfffffff0087420f8: 097d1053  lsr	w9, w8, #0x10
0xfffffff0087420fc: e94b00b9  str	w9, [sp, #0x48]
0xfffffff008742100: 08110012  and	w8, w8, #0x1f
0xfffffff008742104: e86700b9  str	w8, [sp, #0x64]
0xfffffff008742108: 400340f9  ldr	x0, [x26]
0xfffffff00874210c: e1030191  add	x1, sp, #0x40
0xfffffff008742110: 20300094  bl	#0xfffffff00874e190
0xfffffff008742114: 00020034  cbz	w0, #0xfffffff008742154
0xfffffff008742118: e80313aa  mov	x8, x19
0xfffffff00874211c: e96740b9  ldr	w9, [sp, #0x64]
0xfffffff008742120: ea4b40b9  ldr	w10, [sp, #0x48]
0xfffffff008742124: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008742128: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00874212c: 08a13891  add	x8, x8, #0xe28
0xfffffff008742130: e82700a9  stp	x8, x9, [sp]
0xfffffff008742134: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742138: 00403691  add	x0, x0, #0xd90
0xfffffff00874213c: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008742140: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008742144: e34fffb0  adrp	x3, #0xfffffff00713f000
0xfffffff008742148: 63e00291  add	x3, x3, #0xb8
0xfffffff00874214c: 02008052  mov	w2, #0
0xfffffff008742150: f8c3ef97  bl	#0xfffffff008333130
0xfffffff008742154: 1c008052  mov	w28, #0
0xfffffff008742158: 15008012  mov	w21, #-1
0xfffffff00874215c: 9f2403d5  bti	j
0xfffffff008742160: 400340f9  ldr	x0, [x26]
0xfffffff008742164: f8310094  bl	#0xfffffff00874e944
0xfffffff008742168: 00020034  cbz	w0, #0xfffffff0087421a8
0xfffffff00874216c: fc000034  cbz	w28, #0xfffffff008742188
0xfffffff008742170: 800c8052  mov	w0, #0x64
0xfffffff008742174: 9d53f097  bl	#0xfffffff008356fe8
0xfffffff008742178: e00314aa  mov	x0, x20
0xfffffff00874217c: e10315aa  mov	x1, x21
0xfffffff008742180: e20313aa  mov	x2, x19
0xfffffff008742184: a3faff97  bl	#0xfffffff008740c10
0xfffffff008742188: fd7b55a9  ldp	x29, x30, [sp, #0x150]
0xfffffff00874218c: f44f54a9  ldp	x20, x19, [sp, #0x140]
0xfffffff008742190: f65753a9  ldp	x22, x21, [sp, #0x130]
0xfffffff008742194: f85f52a9  ldp	x24, x23, [sp, #0x120]
0xfffffff008742198: fa6751a9  ldp	x26, x25, [sp, #0x110]
0xfffffff00874219c: fc6f50a9  ldp	x28, x27, [sp, #0x100]
0xfffffff0087421a0: ff830591  add	sp, sp, #0x160
0xfffffff0087421a4: ff0f5fd6  retab	
0xfffffff0087421a8: 600340f9  ldr	x0, [x27]
0xfffffff0087421ac: 800100b4  cbz	x0, #0xfffffff0087421dc
0xfffffff0087421b0: 100040f9  ldr	x16, [x0]
