; Candidate 15914
; ADRP+ADD at VM 0xfffffff009ddc2a8 (fileoff 0x2dd82a8): page=0x1fd8c0000 add_imm=0xe2d

0xfffffff009ddc228: e30301aa  mov	x3, x1
0xfffffff009ddc22c: 01008052  mov	w1, #0
0xfffffff009ddc230: 22008052  mov	w2, #1
0xfffffff009ddc234: df2b0014  b	#0xfffffff009de71b0
0xfffffff009ddc238: c0035fd6  ret	
0xfffffff009ddc23c: 7f2303d5  pacibsp	
0xfffffff009ddc240: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ddc244: fd030091  mov	x29, sp
0xfffffff009ddc248: 08e850f9  ldr	x8, [x0, #0x21d0]
0xfffffff009ddc24c: 880200b4  cbz	x8, #0xfffffff009ddc29c
0xfffffff009ddc250: 097540b9  ldr	w9, [x8, #0x74]
0xfffffff009ddc254: a902f837  tbnz	w9, #0x1f, #0xfffffff009ddc2a8
0xfffffff009ddc258: 0a7140b9  ldr	w10, [x8, #0x70]
0xfffffff009ddc25c: 3f010a6b  cmp	w9, w10
0xfffffff009ddc260: 42020054  b.hs	#0xfffffff009ddc2a8
0xfffffff009ddc264: 083540f9  ldr	x8, [x8, #0x68]
0xfffffff009ddc268: 004129ab  adds	x0, x8, w9, uxtw
0xfffffff009ddc26c: e9379f1a  cset	w9, hs
0xfffffff009ddc270: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009ddc274: 090109ca  eor	x9, x8, x9
0xfffffff009ddc278: e90100b5  cbnz	x9, #0xfffffff009ddc2b4
0xfffffff009ddc27c: c801f8b7  tbnz	x8, #0x3f, #0xfffffff009ddc2b4
0xfffffff009ddc280: e00000b4  cbz	x0, #0xfffffff009ddc29c
0xfffffff009ddc284: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ddc288: ff2303d5  autibsp	
0xfffffff009ddc28c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009ddc290: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009ddc298
0xfffffff009ddc294: 208e38d4  brk	#0xc471
0xfffffff009ddc298: 522b9517  b	#0xfffffff008326fe0
0xfffffff009ddc29c: 000080d2  mov	x0, #0
0xfffffff009ddc2a0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ddc2a4: ff0f5fd6  retab	
0xfffffff009ddc2a8: 00c6fe90  adrp	x0, #0xfffffff00769c000
0xfffffff009ddc2ac: 00b43891  add	x0, x0, #0xe2d
0xfffffff009ddc2b0: ed120094  bl	#0xfffffff009de0e64
0xfffffff009ddc2b4: e0c5fef0  adrp	x0, #0xfffffff00769b000
0xfffffff009ddc2b8: 004c0691  add	x0, x0, #0x193
0xfffffff009ddc2bc: ea120094  bl	#0xfffffff009de0e64
0xfffffff009ddc2c0: 5f2403d5  bti	c
0xfffffff009ddc2c4: 00e850f9  ldr	x0, [x0, #0x21d0]
0xfffffff009ddc2c8: 400000b4  cbz	x0, #0xfffffff009ddc2d0
0xfffffff009ddc2cc: 02490014  b	#0xfffffff009dee6d4
0xfffffff009ddc2d0: 005b8052  mov	w0, #0x2d8
0xfffffff009ddc2d4: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009ddc2d8: c0035fd6  ret	
0xfffffff009ddc2dc: 5f2403d5  bti	c
0xfffffff009ddc2e0: 00e850f9  ldr	x0, [x0, #0x21d0]
0xfffffff009ddc2e4: 400000b4  cbz	x0, #0xfffffff009ddc2ec
0xfffffff009ddc2e8: 2f4c0014  b	#0xfffffff009def3a4
0xfffffff009ddc2ec: 005b8052  mov	w0, #0x2d8
0xfffffff009ddc2f0: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009ddc2f4: c0035fd6  ret	
0xfffffff009ddc2f8: 5f2403d5  bti	c
0xfffffff009ddc2fc: 00ec50f9  ldr	x0, [x0, #0x21d8]
0xfffffff009ddc300: 400000b4  cbz	x0, #0xfffffff009ddc308
0xfffffff009ddc304: 48650014  b	#0xfffffff009df5824
0xfffffff009ddc308: 005b8052  mov	w0, #0x2d8
0xfffffff009ddc30c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009ddc310: c0035fd6  ret	
0xfffffff009ddc314: 7f2303d5  pacibsp	
0xfffffff009ddc318: ff8301d1  sub	sp, sp, #0x60
0xfffffff009ddc31c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff009ddc320: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009ddc324: f65703a9  stp	x22, x21, [sp, #0x30]
