; Candidate 13812
; ADRP+ADD at VM 0xfffffff00959c7dc (fileoff 0x25987dc): page=0x1fdfc5000 add_imm=0xe67

0xfffffff00959c75c: 94220035  cbnz	w20, #0xfffffff00959cbac
0xfffffff00959c760: 88434039  ldrb	w8, [x28, #0x10]
0xfffffff00959c764: c8011036  tbz	w8, #2, #0xfffffff00959c79c
0xfffffff00959c768: 6832ffb0  adrp	x8, #0xfffffff007be9000
0xfffffff00959c76c: 081546f9  ldr	x8, [x8, #0xc28]
0xfffffff00959c770: 080140b9  ldr	w8, [x8]
0xfffffff00959c774: 1f791c72  tst	w8, #0xfffffff7
0xfffffff00959c778: 20010054  b.eq	#0xfffffff00959c79c
0xfffffff00959c77c: e1031b2a  mov	w1, w27
0xfffffff00959c780: e2031a2a  mov	w2, w26
0xfffffff00959c784: 20008052  mov	w0, #1
0xfffffff00959c788: 0061a072  movk	w0, #0x308, lsl #16
0xfffffff00959c78c: 030080d2  mov	x3, #0
0xfffffff00959c790: 040080d2  mov	x4, #0
0xfffffff00959c794: 050080d2  mov	x5, #0
0xfffffff00959c798: db85af97  bl	#0xfffffff00817df04
0xfffffff00959c79c: 774e43f9  ldr	x23, [x19, #0x698]
0xfffffff00959c7a0: 771e00b4  cbz	x23, #0xfffffff00959cb6c
0xfffffff00959c7a4: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff00959c7a8: e9031b2a  mov	w9, w27
0xfffffff00959c7ac: 6a2a43b9  ldr	w10, [x19, #0x328]
0xfffffff00959c7b0: 6b6244b9  ldr	w11, [x19, #0x460]
0xfffffff00959c7b4: 552d099b  madd	x21, x10, x9, x11
0xfffffff00959c7b8: e9031a2a  mov	w9, w26
0xfffffff00959c7bc: 567d099b  mul	x22, x10, x9
0xfffffff00959c7c0: ba02168b  add	x26, x21, x22
0xfffffff00959c7c4: bf0208eb  cmp	x21, x8
0xfffffff00959c7c8: 423348fa  ccmp	x26, x8, #2, lo
0xfffffff00959c7cc: 29010054  b.ls	#0xfffffff00959c7f0
0xfffffff00959c7d0: 68720d91  add	x8, x19, #0x35c
0xfffffff00959c7d4: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff00959c7d8: e80300f9  str	x8, [sp]
0xfffffff00959c7dc: 20fefeb0  adrp	x0, #0xfffffff007561000
0xfffffff00959c7e0: 009c3991  add	x0, x0, #0xe67
0xfffffff00959c7e4: 1f6ba097  bl	#0xfffffff007db7460
0xfffffff00959c7e8: c1028052  mov	w1, #0x16
0xfffffff00959c7ec: e1000014  b	#0xfffffff00959cb70
0xfffffff00959c7f0: e81a40f9  ldr	x8, [x23, #0x30]
0xfffffff00959c7f4: c82400b4  cbz	x8, #0xfffffff00959cc8c
0xfffffff00959c7f8: e82640f9  ldr	x8, [x23, #0x48]
0xfffffff00959c7fc: c82500b4  cbz	x8, #0xfffffff00959ccb4
0xfffffff00959c800: 098f8952  mov	w9, #0x4c78
0xfffffff00959c804: c949a972  movk	w9, #0x4a4e, lsl #16
0xfffffff00959c808: e85a40f9  ldr	x8, [x23, #0xb0]
0xfffffff00959c80c: 0a0140b9  ldr	w10, [x8]
0xfffffff00959c810: 5f01096b  cmp	w10, w9
0xfffffff00959c814: 41260054  b.ne	#0xfffffff00959ccdc
0xfffffff00959c818: 090540f9  ldr	x9, [x8, #8]
0xfffffff00959c81c: 3f0500f1  cmp	x9, #1
0xfffffff00959c820: eb1f0054  b.lt	#0xfffffff00959cc1c
0xfffffff00959c824: 0a0540f9  ldr	x10, [x8, #8]
0xfffffff00959c828: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff00959c82c: 5f0109eb  cmp	x10, x9
0xfffffff00959c830: 6c1f0054  b.gt	#0xfffffff00959cc1c
0xfffffff00959c834: 0a0940f9  ldr	x10, [x8, #0x10]
0xfffffff00959c838: 5f0500f1  cmp	x10, #1
0xfffffff00959c83c: cb200054  b.lt	#0xfffffff00959cc54
0xfffffff00959c840: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00959c844: 1f0109eb  cmp	x8, x9
0xfffffff00959c848: 6c200054  b.gt	#0xfffffff00959cc54
0xfffffff00959c84c: e8aa4139  ldrb	w8, [x23, #0x6a]
0xfffffff00959c850: 28080837  tbnz	w8, #1, #0xfffffff00959c954
0xfffffff00959c854: f87240f9  ldr	x24, [x23, #0xe0]
0xfffffff00959c858: 782700b4  cbz	x24, #0xfffffff00959cd44
