; Candidate 15288
; ADRP+ADD at VM 0xfffffff009b4954c (fileoff 0x2b4554c): page=0x1fdadf000 add_imm=0xed0

0xfffffff009b494cc: 40000054  b.eq	#0xfffffff009b494d4
0xfffffff009b494d0: 408e38d4  brk	#0xc472
0xfffffff009b494d4: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b494d8: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b494dc: e00313aa  mov	x0, x19
0xfffffff009b494e0: 010080d2  mov	x1, #0
0xfffffff009b494e4: f10308aa  mov	x17, x8
0xfffffff009b494e8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b494ec: 31093fd7  blraa	x9, x17
0xfffffff009b494f0: f50300aa  mov	x21, x0
0xfffffff009b494f4: 700240f9  ldr	x16, [x19]
0xfffffff009b494f8: f10313aa  mov	x17, x19
0xfffffff009b494fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b49500: 301ac1da  autda	x16, x17
0xfffffff009b49504: f10310aa  mov	x17, x16
0xfffffff009b49508: f147c1da  xpacd	x17
0xfffffff009b4950c: 1f0211eb  cmp	x16, x17
0xfffffff009b49510: 40000054  b.eq	#0xfffffff009b49518
0xfffffff009b49514: 408e38d4  brk	#0xc472
0xfffffff009b49518: 08620891  add	x8, x16, #0x218
0xfffffff009b4951c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b49520: e00313aa  mov	x0, x19
0xfffffff009b49524: 010080d2  mov	x1, #0
0xfffffff009b49528: f10308aa  mov	x17, x8
0xfffffff009b4952c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b49530: 31093fd7  blraa	x9, x17
0xfffffff009b49534: 08d7fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b49538: 088d1191  add	x8, x8, #0x463
0xfffffff009b4953c: 09d7fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b49540: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b49544: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b49548: f50300a9  stp	x21, x0, [sp]
0xfffffff009b4954c: e0d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b49550: 00403b91  add	x0, x0, #0xed0
0xfffffff009b49554: 23d7fe90  adrp	x3, #0xfffffff00762d000
0xfffffff009b49558: 63380791  add	x3, x3, #0x1ce
0xfffffff009b4955c: e10314aa  mov	x1, x20
0xfffffff009b49560: 02028052  mov	w2, #0x10
0xfffffff009b49564: f3a69f97  bl	#0xfffffff008333130
0xfffffff009b49568: 00008012  mov	w0, #-1
0xfffffff009b4956c: afffff17  b	#0xfffffff009b49428
0xfffffff009b49570: 7f2303d5  pacibsp	
0xfffffff009b49574: ffc301d1  sub	sp, sp, #0x70
0xfffffff009b49578: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009b4957c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009b49580: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009b49584: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009b49588: fd830191  add	x29, sp, #0x60
0xfffffff009b4958c: f30301aa  mov	x19, x1
0xfffffff009b49590: f40300aa  mov	x20, x0
0xfffffff009b49594: a00f00b4  cbz	x0, #0xfffffff009b49788
0xfffffff009b49598: 95c641b9  ldr	w21, [x20, #0x1c4]
0xfffffff009b4959c: 750f2836  tbz	w21, #5, #0xfffffff009b49788
0xfffffff009b495a0: 7505f036  tbz	w21, #0x1e, #0xfffffff009b4964c
0xfffffff009b495a4: 3e128e97  bl	#0xfffffff007ecde9c
0xfffffff009b495a8: 1f040071  cmp	w0, #1
0xfffffff009b495ac: 01050054  b.ne	#0xfffffff009b4964c
0xfffffff009b495b0: 900240f9  ldr	x16, [x20]
0xfffffff009b495b4: f10314aa  mov	x17, x20
0xfffffff009b495b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b495bc: 301ac1da  autda	x16, x17
0xfffffff009b495c0: 113d80d2  mov	x17, #0x1e8
0xfffffff009b495c4: 1002118b  add	x16, x16, x17
0xfffffff009b495c8: 080240f9  ldr	x8, [x16]
