; Candidate 3230
; ADRP+ADD at VM 0xfffffff00872055c (fileoff 0x171c55c): page=0x1fea11000 add_imm=0xd90

0xfffffff0087204dc: 28000014  b	#0xfffffff00872057c
0xfffffff0087204e0: 090141f9  ldr	x9, [x8, #0x200]
0xfffffff0087204e4: 0ac5238b  add	x10, x8, w3, sxtw #1
0xfffffff0087204e8: 4a894479  ldrh	w10, [x10, #0x244]
0xfffffff0087204ec: 8b038052  mov	w11, #0x1c
0xfffffff0087204f0: 49250b9b  madd	x9, x10, x11, x9
0xfffffff0087204f4: 2a110091  add	x10, x9, #4
0xfffffff0087204f8: 097141f9  ldr	x9, [x8, #0x2e0]
0xfffffff0087204fc: 690200b4  cbz	x9, #0xfffffff008720548
0xfffffff008720500: 4a0180b9  ldrsw	x10, [x10]
0xfffffff008720504: 08414fb9  ldr	w8, [x8, #0xf40]
0xfffffff008720508: 08050011  add	w8, w8, #1
0xfffffff00872050c: 5f01086b  cmp	w10, w8
0xfffffff008720510: 02020054  b.hs	#0xfffffff008720550
0xfffffff008720514: 00008052  mov	w0, #0
0xfffffff008720518: 48903891  add	x8, x2, #0xe24
0xfffffff00872051c: 0b068052  mov	w11, #0x30
0xfffffff008720520: 49250b9b  madd	x9, x10, x11, x9
0xfffffff008720524: 2a0540b9  ldr	w10, [x9, #4]
0xfffffff008720528: 4a100eb9  str	w10, [x2, #0xe10]
0xfffffff00872052c: 20c140fc  ldur	d0, [x9, #0xc]
0xfffffff008720530: 400c07fd  str	d0, [x2, #0xe18]
0xfffffff008720534: 204141fc  ldur	d0, [x9, #0x14]
0xfffffff008720538: 000900fd  str	d0, [x8, #0x10]
0xfffffff00872053c: 2009c03d  ldr	q0, [x9, #0x20]
0xfffffff008720540: 0001803d  str	q0, [x8]
0xfffffff008720544: 0f000014  b	#0xfffffff008720580
0xfffffff008720548: 00008052  mov	w0, #0
0xfffffff00872054c: 0d000014  b	#0xfffffff008720580
0xfffffff008720550: a851ffd0  adrp	x8, #0xfffffff007156000
0xfffffff008720554: 08bd0191  add	x8, x8, #0x6f
0xfffffff008720558: e80300f9  str	x8, [sp]
0xfffffff00872055c: 8050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008720560: 00403691  add	x0, x0, #0xd90
0xfffffff008720564: e196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008720568: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872056c: c350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff008720570: 637c1a91  add	x3, x3, #0x69f
0xfffffff008720574: 02008052  mov	w2, #0
0xfffffff008720578: ee4af097  bl	#0xfffffff008333130
0xfffffff00872057c: 00008012  mov	w0, #-1
0xfffffff008720580: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008720584: ff830091  add	sp, sp, #0x20
0xfffffff008720588: ff0f5fd6  retab	
0xfffffff00872058c: 5f2403d5  bti	c
0xfffffff008720590: e8278b52  mov	w8, #0x593f
0xfffffff008720594: 48686838  ldrb	w8, [x2, x8]
0xfffffff008720598: 28060034  cbz	w8, #0xfffffff00872065c
0xfffffff00872059c: 28b048f9  ldr	x8, [x1, #0x1160]
0xfffffff0087205a0: 09315e79  ldrh	w9, [x8, #0xf18]
0xfffffff0087205a4: 3f01036b  cmp	w9, w3
0xfffffff0087205a8: ad000054  b.le	#0xfffffff0087205bc
0xfffffff0087205ac: 0a9147f9  ldr	x10, [x8, #0xf20]
0xfffffff0087205b0: 697c4093  sxtw	x9, w3
0xfffffff0087205b4: 4bcd238b  add	x11, x10, w3, sxtw #3
0xfffffff0087205b8: 08000014  b	#0xfffffff0087205d8
0xfffffff0087205bc: 090941f9  ldr	x9, [x8, #0x210]
0xfffffff0087205c0: 8a018052  mov	w10, #0xc
0xfffffff0087205c4: 6924aa9b  umaddl	x9, w3, w10, x9
0xfffffff0087205c8: 290980b9  ldrsw	x9, [x9, #8]
0xfffffff0087205cc: 29050091  add	x9, x9, #1
0xfffffff0087205d0: 0a9147f9  ldr	x10, [x8, #0xf20]
0xfffffff0087205d4: 4b0d098b  add	x11, x10, x9, lsl #3
0xfffffff0087205d8: 0a9547f9  ldr	x10, [x8, #0xf28]
