; Candidate 3805
; ADRP+ADD at VM 0xfffffff008760648 (fileoff 0x175c648): page=0x1fe9d1000 add_imm=0xd90

0xfffffff0087605c8: 4b2d40b9  ldr	w11, [x10, #0x2c]
0xfffffff0087605cc: 8c0240f9  ldr	x12, [x20]
0xfffffff0087605d0: 8c09088b  add	x12, x12, x8, lsl #2
0xfffffff0087605d4: 8d9d43b9  ldr	w13, [x12, #0x39c]
0xfffffff0087605d8: 6d250033  bfxil	w13, w11, #0, #0xa
0xfffffff0087605dc: 8d9d03b9  str	w13, [x12, #0x39c]
0xfffffff0087605e0: 4bb140b9  ldr	w11, [x10, #0xb0]
0xfffffff0087605e4: 8c0240f9  ldr	x12, [x20]
0xfffffff0087605e8: 8c09088b  add	x12, x12, x8, lsl #2
0xfffffff0087605ec: 8df143b9  ldr	w13, [x12, #0x3f0]
0xfffffff0087605f0: ab190033  bfxil	w11, w13, #0, #7
0xfffffff0087605f4: 8bf103b9  str	w11, [x12, #0x3f0]
0xfffffff0087605f8: 4a5940f9  ldr	x10, [x10, #0xb0]
0xfffffff0087605fc: 4afd60d3  lsr	x10, x10, #0x20
0xfffffff008760600: 8b0240f9  ldr	x11, [x20]
0xfffffff008760604: 6b09088b  add	x11, x11, x8, lsl #2
0xfffffff008760608: 6c0d44b9  ldr	w12, [x11, #0x40c]
0xfffffff00876060c: 8c7d0a53  lsr	w12, w12, #0xa
0xfffffff008760610: 8a551633  bfi	w10, w12, #0xa, #0x16
0xfffffff008760614: 6a0d04b9  str	w10, [x11, #0x40c]
0xfffffff008760618: 1f1900f1  cmp	x8, #6
0xfffffff00876061c: 0a050091  add	x10, x8, #1
0xfffffff008760620: f3279f1a  cset	w19, lo
0xfffffff008760624: e8030aaa  mov	x8, x10
0xfffffff008760628: 5f1d00f1  cmp	x10, #7
0xfffffff00876062c: 81edff54  b.ne	#0xfffffff0087603dc
0xfffffff008760630: 0e000014  b	#0xfffffff008760668
0xfffffff008760634: 00008052  mov	w0, #0
0xfffffff008760638: 1effff17  b	#0xfffffff0087602b0
0xfffffff00876063c: 684ffff0  adrp	x8, #0xfffffff00714f000
0xfffffff008760640: 08e50991  add	x8, x8, #0x279
0xfffffff008760644: e80300f9  str	x8, [sp]
0xfffffff008760648: 804effb0  adrp	x0, #0xfffffff007131000
0xfffffff00876064c: 00403691  add	x0, x0, #0xd90
0xfffffff008760650: e194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008760654: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008760658: 034fffd0  adrp	x3, #0xfffffff007142000
0xfffffff00876065c: 63380d91  add	x3, x3, #0x34e
0xfffffff008760660: 02008052  mov	w2, #0
0xfffffff008760664: b34aef97  bl	#0xfffffff008333130
0xfffffff008760668: 60020013  sbfx	w0, w19, #0, #1
0xfffffff00876066c: 11ffff17  b	#0xfffffff0087602b0
0xfffffff008760670: 7f2303d5  pacibsp	
0xfffffff008760674: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008760678: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00876067c: fd430091  add	x29, sp, #0x10
0xfffffff008760680: 130c40f9  ldr	x19, [x0, #0x18]
0xfffffff008760684: 68224bb9  ldr	w8, [x19, #0xb20]
0xfffffff008760688: 080a0034  cbz	w8, #0xfffffff0087607c8
0xfffffff00876068c: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff008760690: 69b64bb9  ldr	w9, [x19, #0xbb4]
0xfffffff008760694: 0a7145b9  ldr	w10, [x8, #0x570]
0xfffffff008760698: 2a010033  bfxil	w10, w9, #0, #1
0xfffffff00876069c: 0a7105b9  str	w10, [x8, #0x570]
0xfffffff0087606a0: 69b64bb9  ldr	w9, [x19, #0xbb4]
0xfffffff0087606a4: c9010034  cbz	w9, #0xfffffff0087606dc
0xfffffff0087606a8: 0900a252  mov	w9, #0x10000000
0xfffffff0087606ac: 097d05b9  str	w9, [x8, #0x57c]
0xfffffff0087606b0: 69822c91  add	x9, x19, #0xb20
0xfffffff0087606b4: 6a2a4bb9  ldr	w10, [x19, #0xb28]
0xfffffff0087606b8: 0a8105b9  str	w10, [x8, #0x580]
0xfffffff0087606bc: 1fc502f9  str	xzr, [x8, #0x588]
0xfffffff0087606c0: 1f8505b9  str	wzr, [x8, #0x584]
0xfffffff0087606c4: 20c1c03c  ldur	q0, [x9, #0xc]
