; Candidate 5138
; ADRP+ADD at VM 0xfffffff0087db36c (fileoff 0x17d736c): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087db2ec: 37020034  cbz	w23, #0xfffffff0087db330
0xfffffff0087db2f0: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087db2f4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087db2f8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087db2fc: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db300: 097d2f91  add	x9, x8, #0xbdf
0xfffffff0087db304: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db308: 081d0291  add	x8, x8, #0x87
0xfffffff0087db30c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087db310: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087db314: 280a8052  mov	w8, #0x51
0xfffffff0087db318: a051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087db31c: 000c2191  add	x0, x0, #0x843
0xfffffff0087db320: f62300a9  stp	x22, x8, [sp]
0xfffffff0087db324: 4f70d797  bl	#0xfffffff007db7460
0xfffffff0087db328: 540300b5  cbnz	x20, #0xfffffff0087db390
0xfffffff0087db32c: 2b000014  b	#0xfffffff0087db3d8
0xfffffff0087db330: 9f630394  bl	#0xfffffff0088b41ac
0xfffffff0087db334: f60300aa  mov	x22, x0
0xfffffff0087db338: c0008052  mov	w0, #6
0xfffffff0087db33c: 45810294  bl	#0xfffffff00887b850
0xfffffff0087db340: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087db344: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0087db348: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087db34c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db350: 097d2f91  add	x9, x8, #0xbdf
0xfffffff0087db354: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db358: 081d0291  add	x8, x8, #0x87
0xfffffff0087db35c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087db360: 280a8052  mov	w8, #0x51
0xfffffff0087db364: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087db368: f60300f9  str	x22, [sp]
0xfffffff0087db36c: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087db370: 00003a91  add	x0, x0, #0xe80
0xfffffff0087db374: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087db378: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087db37c: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087db380: 63a02e91  add	x3, x3, #0xba8
0xfffffff0087db384: 02008052  mov	w2, #0
0xfffffff0087db388: 6a5fed97  bl	#0xfffffff008333130
0xfffffff0087db38c: 740200b4  cbz	x20, #0xfffffff0087db3d8
0xfffffff0087db390: 550200b4  cbz	x21, #0xfffffff0087db3d8
0xfffffff0087db394: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087db398: e80500b4  cbz	x8, #0xfffffff0087db454
0xfffffff0087db39c: 60aa40f9  ldr	x0, [x19, #0x150]
0xfffffff0087db3a0: a00500b4  cbz	x0, #0xfffffff0087db454
0xfffffff0087db3a4: 829640b9  ldr	w2, [x20, #0x94]
0xfffffff0087db3a8: 83720291  add	x3, x20, #0x9c
0xfffffff0087db3ac: 84c20691  add	x4, x20, #0x1b0
0xfffffff0087db3b0: 85520091  add	x5, x20, #0x14
0xfffffff0087db3b4: e10314aa  mov	x1, x20
0xfffffff0087db3b8: 73fa0094  bl	#0xfffffff008819d84
0xfffffff0087db3bc: f60300aa  mov	x22, x0
0xfffffff0087db3c0: 68aa40f9  ldr	x8, [x19, #0x150]
0xfffffff0087db3c4: 09429f52  mov	w9, #0xfa10
0xfffffff0087db3c8: c901a072  movk	w9, #0xe, lsl #16
0xfffffff0087db3cc: 086969b8  ldr	w8, [x8, x9]
0xfffffff0087db3d0: a80200b9  str	w8, [x21]
0xfffffff0087db3d4: 7c000014  b	#0xfffffff0087db5c4
0xfffffff0087db3d8: 200a8052  mov	w0, #0x51
0xfffffff0087db3dc: 81008052  mov	w1, #4
0xfffffff0087db3e0: fc800294  bl	#0xfffffff00887b7d0
0xfffffff0087db3e4: 000b0034  cbz	w0, #0xfffffff0087db544
0xfffffff0087db3e8: 200a8052  mov	w0, #0x51
