; Candidate 4825
; ADRP+ADD at VM 0xfffffff0087c81d8 (fileoff 0x17c41d8): page=0x1fea21000 add_imm=0xe80

0xfffffff0087c8158: f30300aa  mov	x19, x0
0xfffffff0087c815c: a00f8052  mov	w0, #0x7d
0xfffffff0087c8160: e1008052  mov	w1, #7
0xfffffff0087c8164: 9bcd0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8168: 80040034  cbz	w0, #0xfffffff0087c81f8
0xfffffff0087c816c: a00f8052  mov	w0, #0x7d
0xfffffff0087c8170: aacd0294  bl	#0xfffffff00887b818
0xfffffff0087c8174: f70300aa  mov	x23, x0
0xfffffff0087c8178: 0db00394  bl	#0xfffffff0088b41ac
0xfffffff0087c817c: f60300aa  mov	x22, x0
0xfffffff0087c8180: e0008052  mov	w0, #7
0xfffffff0087c8184: b3cd0294  bl	#0xfffffff00887b850
0xfffffff0087c8188: 57010034  cbz	w23, #0xfffffff0087c81b0
0xfffffff0087c818c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087c8190: e8d301a9  stp	x8, x20, [sp, #0x18]
0xfffffff0087c8194: a80f8052  mov	w8, #0x7d
0xfffffff0087c8198: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c819c: f60300f9  str	x22, [sp]
0xfffffff0087c81a0: 2052ffd0  adrp	x0, #0xfffffff00720e000
0xfffffff0087c81a4: 00500891  add	x0, x0, #0x214
0xfffffff0087c81a8: aebcd797  bl	#0xfffffff007db7460
0xfffffff0087c81ac: 13000014  b	#0xfffffff0087c81f8
0xfffffff0087c81b0: ffaf0394  bl	#0xfffffff0088b41ac
0xfffffff0087c81b4: f60300aa  mov	x22, x0
0xfffffff0087c81b8: e0008052  mov	w0, #7
0xfffffff0087c81bc: a5cd0294  bl	#0xfffffff00887b850
0xfffffff0087c81c0: e80314aa  mov	x8, x20
0xfffffff0087c81c4: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087c81c8: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0087c81cc: a80f8052  mov	w8, #0x7d
0xfffffff0087c81d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c81d4: f60300f9  str	x22, [sp]
0xfffffff0087c81d8: 0051ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c81dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c81e0: 0192ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087c81e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c81e8: 6353fff0  adrp	x3, #0xfffffff007237000
0xfffffff0087c81ec: 63cc2a91  add	x3, x3, #0xab3
0xfffffff0087c81f0: 02008052  mov	w2, #0
0xfffffff0087c81f4: cfabed97  bl	#0xfffffff008333130
0xfffffff0087c81f8: 686a4bb9  ldr	w8, [x19, #0xb68]
0xfffffff0087c81fc: a9d644b9  ldr	w9, [x21, #0x4d4]
0xfffffff0087c8200: 1f01096b  cmp	w8, w9
0xfffffff0087c8204: 41040054  b.ne	#0xfffffff0087c828c
0xfffffff0087c8208: 69524039  ldrb	w9, [x19, #0x14]
0xfffffff0087c820c: 69070035  cbnz	w9, #0xfffffff0087c82f8
0xfffffff0087c8210: 09050051  sub	w9, w8, #1
0xfffffff0087c8214: 3f0d0031  cmn	w9, #3
0xfffffff0087c8218: 09070054  b.ls	#0xfffffff0087c82f8
0xfffffff0087c821c: 60008052  mov	w0, #3
0xfffffff0087c8220: 81008052  mov	w1, #4
0xfffffff0087c8224: 6bcd0294  bl	#0xfffffff00887b7d0
0xfffffff0087c8228: 802b0034  cbz	w0, #0xfffffff0087c8798
0xfffffff0087c822c: 60008052  mov	w0, #3
0xfffffff0087c8230: 7acd0294  bl	#0xfffffff00887b818
0xfffffff0087c8234: f60300aa  mov	x22, x0
0xfffffff0087c8238: ddaf0394  bl	#0xfffffff0088b41ac
0xfffffff0087c823c: f50300aa  mov	x21, x0
0xfffffff0087c8240: 80008052  mov	w0, #4
0xfffffff0087c8244: 83cd0294  bl	#0xfffffff00887b850
0xfffffff0087c8248: b6240034  cbz	w22, #0xfffffff0087c86dc
0xfffffff0087c824c: 6a1a40b9  ldr	w10, [x19, #0x18]
0xfffffff0087c8250: 696a4bb9  ldr	w9, [x19, #0xb68]
0xfffffff0087c8254: f4a703a9  stp	x20, x9, [sp, #0x38]
