; Candidate 583
; ADRP+ADD at VM 0xfffffff007f8b3d4 (fileoff 0xf873d4): page=0x1ff0d7000 add_imm=0xe1e

0xfffffff007f8b354: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007f8b358: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007f8b35c: 95a20991  add	x21, x20, #0x268
0xfffffff007f8b360: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007f8b364: 1f0100f1  cmp	x8, #0
0xfffffff007f8b368: e1040054  b.ne	#0xfffffff007f8b404
0xfffffff007f8b36c: 08008052  mov	w8, #0
0xfffffff007f8b370: 897242b9  ldr	w9, [x20, #0x270]
0xfffffff007f8b374: 29010032  orr	w9, w9, #1
0xfffffff007f8b378: 897202b9  str	w9, [x20, #0x270]
0xfffffff007f8b37c: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007f8b380: e20309aa  mov	x2, x9
0xfffffff007f8b384: bffea288  casl	w2, wzr, [x21]
0xfffffff007f8b388: 5f00096b  cmp	w2, w9
0xfffffff007f8b38c: 81040054  b.ne	#0xfffffff007f8b41c
0xfffffff007f8b390: e00308aa  mov	x0, x8
0xfffffff007f8b394: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007f8b398: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007f8b39c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007f8b3a0: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007f8b3a4: ff430191  add	sp, sp, #0x50
0xfffffff007f8b3a8: ff0f5fd6  retab	
0xfffffff007f8b3ac: 161140f9  ldr	x22, [x8, #0x20]
0xfffffff007f8b3b0: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007f8b3b4: e20308aa  mov	x2, x8
0xfffffff007f8b3b8: bffea288  casl	w2, wzr, [x21]
0xfffffff007f8b3bc: 5f00086b  cmp	w2, w8
0xfffffff007f8b3c0: 01040054  b.ne	#0xfffffff007f8b440
0xfffffff007f8b3c4: df0214eb  cmp	x22, x20
0xfffffff007f8b3c8: c0fbff54  b.eq	#0xfffffff007f8b340
0xfffffff007f8b3cc: 68048052  mov	w8, #0x23
0xfffffff007f8b3d0: f0ffff17  b	#0xfffffff007f8b390
0xfffffff007f8b3d4: a086fff0  adrp	x0, #0xfffffff007062000
0xfffffff007f8b3d8: 00783891  add	x0, x0, #0xe1e
0xfffffff007f8b3dc: a186fff0  adrp	x1, #0xfffffff007062000
0xfffffff007f8b3e0: 21300991  add	x1, x1, #0x24c
0xfffffff007f8b3e4: c2cb8552  mov	w2, #0x2e5e
0xfffffff007f8b3e8: 0b511494  bl	#0xfffffff00849f814
0xfffffff007f8b3ec: 801501f0  adrp	x0, #0xfffffff00a23e000
0xfffffff007f8b3f0: 00a02291  add	x0, x0, #0x8a8
0xfffffff007f8b3f4: e10313aa  mov	x1, x19
0xfffffff007f8b3f8: 22008052  mov	w2, #1
0xfffffff007f8b3fc: bf81f897  bl	#0xfffffff007dabaf8
0xfffffff007f8b400: 90ffff17  b	#0xfffffff007f8b240
0xfffffff007f8b404: e00700f9  str	x0, [sp, #8]
0xfffffff007f8b408: e10313aa  mov	x1, x19
0xfffffff007f8b40c: 22008052  mov	w2, #1
0xfffffff007f8b410: ba81f897  bl	#0xfffffff007dabaf8
0xfffffff007f8b414: e00740f9  ldr	x0, [sp, #8]
0xfffffff007f8b418: d5ffff17  b	#0xfffffff007f8b36c
0xfffffff007f8b41c: e10313aa  mov	x1, x19
0xfffffff007f8b420: d184f897  bl	#0xfffffff007dac764
0xfffffff007f8b424: 08008052  mov	w8, #0
0xfffffff007f8b428: daffff17  b	#0xfffffff007f8b390
0xfffffff007f8b42c: 801501f0  adrp	x0, #0xfffffff00a23e000
0xfffffff007f8b430: 00a02291  add	x0, x0, #0x8a8
0xfffffff007f8b434: e10313aa  mov	x1, x19
0xfffffff007f8b438: cb84f897  bl	#0xfffffff007dac764
0xfffffff007f8b43c: c1ffff17  b	#0xfffffff007f8b340
0xfffffff007f8b440: 801501f0  adrp	x0, #0xfffffff00a23e000
0xfffffff007f8b444: 00a02291  add	x0, x0, #0x8a8
0xfffffff007f8b448: e10313aa  mov	x1, x19
0xfffffff007f8b44c: c684f897  bl	#0xfffffff007dac764
0xfffffff007f8b450: df0214eb  cmp	x22, x20
