; Candidate 15774
; ADRP+ADD at VM 0xfffffff009d07ec4 (fileoff 0x2d03ec4): page=0x6b4000 add_imm=0xeb0

0xfffffff009d07e44: 03108052  mov	w3, #0x80
0xfffffff009d07e48: 3c6f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07e4c: f0fffe90  adrp	x16, #0xfffffff007d03000
0xfffffff009d07e50: 10a20091  add	x16, x16, #0x28
0xfffffff009d07e54: 10420091  add	x16, x16, #0x10
0xfffffff009d07e58: f10300aa  mov	x17, x0
0xfffffff009d07e5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07e60: 300ac1da  pacda	x16, x17
0xfffffff009d07e64: 100000f9  str	x16, [x0]
0xfffffff009d07e68: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07e6c: 00603b91  add	x0, x0, #0xed8
0xfffffff009d07e70: e1cafeb0  adrp	x1, #0xfffffff007664000
0xfffffff009d07e74: 212c1991  add	x1, x1, #0x64b
0xfffffff009d07e78: e20313aa  mov	x2, x19
0xfffffff009d07e7c: 030b8052  mov	w3, #0x58
0xfffffff009d07e80: 2e6f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07e84: f0fffe90  adrp	x16, #0xfffffff007d03000
0xfffffff009d07e88: 10020991  add	x16, x16, #0x240
0xfffffff009d07e8c: 10420091  add	x16, x16, #0x10
0xfffffff009d07e90: f10300aa  mov	x17, x0
0xfffffff009d07e94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07e98: 300ac1da  pacda	x16, x17
0xfffffff009d07e9c: 100000f9  str	x16, [x0]
0xfffffff009d07ea0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d07ea4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d07ea8: ff0f5fd6  retab	
0xfffffff009d07eac: 7f2303d5  pacibsp	
0xfffffff009d07eb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d07eb4: fd030091  mov	x29, sp
0xfffffff009d07eb8: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ebc: 00603b91  add	x0, x0, #0xed8
0xfffffff009d07ec0: 0d729797  bl	#0xfffffff0082e46f4
0xfffffff009d07ec4: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ec8: 00c03a91  add	x0, x0, #0xeb0
0xfffffff009d07ecc: 0a729797  bl	#0xfffffff0082e46f4
0xfffffff009d07ed0: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ed4: 00203a91  add	x0, x0, #0xe88
0xfffffff009d07ed8: 07729797  bl	#0xfffffff0082e46f4
0xfffffff009d07edc: a0350090  adrp	x0, #0xfffffff00a3bb000
0xfffffff009d07ee0: 00803991  add	x0, x0, #0xe60
0xfffffff009d07ee4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d07ee8: ff2303d5  autibsp	
0xfffffff009d07eec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d07ef0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d07ef8
0xfffffff009d07ef4: 208e38d4  brk	#0xc471
0xfffffff009d07ef8: ff719717  b	#0xfffffff0082e46f4
0xfffffff009d07efc: 7f2303d5  pacibsp	
0xfffffff009d07f00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d07f04: fd030091  mov	x29, sp
0xfffffff009d07f08: e1cafeb0  adrp	x1, #0xfffffff007664000
0xfffffff009d07f0c: 21301a91  add	x1, x1, #0x68c
0xfffffff009d07f10: a2350090  adrp	x2, #0xfffffff00a3bb000
0xfffffff009d07f14: 42003691  add	x2, x2, #0xd80
0xfffffff009d07f18: 03798052  mov	w3, #0x3c8
0xfffffff009d07f1c: 076f9797  bl	#0xfffffff0082e3b38
0xfffffff009d07f20: f0fffe90  adrp	x16, #0xfffffff007d03000
0xfffffff009d07f24: 10422a91  add	x16, x16, #0xa90
0xfffffff009d07f28: 10420091  add	x16, x16, #0x10
0xfffffff009d07f2c: f10300aa  mov	x17, x0
0xfffffff009d07f30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d07f34: 300ac1da  pacda	x16, x17
0xfffffff009d07f38: 100000f9  str	x16, [x0]
0xfffffff009d07f3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d07f40: ff0f5fd6  retab	
