; Candidate 1508
; ADRP+ADD at VM 0xfffffff00844c258 (fileoff 0x1448258): page=0x1fec5a000 add_imm=0xde9

0xfffffff00844c1d8: 6e74fb97  bl	#0xfffffff008329390
0xfffffff00844c1dc: f40300aa  mov	x20, x0
0xfffffff00844c1e0: f7ef0090  adrp	x23, #0xfffffff00a248000
0xfffffff00844c1e4: e0b242f9  ldr	x0, [x23, #0x560]
0xfffffff00844c1e8: 400100b4  cbz	x0, #0xfffffff00844c210
0xfffffff00844c1ec: 100040f9  ldr	x16, [x0]
0xfffffff00844c1f0: f10300aa  mov	x17, x0
0xfffffff00844c1f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c1f8: 301ac1da  autda	x16, x17
0xfffffff00844c1fc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c200: e90310aa  mov	x9, x16
0xfffffff00844c204: f10309aa  mov	x17, x9
0xfffffff00844c208: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c20c: 11093fd7  blraa	x8, x17
0xfffffff00844c210: f4b202f9  str	x20, [x23, #0x560]
0xfffffff00844c214: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c218: 006c3791  add	x0, x0, #0xddb
0xfffffff00844c21c: 0774fb97  bl	#0xfffffff008329238
0xfffffff00844c220: f40300aa  mov	x20, x0
0xfffffff00844c224: f7ef0090  adrp	x23, #0xfffffff00a248000
0xfffffff00844c228: e0b642f9  ldr	x0, [x23, #0x568]
0xfffffff00844c22c: 400100b4  cbz	x0, #0xfffffff00844c254
0xfffffff00844c230: 100040f9  ldr	x16, [x0]
0xfffffff00844c234: f10300aa  mov	x17, x0
0xfffffff00844c238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c23c: 301ac1da  autda	x16, x17
0xfffffff00844c240: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c244: e90310aa  mov	x9, x16
0xfffffff00844c248: f10309aa  mov	x17, x9
0xfffffff00844c24c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c250: 11093fd7  blraa	x8, x17
0xfffffff00844c254: f4b602f9  str	x20, [x23, #0x568]
0xfffffff00844c258: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c25c: 00a43791  add	x0, x0, #0xde9
0xfffffff00844c260: f673fb97  bl	#0xfffffff008329238
0xfffffff00844c264: f40300aa  mov	x20, x0
0xfffffff00844c268: fbef0090  adrp	x27, #0xfffffff00a248000
0xfffffff00844c26c: 60bb42f9  ldr	x0, [x27, #0x570]
0xfffffff00844c270: 400100b4  cbz	x0, #0xfffffff00844c298
0xfffffff00844c274: 100040f9  ldr	x16, [x0]
0xfffffff00844c278: f10300aa  mov	x17, x0
0xfffffff00844c27c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c280: 301ac1da  autda	x16, x17
0xfffffff00844c284: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c288: e90310aa  mov	x9, x16
0xfffffff00844c28c: f10309aa  mov	x17, x9
0xfffffff00844c290: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00844c294: 11093fd7  blraa	x8, x17
0xfffffff00844c298: 74bb02f9  str	x20, [x27, #0x570]
0xfffffff00844c29c: c062ffd0  adrp	x0, #0xfffffff0070a6000
0xfffffff00844c2a0: 000c3891  add	x0, x0, #0xe03
0xfffffff00844c2a4: e573fb97  bl	#0xfffffff008329238
0xfffffff00844c2a8: f40300aa  mov	x20, x0
0xfffffff00844c2ac: f6ef0090  adrp	x22, #0xfffffff00a248000
0xfffffff00844c2b0: c0be42f9  ldr	x0, [x22, #0x578]
0xfffffff00844c2b4: 400100b4  cbz	x0, #0xfffffff00844c2dc
0xfffffff00844c2b8: 100040f9  ldr	x16, [x0]
0xfffffff00844c2bc: f10300aa  mov	x17, x0
0xfffffff00844c2c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00844c2c4: 301ac1da  autda	x16, x17
0xfffffff00844c2c8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00844c2cc: e90310aa  mov	x9, x16
0xfffffff00844c2d0: f10309aa  mov	x17, x9
0xfffffff00844c2d4: f150e7f2  movk	x17, #0x3a87, lsl #48
