; Candidate 13598
; ADRP+ADD at VM 0xfffffff0093adc8c (fileoff 0x23a9c8c): page=0x1fe155000 add_imm=0xd20

0xfffffff0093adc0c: 94622b91  add	x20, x20, #0xad8
0xfffffff0093adc10: e00314aa  mov	x0, x20
0xfffffff0093adc14: 51dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adc18: 700240f9  ldr	x16, [x19]
0xfffffff0093adc1c: f10313aa  mov	x17, x19
0xfffffff0093adc20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adc24: 301ac1da  autda	x16, x17
0xfffffff0093adc28: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093adc2c: e90310aa  mov	x9, x16
0xfffffff0093adc30: e00313aa  mov	x0, x19
0xfffffff0093adc34: f10309aa  mov	x17, x9
0xfffffff0093adc38: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093adc3c: 11093fd7  blraa	x8, x17
0xfffffff0093adc40: 46dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adc44: e00314aa  mov	x0, x20
0xfffffff0093adc48: 44dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adc4c: f40300aa  mov	x20, x0
0xfffffff0093adc50: 700240f9  ldr	x16, [x19]
0xfffffff0093adc54: f10313aa  mov	x17, x19
0xfffffff0093adc58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adc5c: 301ac1da  autda	x16, x17
0xfffffff0093adc60: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093adc64: e90310aa  mov	x9, x16
0xfffffff0093adc68: e00313aa  mov	x0, x19
0xfffffff0093adc6c: f10309aa  mov	x17, x9
0xfffffff0093adc70: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093adc74: 11093fd7  blraa	x8, x17
0xfffffff0093adc78: 38dbbc97  bl	#0xfffffff0082e4958
0xfffffff0093adc7c: a80affd0  adrp	x8, #0xfffffff007503000
0xfffffff0093adc80: 088d2291  add	x8, x8, #0x8a3
0xfffffff0093adc84: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0093adc88: f40300f9  str	x20, [sp]
0xfffffff0093adc8c: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093adc90: 00803491  add	x0, x0, #0xd20
0xfffffff0093adc94: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093adc98: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093adc9c: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093adca0: 63b81a91  add	x3, x3, #0x6ae
0xfffffff0093adca4: 42008052  mov	w2, #2
0xfffffff0093adca8: 2215be97  bl	#0xfffffff008333130
0xfffffff0093adcac: 601a47f9  ldr	x0, [x19, #0xe30]
0xfffffff0093adcb0: 400100b4  cbz	x0, #0xfffffff0093adcd8
0xfffffff0093adcb4: 100040f9  ldr	x16, [x0]
0xfffffff0093adcb8: f10300aa  mov	x17, x0
0xfffffff0093adcbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adcc0: 301ac1da  autda	x16, x17
0xfffffff0093adcc4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093adcc8: e90310aa  mov	x9, x16
0xfffffff0093adccc: f10309aa  mov	x17, x9
0xfffffff0093adcd0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093adcd4: 11093fd7  blraa	x8, x17
0xfffffff0093adcd8: 7f1a07f9  str	xzr, [x19, #0xe30]
0xfffffff0093adcdc: 601e47f9  ldr	x0, [x19, #0xe38]
0xfffffff0093adce0: 400100b4  cbz	x0, #0xfffffff0093add08
0xfffffff0093adce4: 100040f9  ldr	x16, [x0]
0xfffffff0093adce8: f10300aa  mov	x17, x0
0xfffffff0093adcec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093adcf0: 301ac1da  autda	x16, x17
0xfffffff0093adcf4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093adcf8: e90310aa  mov	x9, x16
0xfffffff0093adcfc: f10309aa  mov	x17, x9
0xfffffff0093add00: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093add04: 11093fd7  blraa	x8, x17
0xfffffff0093add08: 7f1e07f9  str	xzr, [x19, #0xe38]
