; Candidate 9010
; ADRP+ADD at VM 0xfffffff00896dda4 (fileoff 0x1969da4): page=0x196f000 add_imm=0xd08

0xfffffff00896dd24: 00c008fc  stur	d0, [x0, #0x8c]
0xfffffff00896dd28: 1f9400b9  str	wzr, [x0, #0x94]
0xfffffff00896dd2c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00896dd30: ff0f5fd6  retab	
0xfffffff00896dd34: 5f2403d5  bti	c
0xfffffff00896dd38: dc73fe17  b	#0xfffffff00890aca8
0xfffffff00896dd3c: 5f2403d5  bti	c
0xfffffff00896dd40: da73fe17  b	#0xfffffff00890aca8
0xfffffff00896dd44: 7f2303d5  pacibsp	
0xfffffff00896dd48: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00896dd4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00896dd50: fd430091  add	x29, sp, #0x10
0xfffffff00896dd54: f30300aa  mov	x19, x0
0xfffffff00896dd58: d473fe97  bl	#0xfffffff00890aca8
0xfffffff00896dd5c: 2086ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00896dd60: 00801391  add	x0, x0, #0x4e0
0xfffffff00896dd64: e10313aa  mov	x1, x19
0xfffffff00896dd68: 021d8052  mov	w2, #0xe8
0xfffffff00896dd6c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00896dd70: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00896dd74: ff2303d5  autibsp	
0xfffffff00896dd78: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00896dd7c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00896dd84
0xfffffff00896dd80: 208e38d4  brk	#0xc471
0xfffffff00896dd84: 46e6e517  b	#0xfffffff0082e769c
0xfffffff00896dd88: 5f2403d5  bti	c
0xfffffff00896dd8c: e20301aa  mov	x2, x1
0xfffffff00896dd90: e10300aa  mov	x1, x0
0xfffffff00896dd94: 2086ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00896dd98: 00801391  add	x0, x0, #0x4e0
0xfffffff00896dd9c: 40e6e517  b	#0xfffffff0082e769c
0xfffffff00896dda0: 5f2403d5  bti	c
0xfffffff00896dda4: 60cb00f0  adrp	x0, #0xfffffff00a2dc000
0xfffffff00896dda8: 00203491  add	x0, x0, #0xd08
0xfffffff00896ddac: c0035fd6  ret	
0xfffffff00896ddb0: 7f2303d5  pacibsp	
0xfffffff00896ddb4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00896ddb8: fd030091  mov	x29, sp
0xfffffff00896ddbc: 8148fff0  adrp	x1, #0xfffffff007280000
0xfffffff00896ddc0: 21042491  add	x1, x1, #0x901
0xfffffff00896ddc4: 0286ff90  adrp	x2, #0xfffffff007a2d000
0xfffffff00896ddc8: 420c47f9  ldr	x2, [x2, #0xe18]
0xfffffff00896ddcc: 031d8052  mov	w3, #0xe8
0xfffffff00896ddd0: 5ad7e597  bl	#0xfffffff0082e3b38
0xfffffff00896ddd4: 3086ff90  adrp	x16, #0xfffffff007a31000
0xfffffff00896ddd8: 10c23091  add	x16, x16, #0xc30
0xfffffff00896dddc: 10420091  add	x16, x16, #0x10
0xfffffff00896dde0: f10300aa  mov	x17, x0
0xfffffff00896dde4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00896dde8: 300ac1da  pacda	x16, x17
0xfffffff00896ddec: 100000f9  str	x16, [x0]
0xfffffff00896ddf0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00896ddf4: ff0f5fd6  retab	
0xfffffff00896ddf8: 7f2303d5  pacibsp	
0xfffffff00896ddfc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00896de00: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00896de04: fd430091  add	x29, sp, #0x10
0xfffffff00896de08: 2086ffd0  adrp	x0, #0xfffffff007a33000
0xfffffff00896de0c: 00801391  add	x0, x0, #0x4e0
0xfffffff00896de10: 011d8052  mov	w1, #0xe8
0xfffffff00896de14: 09e6e597  bl	#0xfffffff0082e7638
0xfffffff00896de18: f30300aa  mov	x19, x0
0xfffffff00896de1c: 74cb00f0  adrp	x20, #0xfffffff00a2dc000
0xfffffff00896de20: 94223491  add	x20, x20, #0xd08
