; Candidate 8608
; ADRP+ADD at VM 0xfffffff0088b7280 (fileoff 0x18b3280): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b7200: e1008052  mov	w1, #7
0xfffffff0088b7204: 7311ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b7208: 40020034  cbz	w0, #0xfffffff0088b7250
0xfffffff0088b720c: 80088052  mov	w0, #0x44
0xfffffff0088b7210: 8211ff97  bl	#0xfffffff00887b818
0xfffffff0088b7214: f60300aa  mov	x22, x0
0xfffffff0088b7218: e5f3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b721c: f40300aa  mov	x20, x0
0xfffffff0088b7220: e0008052  mov	w0, #7
0xfffffff0088b7224: 8b11ff97  bl	#0xfffffff00887b850
0xfffffff0088b7228: 96010034  cbz	w22, #0xfffffff0088b7258
0xfffffff0088b722c: a88240b9  ldr	w8, [x21, #0x80]
0xfffffff0088b7230: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088b7234: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7238: 88088052  mov	w8, #0x44
0xfffffff0088b723c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7240: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088b7244: e04bffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b7248: 00841691  add	x0, x0, #0x5a1
0xfffffff0088b724c: 8500d497  bl	#0xfffffff007db7460
0xfffffff0088b7250: 14008052  mov	w20, #0
0xfffffff0088b7254: bdffff17  b	#0xfffffff0088b7148
0xfffffff0088b7258: d5f3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b725c: f40300aa  mov	x20, x0
0xfffffff0088b7260: e0008052  mov	w0, #7
0xfffffff0088b7264: 7b11ff97  bl	#0xfffffff00887b850
0xfffffff0088b7268: a88240b9  ldr	w8, [x21, #0x80]
0xfffffff0088b726c: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088b7270: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7274: 88088052  mov	w8, #0x44
0xfffffff0088b7278: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b727c: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088b7280: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7284: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b7288: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b728c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7290: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7294: 63780991  add	x3, x3, #0x25e
0xfffffff0088b7298: 02008052  mov	w2, #0
0xfffffff0088b729c: a5efe997  bl	#0xfffffff008333130
0xfffffff0088b72a0: 14008052  mov	w20, #0
0xfffffff0088b72a4: a9ffff17  b	#0xfffffff0088b7148
0xfffffff0088b72a8: 7f2303d5  pacibsp	
0xfffffff0088b72ac: ff4302d1  sub	sp, sp, #0x90
0xfffffff0088b72b0: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0088b72b4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0088b72b8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0088b72bc: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0088b72c0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0088b72c4: fd030291  add	x29, sp, #0x80
0xfffffff0088b72c8: f60303aa  mov	x22, x3
0xfffffff0088b72cc: f80302aa  mov	x24, x2
0xfffffff0088b72d0: f70301aa  mov	x23, x1
0xfffffff0088b72d4: f50300aa  mov	x21, x0
0xfffffff0088b72d8: 1a8040b9  ldr	w26, [x0, #0x80]
0xfffffff0088b72dc: 59ff43d3  lsr	x25, x26, #3
0xfffffff0088b72e0: a08afff0  adrp	x0, #0xfffffff007a0e000
0xfffffff0088b72e4: 00600291  add	x0, x0, #0x98
0xfffffff0088b72e8: 837cea97  bl	#0xfffffff0083564f4
0xfffffff0088b72ec: f30300aa  mov	x19, x0
0xfffffff0088b72f0: a80e5a8b  add	x8, x21, x26, lsr #3
0xfffffff0088b72f4: 01110291  add	x1, x8, #0x84
0xfffffff0088b72f8: 08208052  mov	w8, #0x100
0xfffffff0088b72fc: 0201194b  sub	w2, w8, w25
