; Candidate 4192
; ADRP+ADD at VM 0xfffffff008795bb0 (fileoff 0x1791bb0): page=0x1fe99c000 add_imm=0xd90

0xfffffff008795b30: 280040f9  ldr	x8, [x1]
0xfffffff008795b34: a80300b4  cbz	x8, #0xfffffff008795ba8
0xfffffff008795b38: 7f180071  cmp	w3, #6
0xfffffff008795b3c: c1040054  b.ne	#0xfffffff008795bd4
0xfffffff008795b40: 54588052  mov	w20, #0x2c2
0xfffffff008795b44: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008795b48: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795b4c: 00403691  add	x0, x0, #0xd90
0xfffffff008795b50: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795b54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795b58: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795b5c: 63a40f91  add	x3, x3, #0x3e9
0xfffffff008795b60: 02008052  mov	w2, #0
0xfffffff008795b64: 7375ee97  bl	#0xfffffff008333130
0xfffffff008795b68: 9c010014  b	#0xfffffff0087961d8
0xfffffff008795b6c: 294effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008795b70: 29d10691  add	x9, x9, #0x1b4
0xfffffff008795b74: e92300a9  stp	x9, x8, [sp]
0xfffffff008795b78: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795b7c: 00403691  add	x0, x0, #0xd90
0xfffffff008795b80: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795b84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795b88: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795b8c: 63c80d91  add	x3, x3, #0x372
0xfffffff008795b90: 02008052  mov	w2, #0
0xfffffff008795b94: 6775ee97  bl	#0xfffffff008333130
0xfffffff008795b98: 48588052  mov	w8, #0x2c2
0xfffffff008795b9c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008795ba0: 142d0011  add	w20, w8, #0xb
0xfffffff008795ba4: 8d010014  b	#0xfffffff0087961d8
0xfffffff008795ba8: 54588052  mov	w20, #0x2c2
0xfffffff008795bac: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008795bb0: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795bb4: 00403691  add	x0, x0, #0xd90
0xfffffff008795bb8: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795bbc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795bc0: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795bc4: 638c0e91  add	x3, x3, #0x3a3
0xfffffff008795bc8: 02008052  mov	w2, #0
0xfffffff008795bcc: 5975ee97  bl	#0xfffffff008333130
0xfffffff008795bd0: 82010014  b	#0xfffffff0087961d8
0xfffffff008795bd4: 69926ab9  ldr	w9, [x19, #0x2a90]
0xfffffff008795bd8: 6a181f12  and	w10, w3, #0xfe
0xfffffff008795bdc: 5f110071  cmp	w10, #4
0xfffffff008795be0: 2009597a  ccmp	w9, #0x19, #0, eq
0xfffffff008795be4: 29008052  mov	w9, #1
0xfffffff008795be8: 2995891a  cinc	w9, w9, hi
0xfffffff008795bec: 69e62ab9  str	w9, [x19, #0x2ae4]
0xfffffff008795bf0: 696a69b9  ldr	w9, [x19, #0x2968]
0xfffffff008795bf4: 2a050051  sub	w10, w9, #1
0xfffffff008795bf8: 5f050071  cmp	w10, #1
0xfffffff008795bfc: a8000054  b.hi	#0xfffffff008795c10
0xfffffff008795c00: 898e8552  mov	w9, #0x2c74
0xfffffff008795c04: 696a6938  ldrb	w9, [x19, x9]
0xfffffff008795c08: e9000037  tbnz	w9, #0, #0xfffffff008795c24
0xfffffff008795c0c: 08000014  b	#0xfffffff008795c2c
0xfffffff008795c10: 3f0d0071  cmp	w9, #3
0xfffffff008795c14: c1000054  b.ne	#0xfffffff008795c2c
0xfffffff008795c18: 898e8552  mov	w9, #0x2c74
0xfffffff008795c1c: 696a6938  ldrb	w9, [x19, x9]
0xfffffff008795c20: 69000836  tbz	w9, #1, #0xfffffff008795c2c
0xfffffff008795c24: 29008052  mov	w9, #1
0xfffffff008795c28: 69e62ab9  str	w9, [x19, #0x2ae4]
0xfffffff008795c2c: ff7f0fa9  stp	xzr, xzr, [sp, #0xf0]
