; Candidate 1380
; ADRP+ADD at VM 0xfffffff00838d5d8 (fileoff 0x13895d8): page=0x1e8b000 add_imm=0xdc8

0xfffffff00838d558: 6a8a40b9  ldr	w10, [x19, #0x88]
0xfffffff00838d55c: e90308aa  mov	x9, x8
0xfffffff00838d560: caf7ff34  cbz	w10, #0xfffffff00838d458
0xfffffff00838d564: 49050051  sub	w9, w10, #1
0xfffffff00838d568: 698a00b9  str	w9, [x19, #0x88]
0xfffffff00838d56c: 690b40f9  ldr	x9, [x27, #0x10]
0xfffffff00838d570: baffff17  b	#0xfffffff00838d458
0xfffffff00838d574: 09008052  mov	w9, #0
0xfffffff00838d578: dcfe0736  tbz	w28, #0, #0xfffffff00838d550
0xfffffff00838d57c: f2ffff17  b	#0xfffffff00838d544
0xfffffff00838d580: caf500f0  adrp	x10, #0xfffffff00a248000
0xfffffff00838d584: 487541b9  ldr	w8, [x10, #0x174]
0xfffffff00838d588: e90740b9  ldr	w9, [sp, #4]
0xfffffff00838d58c: 3f01086b  cmp	w9, w8
0xfffffff00838d590: 61f4ff54  b.ne	#0xfffffff00838d41c
0xfffffff00838d594: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff00838d598: 08050091  add	x8, x8, #1
0xfffffff00838d59c: 683200f9  str	x8, [x19, #0x60]
0xfffffff00838d5a0: 9fffff17  b	#0xfffffff00838d41c
0xfffffff00838d5a4: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff00838d5a8: 08050091  add	x8, x8, #1
0xfffffff00838d5ac: 682e00f9  str	x8, [x19, #0x58]
0xfffffff00838d5b0: c0020012  and	w0, w22, #1
0xfffffff00838d5b4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00838d5b8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00838d5bc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00838d5c0: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00838d5c4: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00838d5c8: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00838d5cc: ffc30191  add	sp, sp, #0x70
0xfffffff00838d5d0: ff0f5fd6  retab	
0xfffffff00838d5d4: 5f2403d5  bti	c
0xfffffff00838d5d8: 40f400f0  adrp	x0, #0xfffffff00a218000
0xfffffff00838d5dc: 00203791  add	x0, x0, #0xdc8
0xfffffff00838d5e0: c0035fd6  ret	
0xfffffff00838d5e4: 5f2403d5  bti	c
0xfffffff00838d5e8: e10300aa  mov	x1, x0
0xfffffff00838d5ec: 08008092  mov	x8, #-1
0xfffffff00838d5f0: 080000f9  str	x8, [x0]
0xfffffff00838d5f4: 80afffb0  adrp	x0, #0xfffffff00797e000
0xfffffff00838d5f8: 00c03991  add	x0, x0, #0xe70
0xfffffff00838d5fc: 02168052  mov	w2, #0xb0
0xfffffff00838d600: 2768fd17  b	#0xfffffff0082e769c
0xfffffff00838d604: 5f2403d5  bti	c
0xfffffff00838d608: 08008092  mov	x8, #-1
0xfffffff00838d60c: 080000f9  str	x8, [x0]
0xfffffff00838d610: c0035fd6  ret	
0xfffffff00838d614: 7f2303d5  pacibsp	
0xfffffff00838d618: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00838d61c: fd030091  mov	x29, sp
0xfffffff00838d620: 88afffb0  adrp	x8, #0xfffffff00797e000
0xfffffff00838d624: 089d4eb9  ldr	w8, [x8, #0xe9c]
0xfffffff00838d628: 084d1c12  and	w8, w8, #0xfffff0
0xfffffff00838d62c: 1fc10271  cmp	w8, #0xb0
0xfffffff00838d630: 22010054  b.hs	#0xfffffff00838d654
0xfffffff00838d634: 00adff90  adrp	x0, #0xfffffff00792d000
0xfffffff00838d638: 00c01c91  add	x0, x0, #0x730
0xfffffff00838d63c: 01168052  mov	w1, #0xb0
0xfffffff00838d640: 82008252  mov	w2, #0x1004
0xfffffff00838d644: 8200a072  movk	w2, #4, lsl #16
0xfffffff00838d648: 030080d2  mov	x3, #0
0xfffffff00838d64c: ad63e897  bl	#0xfffffff007da6500
0xfffffff00838d650: 05000014  b	#0xfffffff00838d664
0xfffffff00838d654: 80afffb0  adrp	x0, #0xfffffff00797e000
