; Candidate 16731
; ADRP+ADD at VM 0xfffffff009f3b95c (fileoff 0x2f3795c): page=0x1fd924000 add_imm=0xcf5

0xfffffff009f3b8dc: 8bc78152  mov	w11, #0xe3c
0xfffffff009f3b8e0: 0cc9fed0  adrp	x12, #0xfffffff00785d000
0xfffffff009f3b8e4: 8c3d3f91  add	x12, x12, #0xfcf
0xfffffff009f3b8e8: ec2f02a9  stp	x12, x11, [sp, #0x20]
0xfffffff009f3b8ec: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f3b8f0: f32b00a9  stp	x19, x10, [sp]
0xfffffff009f3b8f4: 20c9fe90  adrp	x0, #0xfffffff00785f000
0xfffffff009f3b8f8: 007c3291  add	x0, x0, #0xc9f
0xfffffff009f3b8fc: 04639597  bl	#0xfffffff00849450c
0xfffffff009f3b900: 7f2303d5  pacibsp	
0xfffffff009f3b904: ff4301d1  sub	sp, sp, #0x50
0xfffffff009f3b908: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009f3b90c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009f3b910: fd030191  add	x29, sp, #0x40
0xfffffff009f3b914: f30300aa  mov	x19, x0
0xfffffff009f3b918: bfc31eb8  stur	wzr, [x29, #-0x14]
0xfffffff009f3b91c: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff009f3b920: a25300d1  sub	x2, x29, #0x14
0xfffffff009f3b924: 01028052  mov	w1, #0x10
0xfffffff009f3b928: 0ab17997  bl	#0xfffffff007da7d50
0xfffffff009f3b92c: a0000036  tbz	w0, #0, #0xfffffff009f3b940
0xfffffff009f3b930: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009f3b934: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009f3b938: ff430191  add	sp, sp, #0x50
0xfffffff009f3b93c: ff0f5fd6  retab	
0xfffffff009f3b940: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff009f3b944: 080140f9  ldr	x8, [x8]
0xfffffff009f3b948: e9c98152  mov	w9, #0xe4f
0xfffffff009f3b94c: 0ac9fed0  adrp	x10, #0xfffffff00785d000
0xfffffff009f3b950: 4a3d3f91  add	x10, x10, #0xfcf
0xfffffff009f3b954: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff009f3b958: f32300a9  stp	x19, x8, [sp]
0xfffffff009f3b95c: 20c9fe90  adrp	x0, #0xfffffff00785f000
0xfffffff009f3b960: 00d43391  add	x0, x0, #0xcf5
0xfffffff009f3b964: ea629597  bl	#0xfffffff00849450c
0xfffffff009f3b968: 7f2303d5  pacibsp	
0xfffffff009f3b96c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff009f3b970: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff009f3b974: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff009f3b978: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff009f3b97c: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff009f3b980: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff009f3b984: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff009f3b988: fdc30291  add	x29, sp, #0xb0
0xfffffff009f3b98c: f40304aa  mov	x20, x4
0xfffffff009f3b990: f50303aa  mov	x21, x3
0xfffffff009f3b994: f30300aa  mov	x19, x0
0xfffffff009f3b998: bfc31ab8  stur	wzr, [x29, #-0x54]
0xfffffff009f3b99c: 080040f9  ldr	x8, [x0]
0xfffffff009f3b9a0: 1bc140f9  ldr	x27, [x8, #0x180]
0xfffffff009f3b9a4: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff009f3b9a8: 686340f9  ldr	x8, [x27, #0xc0]
0xfffffff009f3b9ac: 1c2540b9  ldr	w28, [x8, #0x24]
0xfffffff009f3b9b0: 1a3040b9  ldr	w26, [x0, #0x30]
0xfffffff009f3b9b4: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009f3b9b8: 1f0562f2  tst	x8, #0xc0000000
0xfffffff009f3b9bc: 00070054  b.eq	#0xfffffff009f3ba9c
0xfffffff009f3b9c0: 694240f9  ldr	x9, [x19, #0x80]
0xfffffff009f3b9c4: 78220091  add	x24, x19, #8
0xfffffff009f3b9c8: 090900b4  cbz	x9, #0xfffffff009f3bae8
0xfffffff009f3b9cc: 080080d2  mov	x8, #0
0xfffffff009f3b9d0: 09008052  mov	w9, #0
0xfffffff009f3b9d4: 16008052  mov	w22, #0
0xfffffff009f3b9d8: 190080d2  mov	x25, #0
