; Candidate 15920
; ADRP+ADD at VM 0xfffffff009de5b54 (fileoff 0x2de1b54): page=0x5d9000 add_imm=0xd00

0xfffffff009de5ad4: 20cd46fd  ldr	d0, [x9, #0xd98]
0xfffffff009de5ad8: 000100fd  str	d0, [x8]
0xfffffff009de5adc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009de5ae0: ff0f5fd6  retab	
0xfffffff009de5ae4: 5f2403d5  bti	c
0xfffffff009de5ae8: 5a4f0014  b	#0xfffffff009df9850
0xfffffff009de5aec: 5f2403d5  bti	c
0xfffffff009de5af0: 584f0014  b	#0xfffffff009df9850
0xfffffff009de5af4: 7f2303d5  pacibsp	
0xfffffff009de5af8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009de5afc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009de5b00: fd430091  add	x29, sp, #0x10
0xfffffff009de5b04: f30300aa  mov	x19, x0
0xfffffff009de5b08: 524f0094  bl	#0xfffffff009df9850
0xfffffff009de5b0c: 00fafef0  adrp	x0, #0xfffffff007d28000
0xfffffff009de5b10: 00e02791  add	x0, x0, #0x9f8
0xfffffff009de5b14: e10313aa  mov	x1, x19
0xfffffff009de5b18: 02268052  mov	w2, #0x130
0xfffffff009de5b1c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009de5b20: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009de5b24: ff2303d5  autibsp	
0xfffffff009de5b28: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009de5b2c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009de5b34
0xfffffff009de5b30: 208e38d4  brk	#0xc471
0xfffffff009de5b34: da069417  b	#0xfffffff0082e769c
0xfffffff009de5b38: 5f2403d5  bti	c
0xfffffff009de5b3c: e20301aa  mov	x2, x1
0xfffffff009de5b40: e10300aa  mov	x1, x0
0xfffffff009de5b44: 00fafef0  adrp	x0, #0xfffffff007d28000
0xfffffff009de5b48: 00e02791  add	x0, x0, #0x9f8
0xfffffff009de5b4c: d4069417  b	#0xfffffff0082e769c
0xfffffff009de5b50: 5f2403d5  bti	c
0xfffffff009de5b54: c02e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009de5b58: 00003491  add	x0, x0, #0xd00
0xfffffff009de5b5c: c0035fd6  ret	
0xfffffff009de5b60: 7f2303d5  pacibsp	
0xfffffff009de5b64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009de5b68: fd030091  mov	x29, sp
0xfffffff009de5b6c: c1c5fef0  adrp	x1, #0xfffffff0076a0000
0xfffffff009de5b70: 21a80891  add	x1, x1, #0x22a
0xfffffff009de5b74: c22e00d0  adrp	x2, #0xfffffff00a3bf000
0xfffffff009de5b78: 42400191  add	x2, x2, #0x50
0xfffffff009de5b7c: 03268052  mov	w3, #0x130
0xfffffff009de5b80: eef79397  bl	#0xfffffff0082e3b38
0xfffffff009de5b84: f0f9fef0  adrp	x16, #0xfffffff007d24000
0xfffffff009de5b88: 10a22191  add	x16, x16, #0x868
0xfffffff009de5b8c: 10420091  add	x16, x16, #0x10
0xfffffff009de5b90: f10300aa  mov	x17, x0
0xfffffff009de5b94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009de5b98: 300ac1da  pacda	x16, x17
0xfffffff009de5b9c: 100000f9  str	x16, [x0]
0xfffffff009de5ba0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009de5ba4: ff0f5fd6  retab	
0xfffffff009de5ba8: 7f2303d5  pacibsp	
0xfffffff009de5bac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009de5bb0: fd030091  mov	x29, sp
0xfffffff009de5bb4: 00fafef0  adrp	x0, #0xfffffff007d28000
0xfffffff009de5bb8: 00e02791  add	x0, x0, #0x9f8
0xfffffff009de5bbc: 01268052  mov	w1, #0x130
0xfffffff009de5bc0: 9e069497  bl	#0xfffffff0082e7638
0xfffffff009de5bc4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009de5bc8: ff2303d5  autibsp	
0xfffffff009de5bcc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009de5bd0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009de5bd8
