; Candidate 6102
; ADRP+ADD at VM 0xfffffff008814934 (fileoff 0x1810934): page=0x1fe9d5000 add_imm=0xe80

0xfffffff0088148b4: 63481291  add	x3, x3, #0x492
0xfffffff0088148b8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088148bc: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088148c0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088148c4: a18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088148c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088148cc: 02008052  mov	w2, #0
0xfffffff0088148d0: 187aec97  bl	#0xfffffff008333130
0xfffffff0088148d4: 00008052  mov	w0, #0
0xfffffff0088148d8: dfffff17  b	#0xfffffff008814854
0xfffffff0088148dc: 347e0294  bl	#0xfffffff0088b41ac
0xfffffff0088148e0: f50300aa  mov	x21, x0
0xfffffff0088148e4: 80008052  mov	w0, #4
0xfffffff0088148e8: da9b0194  bl	#0xfffffff00887b850
0xfffffff0088148ec: 88f644f9  ldr	x8, [x20, #0x9e8]
0xfffffff0088148f0: e9165939  ldrb	w9, [x23, #0x645]
0xfffffff0088148f4: 6a5a40b9  ldr	w10, [x19, #0x58]
0xfffffff0088148f8: 8bc640b9  ldr	w11, [x20, #0xc4]
0xfffffff0088148fc: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff008814900: f42f04a9  stp	x20, x11, [sp, #0x40]
0xfffffff008814904: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff008814908: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff00881490c: 08051a91  add	x8, x8, #0x681
0xfffffff008814910: 69998052  mov	w9, #0x4cb
0xfffffff008814914: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008814918: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff00881491c: 08311491  add	x8, x8, #0x50c
0xfffffff008814920: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008814924: 880e8052  mov	w8, #0x74
0xfffffff008814928: a351ff90  adrp	x3, #0xfffffff007248000
0xfffffff00881492c: 63ec1091  add	x3, x3, #0x43b
0xfffffff008814930: f52300a9  stp	x21, x8, [sp]
0xfffffff008814934: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008814938: 00003a91  add	x0, x0, #0xe80
0xfffffff00881493c: a18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008814940: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008814944: 02008052  mov	w2, #0
0xfffffff008814948: fa79ec97  bl	#0xfffffff008333130
0xfffffff00881494c: c1ffff17  b	#0xfffffff008814850
0xfffffff008814950: 177e0294  bl	#0xfffffff0088b41ac
0xfffffff008814954: f50300aa  mov	x21, x0
0xfffffff008814958: 80008052  mov	w0, #4
0xfffffff00881495c: bd9b0194  bl	#0xfffffff00887b850
0xfffffff008814960: 88f644f9  ldr	x8, [x20, #0x9e8]
0xfffffff008814964: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008814968: 8ac640b9  ldr	w10, [x20, #0xc4]
0xfffffff00881496c: 8bfa49b9  ldr	w11, [x20, #0x9f8]
0xfffffff008814970: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff008814974: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008814978: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881497c: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814980: 08991691  add	x8, x8, #0x5a6
0xfffffff008814984: a9978052  mov	w9, #0x4bd
0xfffffff008814988: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881498c: 4850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008814990: 08311491  add	x8, x8, #0x50c
0xfffffff008814994: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008814998: 880e8052  mov	w8, #0x74
0xfffffff00881499c: a351ff90  adrp	x3, #0xfffffff007248000
0xfffffff0088149a0: 63800e91  add	x3, x3, #0x3a0
0xfffffff0088149a4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088149a8: a04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088149ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088149b0: a18fff90  adrp	x1, #0xfffffff007a08000
