; Candidate 12513
; ADRP+ADD at VM 0xfffffff0090ab8e0 (fileoff 0x20a78e0): page=0x1fe3ae000 add_imm=0xe24

0xfffffff0090ab860: 1f2d00b1  cmn	x8, #0xb
0xfffffff0090ab864: 09310054  b.ls	#0xfffffff0090abe84
0xfffffff0090ab868: 0055ffb0  adrp	x0, #0xfffffff007b4c000
0xfffffff0090ab86c: 00c00691  add	x0, x0, #0x1b0
0xfffffff0090ab870: 01118052  mov	w1, #0x88
0xfffffff0090ab874: 57adca97  bl	#0xfffffff008356dd0
0xfffffff0090ab878: f60300aa  mov	x22, x0
0xfffffff0090ab87c: c01dffd0  adrp	x0, #0xfffffff007465000
0xfffffff0090ab880: 003c2191  add	x0, x0, #0x84f
0xfffffff0090ab884: c31dffb0  adrp	x3, #0xfffffff007464000
0xfffffff0090ab888: 63a42d91  add	x3, x3, #0xb69
0xfffffff0090ab88c: c51dffd0  adrp	x5, #0xfffffff007465000
0xfffffff0090ab890: a5a80a91  add	x5, x5, #0x2aa
0xfffffff0090ab894: e10316aa  mov	x1, x22
0xfffffff0090ab898: 02118052  mov	w2, #0x88
0xfffffff0090ab89c: a4338052  mov	w4, #0x19d
0xfffffff0090ab8a0: 32c3ff97  bl	#0xfffffff00909c568
0xfffffff0090ab8a4: 080f8052  mov	w8, #0x78
0xfffffff0090ab8a8: 56faffb5  cbnz	x22, #0xfffffff0090ab7f0
0xfffffff0090ab8ac: 4b010014  b	#0xfffffff0090abdd8
0xfffffff0090ab8b0: d43600b9  str	w20, [x22, #0x34]
0xfffffff0090ab8b4: 14008052  mov	w20, #0
0xfffffff0090ab8b8: 760200f9  str	x22, [x19]
0xfffffff0090ab8bc: 48018052  mov	w8, #0xa
0xfffffff0090ab8c0: 09034039  ldrb	w9, [x24]
0xfffffff0090ab8c4: 1f01096b  cmp	w8, w9
0xfffffff0090ab8c8: 23010054  b.lo	#0xfffffff0090ab8ec
0xfffffff0090ab8cc: 887e4093  sxtw	x8, w20
0xfffffff0090ab8d0: c91dffd0  adrp	x9, #0xfffffff007465000
0xfffffff0090ab8d4: 29a90a91  add	x9, x9, #0x2aa
0xfffffff0090ab8d8: f72700a9  stp	x23, x9, [sp]
0xfffffff0090ab8dc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ab8e0: 601dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090ab8e4: 00903891  add	x0, x0, #0xe24
0xfffffff0090ab8e8: ceadca97  bl	#0xfffffff008357020
0xfffffff0090ab8ec: e00314aa  mov	x0, x20
0xfffffff0090ab8f0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090ab8f4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090ab8f8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090ab8fc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090ab900: ffc30191  add	sp, sp, #0x70
0xfffffff0090ab904: ff0f5fd6  retab	
0xfffffff0090ab908: 9f2403d5  bti	j
0xfffffff0090ab90c: a8368052  mov	w8, #0x1b5
0xfffffff0090ab910: c91dffb0  adrp	x9, #0xfffffff007464000
0xfffffff0090ab914: 29a52d91  add	x9, x9, #0xb69
0xfffffff0090ab918: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090ab91c: 681dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090ab920: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ab924: 6a1dfff0  adrp	x10, #0xfffffff00745a000
0xfffffff0090ab928: 4a713791  add	x10, x10, #0xddc
0xfffffff0090ab92c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0090ab930: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff0090ab934: 601dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090ab938: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090ab93c: b9adca97  bl	#0xfffffff008357020
0xfffffff0090ab940: 54008012  mov	w20, #-3
0xfffffff0090ab944: c8088052  mov	w8, #0x46
0xfffffff0090ab948: deffff17  b	#0xfffffff0090ab8c0
0xfffffff0090ab94c: 9f2403d5  bti	j
0xfffffff0090ab950: 0055ff90  adrp	x0, #0xfffffff007b4b000
0xfffffff0090ab954: 00803691  add	x0, x0, #0xda0
0xfffffff0090ab958: 81028052  mov	w1, #0x14
0xfffffff0090ab95c: 1dadca97  bl	#0xfffffff008356dd0
