; Candidate 14469
; ADRP+ADD at VM 0xfffffff00979ee84 (fileoff 0x279ae84): page=0x1fe4a6000 add_imm=0xe80

0xfffffff00979ee04: f40301aa  mov	x20, x1
0xfffffff00979ee08: f50300aa  mov	x21, x0
0xfffffff00979ee0c: 2025ffd0  adrp	x0, #0xfffffff007c44000
0xfffffff00979ee10: 00003991  add	x0, x0, #0xe40
0xfffffff00979ee14: b8ddae97  bl	#0xfffffff0083564f4
0xfffffff00979ee18: f30300aa  mov	x19, x0
0xfffffff00979ee1c: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff00979ee20: 1f1400f9  str	xzr, [x0, #0x28]
0xfffffff00979ee24: 1fc00039  strb	wzr, [x0, #0x30]
0xfffffff00979ee28: 1f5400a9  stp	xzr, x21, [x0]
0xfffffff00979ee2c: 68ac8c52  mov	w8, #0x6563
0xfffffff00979ee30: 882cac72  movk	w8, #0x6164, lsl #16
0xfffffff00979ee34: e80700f9  str	x8, [sp, #8]
0xfffffff00979ee38: e00314aa  mov	x0, x20
0xfffffff00979ee3c: 1d000094  bl	#0xfffffff00979eeb0
0xfffffff00979ee40: e803002a  mov	w8, w0
0xfffffff00979ee44: e87f01a9  stp	x8, xzr, [sp, #0x10]
0xfffffff00979ee48: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff00979ee4c: e1230091  add	x1, sp, #8
0xfffffff00979ee50: 000080d2  mov	x0, #0
0xfffffff00979ee54: 87ff0094  bl	#0xfffffff0097dec70
0xfffffff00979ee58: 200100b4  cbz	x0, #0xfffffff00979ee7c
0xfffffff00979ee5c: e10313aa  mov	x1, x19
0xfffffff00979ee60: c8ff0094  bl	#0xfffffff0097ded80
0xfffffff00979ee64: a00100b4  cbz	x0, #0xfffffff00979ee98
0xfffffff00979ee68: 600240f9  ldr	x0, [x19]
0xfffffff00979ee6c: 600100b4  cbz	x0, #0xfffffff00979ee98
0xfffffff00979ee70: ddff0094  bl	#0xfffffff0097dede4
0xfffffff00979ee74: 7f0200f9  str	xzr, [x19]
0xfffffff00979ee78: 08000014  b	#0xfffffff00979ee98
0xfffffff00979ee7c: e00313aa  mov	x0, x19
0xfffffff00979ee80: aaffff97  bl	#0xfffffff00979ed28
0xfffffff00979ee84: 2025ffd0  adrp	x0, #0xfffffff007c44000
0xfffffff00979ee88: 00003a91  add	x0, x0, #0xe80
0xfffffff00979ee8c: e10313aa  mov	x1, x19
0xfffffff00979ee90: 1fdeae97  bl	#0xfffffff00835670c
0xfffffff00979ee94: 130080d2  mov	x19, #0
0xfffffff00979ee98: e00313aa  mov	x0, x19
0xfffffff00979ee9c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00979eea0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00979eea4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00979eea8: ff830191  add	sp, sp, #0x60
0xfffffff00979eeac: ff0f5fd6  retab	
0xfffffff00979eeb0: 5f2403d5  bti	c
0xfffffff00979eeb4: 08648c52  mov	w8, #0x6320
0xfffffff00979eeb8: 282cac72  movk	w8, #0x6161, lsl #16
0xfffffff00979eebc: 49668552  mov	w9, #0x2b32
0xfffffff00979eec0: 692cae72  movk	w9, #0x7163, lsl #16
0xfffffff00979eec4: 1f00096b  cmp	w0, w9
0xfffffff00979eec8: cc020054  b.gt	#0xfffffff00979ef20
0xfffffff00979eecc: 096c8e52  mov	w9, #0x7360
0xfffffff00979eed0: a90eae72  movk	w9, #0x7075, lsl #16
0xfffffff00979eed4: 1f00096b  cmp	w0, w9
0xfffffff00979eed8: 2c050054  b.gt	#0xfffffff00979ef7c
0xfffffff00979eedc: e96d8c52  mov	w9, #0x636f
0xfffffff00979eee0: 290cae72  movk	w9, #0x7061, lsl #16
0xfffffff00979eee4: 1f00096b  cmp	w0, w9
0xfffffff00979eee8: ec080054  b.gt	#0xfffffff00979f004
0xfffffff00979eeec: 692c8c52  mov	w9, #0x6163
0xfffffff00979eef0: 290cae72  movk	w9, #0x7061, lsl #16
0xfffffff00979eef4: 1f00096b  cmp	w0, w9
0xfffffff00979eef8: c0110054  b.eq	#0xfffffff00979f130
0xfffffff00979eefc: 69668c52  mov	w9, #0x6333
0xfffffff00979ef00: 290cae72  movk	w9, #0x7061, lsl #16
