; Candidate 4272
; ADRP+ADD at VM 0xfffffff00879b358 (fileoff 0x1797358): page=0x1fe996000 add_imm=0xd90

0xfffffff00879b2d8: f60300aa  mov	x22, x0
0xfffffff00879b2dc: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00879b2e0: 74420191  add	x20, x19, #0x50
0xfffffff00879b2e4: 100040f9  ldr	x16, [x0]
0xfffffff00879b2e8: f10300aa  mov	x17, x0
0xfffffff00879b2ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00879b2f0: 301ac1da  autda	x16, x17
0xfffffff00879b2f4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00879b2f8: e90310aa  mov	x9, x16
0xfffffff00879b2fc: 81008052  mov	w1, #4
0xfffffff00879b300: e20316aa  mov	x2, x22
0xfffffff00879b304: e30314aa  mov	x3, x20
0xfffffff00879b308: f10309aa  mov	x17, x9
0xfffffff00879b30c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00879b310: 11093fd7  blraa	x8, x17
0xfffffff00879b314: f70300aa  mov	x23, x0
0xfffffff00879b318: d00240f9  ldr	x16, [x22]
0xfffffff00879b31c: f10316aa  mov	x17, x22
0xfffffff00879b320: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00879b324: 301ac1da  autda	x16, x17
0xfffffff00879b328: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00879b32c: e90310aa  mov	x9, x16
0xfffffff00879b330: e00316aa  mov	x0, x22
0xfffffff00879b334: f10309aa  mov	x17, x9
0xfffffff00879b338: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00879b33c: 11093fd7  blraa	x8, x17
0xfffffff00879b340: 97040034  cbz	w23, #0xfffffff00879b3d0
0xfffffff00879b344: 94578052  mov	w20, #0x2bc
0xfffffff00879b348: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00879b34c: a84dffb0  adrp	x8, #0xfffffff007150000
0xfffffff00879b350: 08c12c91  add	x8, x8, #0xb30
0xfffffff00879b354: e85700a9  stp	x8, x21, [sp]
0xfffffff00879b358: a04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879b35c: 00403691  add	x0, x0, #0xd90
0xfffffff00879b360: 0193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879b364: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879b368: 634dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879b36c: 63ac1891  add	x3, x3, #0x62b
0xfffffff00879b370: 02008052  mov	w2, #0
0xfffffff00879b374: 6f5fee97  bl	#0xfffffff008333130
0xfffffff00879b378: 0f000014  b	#0xfffffff00879b3b4
0xfffffff00879b37c: 94578052  mov	w20, #0x2bc
0xfffffff00879b380: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00879b384: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff00879b388: a84dffb0  adrp	x8, #0xfffffff007150000
0xfffffff00879b38c: 08c12c91  add	x8, x8, #0xb30
0xfffffff00879b390: e80300f9  str	x8, [sp]
0xfffffff00879b394: a04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879b398: 00403691  add	x0, x0, #0xd90
0xfffffff00879b39c: 0193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879b3a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879b3a4: 634dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879b3a8: 63bc1791  add	x3, x3, #0x5ef
0xfffffff00879b3ac: 02008052  mov	w2, #0
0xfffffff00879b3b0: 605fee97  bl	#0xfffffff008333130
0xfffffff00879b3b4: e00314aa  mov	x0, x20
0xfffffff00879b3b8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00879b3bc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00879b3c0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00879b3c4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00879b3c8: ff830191  add	sp, sp, #0x60
0xfffffff00879b3cc: ff0f5fd6  retab	
0xfffffff00879b3d0: 800240f9  ldr	x0, [x20]
0xfffffff00879b3d4: 800400b4  cbz	x0, #0xfffffff00879b464
