; Candidate 1788
; ADRP+ADD at VM 0xfffffff00850a5d4 (fileoff 0x15065d4): page=0x1febd7000 add_imm=0xe22

0xfffffff00850a554: 01808b3c  stur	q1, [x0, #0xb8]
0xfffffff00850a558: 01895cad  ldp	q1, q2, [x8, #0x390]
0xfffffff00850a55c: 03915dad  ldp	q3, q4, [x8, #0x3b0]
0xfffffff00850a560: 04808f3c  stur	q4, [x0, #0xf8]
0xfffffff00850a564: 03808e3c  stur	q3, [x0, #0xe8]
0xfffffff00850a568: 02808d3c  stur	q2, [x0, #0xd8]
0xfffffff00850a56c: 01808c3c  stur	q1, [x0, #0xc8]
0xfffffff00850a570: 00808a3c  stur	q0, [x0, #0xa8]
0xfffffff00850a574: 08794b39  ldrb	w8, [x8, #0x2de]
0xfffffff00850a578: 08200439  strb	w8, [x0, #0x108]
0xfffffff00850a57c: 28008052  mov	w8, #1
0xfffffff00850a580: 08200039  strb	w8, [x0, #8]
0xfffffff00850a584: e00308aa  mov	x0, x8
0xfffffff00850a588: c0035fd6  ret	
0xfffffff00850a58c: 1f0c00f9  str	xzr, [x0, #0x18]
0xfffffff00850a590: 09208052  mov	w9, #0x100
0xfffffff00850a594: 090c00b9  str	w9, [x0, #0xc]
0xfffffff00850a598: 00008052  mov	w0, #0
0xfffffff00850a59c: c0035fd6  ret	
0xfffffff00850a5a0: 7f2303d5  pacibsp	
0xfffffff00850a5a4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00850a5a8: fd030091  mov	x29, sp
0xfffffff00850a5ac: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5b0: 00603791  add	x0, x0, #0xdd8
0xfffffff00850a5b4: 217bf897  bl	#0xfffffff008329238
0xfffffff00850a5b8: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5bc: 004102f9  str	x0, [x8, #0x480]
0xfffffff00850a5c0: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5c4: 00083891  add	x0, x0, #0xe02
0xfffffff00850a5c8: 1c7bf897  bl	#0xfffffff008329238
0xfffffff00850a5cc: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5d0: 004502f9  str	x0, [x8, #0x488]
0xfffffff00850a5d4: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5d8: 00883891  add	x0, x0, #0xe22
0xfffffff00850a5dc: 177bf897  bl	#0xfffffff008329238
0xfffffff00850a5e0: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5e4: 004902f9  str	x0, [x8, #0x490]
0xfffffff00850a5e8: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a5ec: 00e43891  add	x0, x0, #0xe39
0xfffffff00850a5f0: 127bf897  bl	#0xfffffff008329238
0xfffffff00850a5f4: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a5f8: 004d02f9  str	x0, [x8, #0x498]
0xfffffff00850a5fc: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a600: 004c3991  add	x0, x0, #0xe53
0xfffffff00850a604: 0d7bf897  bl	#0xfffffff008329238
0xfffffff00850a608: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a60c: 005102f9  str	x0, [x8, #0x4a0]
0xfffffff00850a610: a05efff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00850a614: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00850a618: 087bf897  bl	#0xfffffff008329238
0xfffffff00850a61c: 48ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00850a620: 005502f9  str	x0, [x8, #0x4a8]
0xfffffff00850a624: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00850a628: ff0f5fd6  retab	
0xfffffff00850a62c: 5f2403d5  bti	c
0xfffffff00850a630: 081440f9  ldr	x8, [x0, #0x28]
0xfffffff00850a634: a80000b4  cbz	x8, #0xfffffff00850a648
0xfffffff00850a638: 00008052  mov	w0, #0
0xfffffff00850a63c: 29008052  mov	w9, #1
0xfffffff00850a640: 090100b9  str	w9, [x8]
0xfffffff00850a644: c0035fd6  ret	
0xfffffff00850a648: 80578052  mov	w0, #0x2bc
0xfffffff00850a64c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00850a650: c0035fd6  ret	
