; Candidate 2902
; ADRP+ADD at VM 0xfffffff0086f4920 (fileoff 0x16f0920): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f48a0: fa5700b9  str	w26, [sp, #0x54]
0xfffffff0086f48a4: 88a74d29  ldp	w8, w9, [x28, #0x6c]
0xfffffff0086f48a8: 2a7d081b  mul	w10, w9, w8
0xfffffff0086f48ac: 2b008052  mov	w11, #1
0xfffffff0086f48b0: 0b44a072  movk	w11, #0x220, lsl #16
0xfffffff0086f48b4: 5f010b6b  cmp	w10, w11
0xfffffff0086f48b8: fa52ffb0  adrp	x26, #0xfffffff007151000
0xfffffff0086f48bc: 5a4b1591  add	x26, x26, #0x552
0xfffffff0086f48c0: c3010054  b.lo	#0xfffffff0086f48f8
0xfffffff0086f48c4: ea0314aa  mov	x10, x20
0xfffffff0086f48c8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0086f48cc: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff0086f48d0: fa0300f9  str	x26, [sp]
0xfffffff0086f48d4: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f48d8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f48dc: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f48e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f48e4: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f48e8: 63783891  add	x3, x3, #0xe1e
0xfffffff0086f48ec: 02008052  mov	w2, #0
0xfffffff0086f48f0: 10faf097  bl	#0xfffffff008333130
0xfffffff0086f48f4: 13000014  b	#0xfffffff0086f4940
0xfffffff0086f48f8: 685a5cf9  ldr	x8, [x19, #0x38b0]
0xfffffff0086f48fc: 09a14139  ldrb	w9, [x8, #0x68]
0xfffffff0086f4900: 2a011f32  orr	w10, w9, #2
0xfffffff0086f4904: 5f0d0071  cmp	w10, #3
0xfffffff0086f4908: e1050054  b.ne	#0xfffffff0086f49c4
0xfffffff0086f490c: 88974039  ldrb	w8, [x28, #0x25]
0xfffffff0086f4910: ea0314aa  mov	x10, x20
0xfffffff0086f4914: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0086f4918: f5a700a9  stp	x21, x9, [sp, #8]
0xfffffff0086f491c: fa0300f9  str	x26, [sp]
0xfffffff0086f4920: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4924: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4928: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f492c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4930: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4934: 631c3a91  add	x3, x3, #0xe87
0xfffffff0086f4938: 02008052  mov	w2, #0
0xfffffff0086f493c: fdf9f097  bl	#0xfffffff008333130
0xfffffff0086f4940: 08b34039  ldrb	w8, [x24, #0x2c]
0xfffffff0086f4944: a8000034  cbz	w8, #0xfffffff0086f4958
0xfffffff0086f4948: 08008052  mov	w8, #0
0xfffffff0086f494c: 1fb70039  strb	wzr, [x24, #0x2d]
0xfffffff0086f4950: 36268052  mov	w22, #0x131
0xfffffff0086f4954: 07000014  b	#0xfffffff0086f4970
0xfffffff0086f4958: 28008052  mov	w8, #1
0xfffffff0086f495c: 08b70039  strb	w8, [x24, #0x2d]
0xfffffff0086f4960: 60665cf9  ldr	x0, [x19, #0x38c8]
0xfffffff0086f4964: 5d89ff97  bl	#0xfffffff0086d6ed8
0xfffffff0086f4968: 08b74039  ldrb	w8, [x24, #0x2d]
0xfffffff0086f496c: 96278052  mov	w22, #0x13c
0xfffffff0086f4970: 89974039  ldrb	w9, [x28, #0x25]
0xfffffff0086f4974: e95302a9  stp	x9, x20, [sp, #0x20]
0xfffffff0086f4978: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086f497c: fa5700a9  stp	x26, x21, [sp]
0xfffffff0086f4980: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4984: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4988: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f498c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4990: 0352ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f4994: 63b00891  add	x3, x3, #0x22c
0xfffffff0086f4998: 02008052  mov	w2, #0
0xfffffff0086f499c: e5f9f097  bl	#0xfffffff008333130
