; Candidate 14463
; ADRP+ADD at VM 0xfffffff00978ddd4 (fileoff 0x2789dd4): page=0x1fe4b3000 add_imm=0xea0

0xfffffff00978dd54: 10020d91  add	x16, x16, #0x340
0xfffffff00978dd58: 10420091  add	x16, x16, #0x10
0xfffffff00978dd5c: f10300aa  mov	x17, x0
0xfffffff00978dd60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00978dd64: 300ac1da  pacda	x16, x17
0xfffffff00978dd68: 100000f9  str	x16, [x0]
0xfffffff00978dd6c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00978dd70: ff0f5fd6  retab	
0xfffffff00978dd74: 5f2403d5  bti	c
0xfffffff00978dd78: 72d8af17  b	#0xfffffff008383f40
0xfffffff00978dd7c: 5f2403d5  bti	c
0xfffffff00978dd80: 70d8af17  b	#0xfffffff008383f40
0xfffffff00978dd84: 7f2303d5  pacibsp	
0xfffffff00978dd88: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00978dd8c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00978dd90: fd430091  add	x29, sp, #0x10
0xfffffff00978dd94: f30300aa  mov	x19, x0
0xfffffff00978dd98: 6ad8af97  bl	#0xfffffff008383f40
0xfffffff00978dd9c: 8025fff0  adrp	x0, #0xfffffff007c40000
0xfffffff00978dda0: 00803a91  add	x0, x0, #0xea0
0xfffffff00978dda4: e10313aa  mov	x1, x19
0xfffffff00978dda8: 02168052  mov	w2, #0xb0
0xfffffff00978ddac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00978ddb0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00978ddb4: ff2303d5  autibsp	
0xfffffff00978ddb8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00978ddbc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00978ddc4
0xfffffff00978ddc0: 208e38d4  brk	#0xc471
0xfffffff00978ddc4: 3666ad17  b	#0xfffffff0082e769c
0xfffffff00978ddc8: 5f2403d5  bti	c
0xfffffff00978ddcc: e20301aa  mov	x2, x1
0xfffffff00978ddd0: e10300aa  mov	x1, x0
0xfffffff00978ddd4: 8025fff0  adrp	x0, #0xfffffff007c40000
0xfffffff00978ddd8: 00803a91  add	x0, x0, #0xea0
0xfffffff00978dddc: 3066ad17  b	#0xfffffff0082e769c
0xfffffff00978dde0: 5f2403d5  bti	c
0xfffffff00978dde4: e05f00f0  adrp	x0, #0xfffffff00a38c000
0xfffffff00978dde8: 00e00691  add	x0, x0, #0x1b8
0xfffffff00978ddec: c0035fd6  ret	
0xfffffff00978ddf0: 7f2303d5  pacibsp	
0xfffffff00978ddf4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00978ddf8: fd030091  mov	x29, sp
0xfffffff00978ddfc: 61f0fed0  adrp	x1, #0xfffffff00759b000
0xfffffff00978de00: 21342391  add	x1, x1, #0x8cd
0xfffffff00978de04: 4224ffb0  adrp	x2, #0xfffffff007c16000
0xfffffff00978de08: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff00978de0c: 03168052  mov	w3, #0xb0
0xfffffff00978de10: 4a57ad97  bl	#0xfffffff0082e3b38
0xfffffff00978de14: 9025ff90  adrp	x16, #0xfffffff007c3d000
0xfffffff00978de18: 10622291  add	x16, x16, #0x898
0xfffffff00978de1c: 10420091  add	x16, x16, #0x10
0xfffffff00978de20: f10300aa  mov	x17, x0
0xfffffff00978de24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00978de28: 300ac1da  pacda	x16, x17
0xfffffff00978de2c: 100000f9  str	x16, [x0]
0xfffffff00978de30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00978de34: ff0f5fd6  retab	
0xfffffff00978de38: 7f2303d5  pacibsp	
0xfffffff00978de3c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00978de40: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00978de44: fd430091  add	x29, sp, #0x10
0xfffffff00978de48: 8025fff0  adrp	x0, #0xfffffff007c40000
0xfffffff00978de4c: 00803a91  add	x0, x0, #0xea0
0xfffffff00978de50: 01168052  mov	w1, #0xb0
