; Candidate 4360
; ADRP+ADD at VM 0xfffffff0087a46b8 (fileoff 0x17a06b8): page=0x1fe98d000 add_imm=0xd90

0xfffffff0087a4638: 09a140a9  ldp	x9, x8, [x8, #8]
0xfffffff0087a463c: 340009cb  sub	x20, x1, x9
0xfffffff0087a4640: 0001148b  add	x0, x8, x20
0xfffffff0087a4644: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff0087a4648: c80400b4  cbz	x8, #0xfffffff0087a46e0
0xfffffff0087a464c: 28968052  mov	w8, #0x4b1
0xfffffff0087a4650: 694dff90  adrp	x9, #0xfffffff007150000
0xfffffff0087a4654: 29512f91  add	x9, x9, #0xbd4
0xfffffff0087a4658: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a465c: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a4660: 00403691  add	x0, x0, #0xd90
0xfffffff0087a4664: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a4668: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a466c: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a4670: 63b82791  add	x3, x3, #0x9ee
0xfffffff0087a4674: 02008052  mov	w2, #0
0xfffffff0087a4678: ae3aee97  bl	#0xfffffff008333130
0xfffffff0087a467c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a4680: 08e55ef9  ldr	x8, [x8, #0x3dc8]
0xfffffff0087a4684: 13410091  add	x19, x8, #0x10
0xfffffff0087a4688: 14000014  b	#0xfffffff0087a46d8
0xfffffff0087a468c: 130d42f9  ldr	x19, [x8, #0x418]
0xfffffff0087a4690: 688e41f8  ldr	x8, [x19, #0x18]!
0xfffffff0087a4694: 69825ff8  ldur	x9, [x19, #-8]
0xfffffff0087a4698: 340009cb  sub	x20, x1, x9
0xfffffff0087a469c: 0001148b  add	x0, x8, x20
0xfffffff0087a46a0: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff0087a46a4: e80100b4  cbz	x8, #0xfffffff0087a46e0
0xfffffff0087a46a8: 48988052  mov	w8, #0x4c2
0xfffffff0087a46ac: 694dff90  adrp	x9, #0xfffffff007150000
0xfffffff0087a46b0: 29512f91  add	x9, x9, #0xbd4
0xfffffff0087a46b4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a46b8: 604cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a46bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087a46c0: c192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a46c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a46c8: 234dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a46cc: 63882891  add	x3, x3, #0xa22
0xfffffff0087a46d0: 02008052  mov	w2, #0
0xfffffff0087a46d4: 973aee97  bl	#0xfffffff008333130
0xfffffff0087a46d8: 680240f9  ldr	x8, [x19]
0xfffffff0087a46dc: 0001148b  add	x0, x8, x20
0xfffffff0087a46e0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087a46e4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087a46e8: ffc30091  add	sp, sp, #0x30
0xfffffff0087a46ec: ff0f5fd6  retab	
0xfffffff0087a46f0: 7f2303d5  pacibsp	
0xfffffff0087a46f4: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0087a46f8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087a46fc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087a4700: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087a4704: fdc30091  add	x29, sp, #0x30
0xfffffff0087a4708: f30300aa  mov	x19, x0
0xfffffff0087a470c: 29204129  ldp	w9, w8, [x1, #8]
0xfffffff0087a4710: 2a7d0011  add	w10, w9, #0x1f
0xfffffff0087a4714: 2bf90011  add	w11, w9, #0x3e
0xfffffff0087a4718: 5f010071  cmp	w10, #0
0xfffffff0087a471c: 6ab18a1a  csel	w10, w11, w10, lt
0xfffffff0087a4720: 4a7d0513  asr	w10, w10, #5
0xfffffff0087a4724: 0b7d0011  add	w11, w8, #0x1f
0xfffffff0087a4728: 0cf90011  add	w12, w8, #0x3e
0xfffffff0087a472c: 7f010071  cmp	w11, #0
0xfffffff0087a4730: 8bb18b1a  csel	w11, w12, w11, lt
0xfffffff0087a4734: 6b7d0513  asr	w11, w11, #5
