; Candidate 2899
; ADRP+ADD at VM 0xfffffff0086f4758 (fileoff 0x16f0758): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f46d8: fa52ffb0  adrp	x26, #0xfffffff007151000
0xfffffff0086f46dc: 5a4b1591  add	x26, x26, #0x552
0xfffffff0086f46e0: fa0300f9  str	x26, [sp]
0xfffffff0086f46e4: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f46e8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f46ec: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f46f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f46f4: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f46f8: 63e03291  add	x3, x3, #0xcb8
0xfffffff0086f46fc: 02008052  mov	w2, #0
0xfffffff0086f4700: 8cfaf097  bl	#0xfffffff008333130
0xfffffff0086f4704: 8f000014  b	#0xfffffff0086f4940
0xfffffff0086f4708: 7f9213f9  str	xzr, [x19, #0x2720]
0xfffffff0086f470c: e80314aa  mov	x8, x20
0xfffffff0086f4710: e80700f9  str	x8, [sp, #8]
0xfffffff0086f4714: e852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f4718: 08491591  add	x8, x8, #0x552
0xfffffff0086f471c: e80300f9  str	x8, [sp]
0xfffffff0086f4720: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4724: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4728: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f472c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4730: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4734: 63403591  add	x3, x3, #0xd50
0xfffffff0086f4738: 02008052  mov	w2, #0
0xfffffff0086f473c: 7dfaf097  bl	#0xfffffff008333130
0xfffffff0086f4740: 0e000014  b	#0xfffffff0086f4778
0xfffffff0086f4744: e80314aa  mov	x8, x20
0xfffffff0086f4748: e80700f9  str	x8, [sp, #8]
0xfffffff0086f474c: e852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f4750: 08491591  add	x8, x8, #0x552
0xfffffff0086f4754: e80300f9  str	x8, [sp]
0xfffffff0086f4758: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f475c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4760: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4764: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4768: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f476c: 639c3691  add	x3, x3, #0xda7
0xfffffff0086f4770: 02008052  mov	w2, #0
0xfffffff0086f4774: 6ffaf097  bl	#0xfffffff008333130
0xfffffff0086f4778: f72340f9  ldr	x23, [sp, #0x40]
0xfffffff0086f477c: 698253f9  ldr	x9, [x19, #0x2700]
0xfffffff0086f4780: 28f14139  ldrb	w8, [x9, #0x7c]
0xfffffff0086f4784: 68420cb9  str	w8, [x19, #0xc40]
0xfffffff0086f4788: 6a264039  ldrb	w10, [x19, #9]
0xfffffff0086f478c: 688a53f9  ldr	x8, [x19, #0x2710]
0xfffffff0086f4790: 6a000034  cbz	w10, #0xfffffff0086f479c
0xfffffff0086f4794: a80400b5  cbnz	x8, #0xfffffff0086f4828
0xfffffff0086f4798: 14000014  b	#0xfffffff0086f47e8
0xfffffff0086f479c: 480200b4  cbz	x8, #0xfffffff0086f47e4
0xfffffff0086f47a0: 0a7540b9  ldr	w10, [x8, #0x74]
0xfffffff0086f47a4: 29008052  mov	w9, #1
0xfffffff0086f47a8: eb458652  mov	w11, #0x322f
0xfffffff0086f47ac: cb0cae72  movk	w11, #0x7066, lsl #16
0xfffffff0086f47b0: 5f010b6b  cmp	w10, w11
0xfffffff0086f47b4: ec010054  b.gt	#0xfffffff0086f47f0
0xfffffff0086f47b8: 0b468652  mov	w11, #0x3230
0xfffffff0086f47bc: 8b06ae72  movk	w11, #0x7034, lsl #16
0xfffffff0086f47c0: 5f010b6b  cmp	w10, w11
0xfffffff0086f47c4: 00030054  b.eq	#0xfffffff0086f4824
0xfffffff0086f47c8: 4b468652  mov	w11, #0x3232
0xfffffff0086f47cc: 8b06ae72  movk	w11, #0x7034, lsl #16
0xfffffff0086f47d0: 5f010b6b  cmp	w10, w11
0xfffffff0086f47d4: 80020054  b.eq	#0xfffffff0086f4824
