; Candidate 16577
; ADRP+ADD at VM 0xfffffff009ef173c (fileoff 0x2eed73c): page=0x1fd95a000 add_imm=0xd42

0xfffffff009ef16bc: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff009ef16c0: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff009ef16c4: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff009ef16c8: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff009ef16cc: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff009ef16d0: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff009ef16d4: ff430391  add	sp, sp, #0xd0
0xfffffff009ef16d8: ff0f5fd6  retab	
0xfffffff009ef16dc: 08034079  ldrh	w8, [x24]
0xfffffff009ef16e0: a80100b4  cbz	x8, #0xfffffff009ef1714
0xfffffff009ef16e4: 18008052  mov	w24, #0
0xfffffff009ef16e8: 69aa40f9  ldr	x9, [x19, #0x150]
0xfffffff009ef16ec: 29090091  add	x9, x9, #2
0xfffffff009ef16f0: 2ae15f38  ldurb	w10, [x9, #-2]
0xfffffff009ef16f4: 5f210071  cmp	w10, #8
0xfffffff009ef16f8: 40030054  b.eq	#0xfffffff009ef1760
0xfffffff009ef16fc: 2a454078  ldrh	w10, [x9], #4
0xfffffff009ef1700: 4a1d0011  add	w10, w10, #7
0xfffffff009ef1704: 4a351d12  and	w10, w10, #0x1fff8
0xfffffff009ef1708: 5801180b  add	w24, w10, w24
0xfffffff009ef170c: 080500f1  subs	x8, x8, #1
0xfffffff009ef1710: 01ffff54  b.ne	#0xfffffff009ef16f0
0xfffffff009ef1714: 48008052  mov	w8, #2
0xfffffff009ef1718: 093e8452  mov	w9, #0x21f0
0xfffffff009ef171c: a902098b  add	x9, x21, x9
0xfffffff009ef1720: 6a0640f9  ldr	x10, [x19, #8]
0xfffffff009ef1724: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff009ef1728: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009ef172c: c8cafed0  adrp	x8, #0xfffffff00784b000
0xfffffff009ef1730: 08c13491  add	x8, x8, #0xd30
0xfffffff009ef1734: 493c8552  mov	w9, #0x29e2
0xfffffff009ef1738: e82700a9  stp	x8, x9, [sp]
0xfffffff009ef173c: c0cafed0  adrp	x0, #0xfffffff00784b000
0xfffffff009ef1740: 00083591  add	x0, x0, #0xd42
0xfffffff009ef1744: 6038fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef1748: 180080d2  mov	x24, #0
0xfffffff009ef174c: 3a008052  mov	w26, #1
0xfffffff009ef1750: 59008052  mov	w25, #2
0xfffffff009ef1754: 3b008052  mov	w27, #1
0xfffffff009ef1758: b6f9ffb5  cbnz	x22, #0xfffffff009ef168c
0xfffffff009ef175c: cdffff17  b	#0xfffffff009ef1690
0xfffffff009ef1760: 28014079  ldrh	w8, [x9]
0xfffffff009ef1764: 1fa10071  cmp	w8, #0x28
0xfffffff009ef1768: a1040054  b.ne	#0xfffffff009ef17fc
0xfffffff009ef176c: 7bae40f9  ldr	x27, [x19, #0x158]
0xfffffff009ef1770: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff009ef1774: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009ef1778: e0a30091  add	x0, sp, #0x28
0xfffffff009ef177c: 01008052  mov	w1, #0
0xfffffff009ef1780: 02038052  mov	w2, #0x18
0xfffffff009ef1784: 0f6d7997  bl	#0xfffffff007d4cbc0
0xfffffff009ef1788: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff009ef178c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff009ef1790: c8208052  mov	w8, #0x106
0xfffffff009ef1794: 0803a072  movk	w8, #0x18, lsl #16
0xfffffff009ef1798: e82b00b9  str	w8, [sp, #0x28]
0xfffffff009ef179c: 3a008052  mov	w26, #1
0xfffffff009ef17a0: fa3b00b9  str	w26, [sp, #0x38]
0xfffffff009ef17a4: e2a30091  add	x2, sp, #0x28
0xfffffff009ef17a8: e00315aa  mov	x0, x21
0xfffffff009ef17ac: 21008052  mov	w1, #1
0xfffffff009ef17b0: e30314aa  mov	x3, x20
0xfffffff009ef17b4: 7cdfff97  bl	#0xfffffff009ee95a4
0xfffffff009ef17b8: f90300aa  mov	x25, x0
