; Candidate 8244
; ADRP+ADD at VM 0xfffffff00889e7d8 (fileoff 0x189a7d8): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889e758: 17020034  cbz	w23, #0xfffffff00889e798
0xfffffff00889e75c: 680240b9  ldr	w8, [x19]
0xfffffff00889e760: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00889e764: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889e768: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e76c: 09553991  add	x9, x8, #0xe55
0xfffffff00889e770: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e774: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e778: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889e77c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889e780: a80f8052  mov	w8, #0x7d
0xfffffff00889e784: 804cffd0  adrp	x0, #0xfffffff007230000
0xfffffff00889e788: 00743d91  add	x0, x0, #0xf5d
0xfffffff00889e78c: f62300a9  stp	x22, x8, [sp]
0xfffffff00889e790: 3463d497  bl	#0xfffffff007db7460
0xfffffff00889e794: 19000014  b	#0xfffffff00889e7f8
0xfffffff00889e798: 85560094  bl	#0xfffffff0088b41ac
0xfffffff00889e79c: f60300aa  mov	x22, x0
0xfffffff00889e7a0: e0008052  mov	w0, #7
0xfffffff00889e7a4: 2b74ff97  bl	#0xfffffff00887b850
0xfffffff00889e7a8: e80315aa  mov	x8, x21
0xfffffff00889e7ac: 690240b9  ldr	w9, [x19]
0xfffffff00889e7b0: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00889e7b4: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00889e7b8: 884cffd0  adrp	x8, #0xfffffff007230000
0xfffffff00889e7bc: 0a553991  add	x10, x8, #0xe55
0xfffffff00889e7c0: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889e7c4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889e7c8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00889e7cc: a80f8052  mov	w8, #0x7d
0xfffffff00889e7d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889e7d4: f60300f9  str	x22, [sp]
0xfffffff00889e7d8: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889e7dc: 00003a91  add	x0, x0, #0xe80
0xfffffff00889e7e0: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889e7e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889e7e8: 034effd0  adrp	x3, #0xfffffff007260000
0xfffffff00889e7ec: 63403b91  add	x3, x3, #0xed0
0xfffffff00889e7f0: 02008052  mov	w2, #0
0xfffffff00889e7f4: 4f52ea97  bl	#0xfffffff008333130
0xfffffff00889e7f8: e00315aa  mov	x0, x21
0xfffffff00889e7fc: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00889e800: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00889e804: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889e808: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00889e80c: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00889e810: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00889e814: ff830391  add	sp, sp, #0xe0
0xfffffff00889e818: ff0f5fd6  retab	
0xfffffff00889e81c: 7f2303d5  pacibsp	
0xfffffff00889e820: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00889e824: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff00889e828: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff00889e82c: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00889e830: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00889e834: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00889e838: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00889e83c: fd430391  add	x29, sp, #0xd0
0xfffffff00889e840: f30300aa  mov	x19, x0
0xfffffff00889e844: a00f8052  mov	w0, #0x7d
0xfffffff00889e848: e1008052  mov	w1, #7
0xfffffff00889e84c: e173ff97  bl	#0xfffffff00887b7d0
0xfffffff00889e850: 9a4cfff0  adrp	x26, #0xfffffff007231000
0xfffffff00889e854: 5aeb3191  add	x26, x26, #0xc7a
