; Candidate 9757
; ADRP+ADD at VM 0xfffffff008b04eec (fileoff 0x1b00eec): page=0x1fe7ea000 add_imm=0xe11

0xfffffff008b04e6c: a27bdf97  bl	#0xfffffff0082e3cf4
0xfffffff008b04e70: c00900b4  cbz	x0, #0xfffffff008b04fa8
0xfffffff008b04e74: 1c008052  mov	w28, #0
0xfffffff008b04e78: 14008052  mov	w20, #0
0xfffffff008b04e7c: da3ffff0  adrp	x26, #0xfffffff0072ff000
0xfffffff008b04e80: 5aeb3e91  add	x26, x26, #0xfba
0xfffffff008b04e84: 100040f9  ldr	x16, [x0]
0xfffffff008b04e88: f10300aa  mov	x17, x0
0xfffffff008b04e8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b04e90: 301ac1da  autda	x16, x17
0xfffffff008b04e94: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008b04e98: e90310aa  mov	x9, x16
0xfffffff008b04e9c: f10309aa  mov	x17, x9
0xfffffff008b04ea0: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008b04ea4: 11093fd7  blraa	x8, x17
0xfffffff008b04ea8: e00500b4  cbz	x0, #0xfffffff008b04f64
0xfffffff008b04eac: fb0300aa  mov	x27, x0
0xfffffff008b04eb0: a8435ab8  ldur	w8, [x29, #-0x5c]
0xfffffff008b04eb4: 48020036  tbz	w8, #0, #0xfffffff008b04efc
0xfffffff008b04eb8: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04ebc: 000540f9  ldr	x0, [x8, #8]
0xfffffff008b04ec0: 774f4029  ldp	w23, w19, [x27]
0xfffffff008b04ec4: 780b40b9  ldr	w24, [x27, #8]
0xfffffff008b04ec8: 190140b9  ldr	w25, [x8]
0xfffffff008b04ecc: 64f23e94  bl	#0xfffffff009ac185c
0xfffffff008b04ed0: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04ed4: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008b04ed8: e0a302a9  stp	x0, x8, [sp, #0x28]
0xfffffff008b04edc: f8e701a9  stp	x24, x25, [sp, #0x18]
0xfffffff008b04ee0: f3df00a9  stp	x19, x23, [sp, #8]
0xfffffff008b04ee4: e80314aa  mov	x8, x20
0xfffffff008b04ee8: e80300f9  str	x8, [sp]
0xfffffff008b04eec: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04ef0: 00443891  add	x0, x0, #0xe11
0xfffffff008b04ef4: 5bc9ca97  bl	#0xfffffff007db7460
0xfffffff008b04ef8: 17000014  b	#0xfffffff008b04f54
0xfffffff008b04efc: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04f00: 000540f9  ldr	x0, [x8, #8]
0xfffffff008b04f04: 56f23e94  bl	#0xfffffff009ac185c
0xfffffff008b04f08: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04f0c: 000540f9  ldr	x0, [x8, #8]
0xfffffff008b04f10: 774f4029  ldp	w23, w19, [x27]
0xfffffff008b04f14: 780b40b9  ldr	w24, [x27, #8]
0xfffffff008b04f18: 190140b9  ldr	w25, [x8]
0xfffffff008b04f1c: 50f23e94  bl	#0xfffffff009ac185c
0xfffffff008b04f20: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04f24: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff008b04f28: e0a302a9  stp	x0, x8, [sp, #0x28]
0xfffffff008b04f2c: f8e701a9  stp	x24, x25, [sp, #0x18]
0xfffffff008b04f30: f3df00a9  stp	x19, x23, [sp, #8]
0xfffffff008b04f34: f40300f9  str	x20, [sp]
0xfffffff008b04f38: 003effb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b04f3c: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b04f40: c17bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b04f44: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b04f48: 02008052  mov	w2, #0
0xfffffff008b04f4c: e3031aaa  mov	x3, x26
0xfffffff008b04f50: 78b8e097  bl	#0xfffffff008333130
0xfffffff008b04f54: 94060011  add	w20, w20, #1
0xfffffff008b04f58: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008b04f5c: 080140b9  ldr	w8, [x8]
0xfffffff008b04f60: 1c011c0b  add	w28, w8, w28
0xfffffff008b04f64: b00240f9  ldr	x16, [x21]
0xfffffff008b04f68: f10315aa  mov	x17, x21
